,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.0154289558789834,0.486626309808818,0,0,0,0,0,0,0.143743435748139,0.154718961034647,0,0,0.227767487667297,-0.0139645051355038,0,0.0568795194118616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558101622109508,0,0,0,0,0.0217743943916473,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0347658443825478,0.0933178118865469,0.283179230112362,0,0,0,0,0,0,0.0588473838424328,0.337681739421577,0.0881665180311752,0,0,0,0.0655462856538685,0,0,0,0.0186999226547243,0,0,0,-0.0405584151988881,0,0,0,0.00117727478023032,0,0,0,0,0.0623919472179284,0,0,0,0.00109605483995694,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.196352698041722,0,0,0.478959238240998,0.0236057800283516,0.090447182978076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.154080623353669,0,-0.0262869782664238,0,0,0,0.0298222935082325,0,0,0,0,0,0,0,0,0,0,0,0,0.0213559105403788,0,0,0.018551912663771,0,-0.00438269293579532
X601288.CH.EQUITY,0,0,0.24657009062122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181348832956288,0,0,0.104812292367141,0,0,-8.67361737988404e-19,0.00733516205224941,0,0,0,0,0,0,0,0,0.0135374715911053,0.261694920101864,0,0,0,0,0,0,0,0,0,-0.0082868020499321
X5.HK.EQUITY,0,0,0.0741062876956916,0,0,0.196366747690555,0,0.238605397274644,0,0,0,0,0.272848904979225,0,0,0,0,0.116464943380038,0.0533469613087339,0.0109457370006612,0,-0.264730353929907,0,0,0,0.202597200529239,0,0,-0.172753748296169,0,0,0,0,0,0.135113455548056,0,0,0,0,0,0,0,0,0,0,0,0.104474897238141,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.211567247048987,0,0,0.0472310095939238,0,0.205058362966599,0,0,0,0.209742165339422,0,0,0,0,0,0,0,0,0,0,0.248474308062738,0.0169892943841768,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102629710777318,0,0,0.266559892868053,0,0,0,-0.0171035886987701,0,0,0.0127375533474531,0,0
X600036.CH.EQUITY,0,0.0373661955116665,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211989346514374,0,0,-0.022259391168162,0,0,0,0,0,0,0.740933484712532,-0.0271532989716878,0,0.0488060657134045,0,0,0.116882017491014,0,0,0,0,0,0,0,0,0,0,0.113126996300311,0,0.068612866357875,-1.73472347597681e-18,0,0,-0.0211260519899319,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.268892841248038,0,0,0,0,0,0,0,0,0.0682363986901389,0,0,0,0,0,0.0488572944918201,0,0,0,0,0,0.00153348638863993,0.0611322375409872,0,0.0983511202808922,0.062324615559007,0,0.206267241382867,0,0,0.166398136748673,0,0,0,0,0,0,0,0,-0.0627702145100938,0,0.0696761811306495,0,0,0,0,0,0.0766259515330532
X601628.CH.EQUITY,0,0.151839572531144,0,0.0399914639466444,0,0,0,0,0,0,0,0,0,0,0,0,0.0648912648724906,0,0,0,0,0,0,0,0.146327288844857,0,0,0,0,0,0,0,0,0,0,0,0,0.370628492219477,0,0,0.129700763379638,0.0606064142120996,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.238735717187382,0,0,0,0,0,0.0267654459272191,0,0,0,0,0,0.314135723329937,0,0,0,0,0,0,0,0,0,0.365610849921642,0,0,0,0,0,0,0,0,0,0,0.0158556248087397,-0.00188230056055355,0,0,-1.0842021724855e-19,0,0,0,0.0643171078250572,0,0,0,0,0.0824547509226042,0,0,0,-0.0117254559658749,0
