,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.313104853356066,0.35630513060284,0,0,0,-0.0680062273760388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398832362478875,0,0,0,0,0.199365804621514,-0.0435110931653772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119424476297782,0,-0.0820486431158836,-0.0363593472034287,-0.1144344570754,0,0.0167311009425041
X601318.CH.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.216714405940112,0,0,0.231448806134796,0,0,0,0,0,0,-0.0206131231315698,0,0,0,0,0,0,0,0,0,0.00588056222809867,0,-0.12151079639335,0,0,0,0,-0.22439005142174,0.390346132717465,0,0,0.192598163698358,0,0,0,0,0.0950817886967406,0,0,-0.0253028673303154,-0.0272991292050028
X601939.CH.EQUITY,0.448359263647653,0,0,0.0939281594118806,0.0536348059455141,0,0,0,0,0,0,0,0.203500703623722,0,0,0,0,0,-0.0218072457181854,0.0898854784959703,0.00492106970876972,0,0,0.0699505093359345,0,0,0,0,0,0,0,0,0,0.0424572898847156,0,0,0,0,0.277575437646083,0,0,0,0,0,0,-0.0360068826663857,0,0,0,0,0,0.0684840834076314
X601288.CH.EQUITY,0.367738968221702,0,0.205135065120708,0,0.158495188455278,0.0731139933762385,0,0.0434133944564897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853546465653537,0,0,0,0,0,0,0.0299229996928121,0,0,0,0.0306626595890319,0.175488998962533,0,0,0,0.0444190365112713,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0748323430338999,0,0,0,0,0,0,-0.346197372336454,0,0.176301035788085,0,0,0,0,0,0,0.156480075564507,-0.158067107923534,0,0.0859609773926795,0,0,0.390869913926346,0,0,0,0,0,0,0,0,0,0,-0.0100371407230184,0,0,0,0.0526626820934014,0,0.159854867198231,0,0,0.0588708986116067,0,0,0,0,0,0,-0.393865234429733,0
X601988.CH.EQUITY,0.03874707893988,0,0.134658196110477,0.281080779960521,0,0,0,0.0979432801797523,0,0.123679190287881,0.30685844825135,0,-0.0258875801126028,-0.359015130496216,0,0,0,0,0,0,0,0,0,0.0335692924435705,0,0,0,-0.0310208141816581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927286122017142,0,0,0,0,0.0880714123161741,0,0
X600036.CH.EQUITY,0,0.33303661071745,0,0,0,0,0,0,0.0264536559433427,0,0,0.10300593233129,0.17221659165218,0,0.0570884346847952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156099920978681,0,-0.0382529999538769,0,0,0,0,0,0,0.154799353320071,0.0336291458050418,0,0,0,0,0.0788049863352498,0,0,0,0,0
X601628.CH.EQUITY,0,0.0180146451039027,0,0,0.0856061840621219,0,0,0,0,0.0594759736184343,0,0,0,0,0.0336438022798085,0,0,0,0,0,0.238247232990071,0.00139710768805824,0,0,0,0,0,0,0,0,0,0,0,0.0506065413200649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278823197429215,0.073680568376399,0,0.0592162033227386
X1299.HK.EQUITY,0,0,0,0,0,-0.0321030177841699,0.211926141820023,0,0,0.0507152253538786,0,-0.049697992921265,-0.0789236727053735,0,0,-1.73472347597681e-18,0.347155284431305,0.23714921478839,0,0.106635699073392,0,0,0,0.0542370384096882,0,0,0.136097150339833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533316773156373,0,0,-0.0799065960637815,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.27361296708409,0,0,0,0,0.14076378367145,0.051530546565952,0,0,0,0,0,0.164204416010534,0,0.31328805126105,0,0,0,0,0,0,0,0,0,0,0,0.0974030148942196,0,0,0,0,0,0,0,0,0,0,0,0,0.0298812023705048,0,0,0,0,0,0,0,0,0,0,0,0.263907581296997
X601328.CH.EQUITY,0,0,0,0,0.0489762002848247,0.117425506483196,0,0,0,0,0,0.232782088470924,0,0,0,0,0,0,0,-0.186223273665079,0.172581226335308,0.0933708711690343,0.149939780977816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101781455946239,0,0,0.191774993012344,0,0.0140312079781134,-0.0198795020934172,0,0,0,0,-0.0214832400690094,0
