,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.121394660612307,0,0,0,-0.175790026768459,0.255612798765557,0,0,0.0910267209074703,0,0,0,0.277094941200435,0,0,-0.127039898707246,0,0,0,0,-0.136268672775899,0,-0.194175792295193,0,0,0,-0.22426515615535,0,0,0.814965516716709,-0.0516753908640349,0,0,-0.0823545197582429,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0542426522997912,0,0.160008504212681,0,0,0,0,0.0968905290010748,0,0,0,0,0.108242150656281,0.0206605794675059,0.112213813153317,0,0,0,0,0,0,0,0,0,0,0.0413382351439115,0,0.0323924752911166,0.13704736681489,0,0.237365636984205,0,0,0,0,0.00607451943763004,0,0,0,0,0,0,-0.0174500726431763
X601939.CH.EQUITY,0.37286577954912,-0.00299148518413313,0,0,0,0,0,0,0,0.0706305403371719,0,0,0,0,0,0,0,0.0367662754004357,0,0,0,0,0,0,2.16840434497101e-19,0,-0.108625477213136,0,0,0,0,0,-0.237627254054401,-0.262384118973934,0,-0.0497403521511904,0.143924470146315,0,0,0.578315402201678,0,-0.0467694181365567,0,0,0,0.265999720876345,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.751925721449381,0.110591676755994,0.0744454562765851,0.306546177564819,0,0,0,0.455657189893844,-0.163916485679197,0.362904639378945,0,0,-0.402328832391183,0,0,0,0,0,0,0,0,0,0,0,0,-0.363024112232119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508629483624297,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145938752855482,0,0.129088341885645,0,0,0.0717258635738727,0,0,0,0.17256421933619,0,0,0.119785574923184,0.00362525682194578,0,0,0.0507875858927399,0,0,0,0,0,0,0,-0.0150033752472335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924272226115199,0,0,0,0.197152562690622,0
X601988.CH.EQUITY,4.33680868994202e-19,0,0,-0.0217110093070826,0.475305192395541,0,0,0,0,0,0,0,0,0,0.0860921071935181,0,0,0,0,-0.186032937121958,-0.0390914700096034,0,0,0.273490413653312,0,0,0,0,0,-0.40774550887499,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.146038611648422,0,0,0.0442996612101094
X600036.CH.EQUITY,0,0.255873832681444,-0.0215195756252767,0,0,0,0,-0.151229740428343,-0.0196150145150772,0.446262521309218,0,0.141975313492172,0,0,0,0.153142879742534,0,0,0,0.387709050314678,0,0,0,0,0,0,0,0.115825985094738,-0.10256958590122,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0527373958012172,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.273703318147345,0,0,0,0,0,-0.0440847101901917,-0.0898213551348731,0,0,0,0,0.012142909067233,0,0,0,0,0,0,0,0,0.0733235916314067,0.16463678152463,0,0.0840916200051411,0,0.108748010704311,0,0,0.0407341284545698,0,0,-0.00432054471721035,0,0,0,0,-0.11135928793953,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0901099740401902,0,0.0411434354877819,0,0,0,0,0,0,0.0748773748765689,0,0,0.249527229184755,0,0,0,0,0,0,0,0,0,0.158315203389931,0,0,0,0,0,0,0,0,0,0,0,0.104528014579821,0,0,0.0417163511565003,0,0,0.152302737818108,0.139695199164977,0,-1.73472347597681e-18,0,0,0,0
X601328.CH.EQUITY,0,0,0.198982298520124,0.0416333559591379,0,0,0.609011916174257,0,0,0,0,0,0,0,0,0,0,0,0,0.237315298334646,0,0,0,0,0,0,0.258654168218736,0,0,0,0,0,0,0,0,0,-0.0605311386253932,0,0,0,0,0,0,0,0,-0.452607024266634,0,0,-0.0664117178298736
