,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.144709543135379,0,0,0,0,0.098188676457863,0,0,0,-0.0611529394483355,0,0,0,0,0,0,0,0,0.240819285139816,0,0.0130048692159114,0,0,0,0,0,0,0,0,0,0.0434501706424591,0,0,0.118626363064675,0,0,0,0,0,0,-0.057982593556184,0,0,-0.116949432380086
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175179713100585,0,0.0933106634339553,0,0.314306081653451,0,0,0,-0.0391202836558051,0.000570008757632297,-0.0147737870005595,0,0,0,0,0,0,0,0,0,0.0789724781231889,0,0,0,0,0,0,-0.281581805638024,0.247387305785048,0,0.223891635723548,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.319318410008014,0,0,0,0.0817439077332732,0,0,0,0,0,0,0,0,0.153161075926703,0,0,0,0,0,0,0.0737221601918253,0,0,0,0,0.150947777686145,0,0,-0.00513931914729343,0,0,0,0,0.108214380988012,0,0,0,0,0.0414115247208399,0,0,0,0,0.112541977371738,0,0,0,0,0
X601288.CH.EQUITY,0.211469357051184,0.0654604031736519,0.0928319247935174,0,0.0284059743602134,0,0,0,0.0274920794631309,0,0,0,0,0,0,0,0,0,0,0,0.0836462505362912,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279596627200877,0,0,0,0.188396973874445,0,0,0.271609116561856,0,0,0,0,0,0.147442849933976,0
X5.HK.EQUITY,0,-0.18514448593939,0,0.439694457597721,0,0,0,-0.104641122748871,-0.0568283163573317,0,0.157871255357453,0,0,0,0,0,0.125419601081415,0.165541268434195,0,0,0,-0.109121328718891,0.460857419808604,0,0,0,-0.0133169588138225,-0.00696524003863051,0,0,0,-0.0657775013521098,0,0,-0.193957338257127,0,0,0,0.0514534619745157,0,0,0,0.207833895687639,0,0,0,0,-0.244232075340484,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.100400418516504,0.171709511758478,0.0681407971221926,0,0,0,0,0,0,0,0,0,0,0,0,0.569469033382077,0,0,0,0,0,0,0,0,-0.139135738055564,0,0,0,0,0,0,0,0,0.000369826763705188,0,0,0,0,0.0589192989242547,0,0
X600036.CH.EQUITY,-0.126348857148737,0.235934952180899,0,0,0,0,0,0,0,0,0,0.11122422303945,0,0.200633657851643,0,0,0,0,0.131787675982819,0,0,0,0.106036901337367,0,0,0,-0.030458398726689,0,0,-0.0871959614439195,0,0.334250423427889,0,-0.0703433019817073,0,0,0.105658889095718,0,0,0.0829805378462633,0.0401796718103311,0,0,0,0,0,0.0917006188798666,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241809050041136,0,0,0,0.0834004250084229,0.156806357676699,0,0.227193255684691,0.105073726327262,0.0583437610091209,0,0,0,0,0,0.175562485710342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634265789150692,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259936803201212,0,0,0,0,0,0,0.155056431732756,0,0,0,0,0,0,0,0,-0.000677965385083237,0,0.11086683745653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.156189404224771,0,0,0,0,0,0,0,0,0,0.256161208324045,0,0,0,0,0,0,0,0,0,0,0.0421456265647792,-0.00563587622240759,0,0,0,0.506113095531768,0,0.175189526037112,-0.0802678757460242,0,0,0,0,0.210116409756806,0,-0.137806327084723,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0139842597936235,0,0.0472066882442174,0.292142947591155,0,0,0,0,0,0.172069717919461,0,0,0,0,0,0,0.0230129217962502,0.184377342567005,0,0,0,0.165162490673215,0.113544722967767,0,0,0.0403080149541431,0,0,0,0,-0.00362466992300718,0,0,0,0,0,0,0,0,0.0926042048444629,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.192383186777822,0,0,0,0.094998345767702,0.265447422712663,0,-0.0371656871956045,0,0.209665213345047,0,0,0,0,0,-0.0567258320203583,0,-0.0388439385254842,0,0,0,0,0.232797345504804,0,0,0,0,0,0,0,0.0249390138197892,0,0,0.0689054766728651,0,0,0,0,0,0,0,0,0,0,0,-0.00429194688121468,-0.141538240501759,0.0562158753686556
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.185970555958168,0.0768733395354856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142413583732826,0.161093577241148,0,0,0.0547997171638066,0,0,0,0,0,0.0283638674345038,0.0821239208069742,0,0,-6.93889390390723e-18,0,0,0,0,0,-3.46944695195361e-18,0.232843665183745,0.142878003597939,0,0.020971924061273,0
X000001.CH.EQUITY,-0.0964212914947104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.094073657355372,0.155398585069366,0,0,0.0510602604089613,0.144127320945636,0,0,0,0,-0.256349974354685,0.0813721219910566,0,-0.0136657802128682,0,0.233986968612137,-0.0427542123115093,0,0.316784083183398,-0.195006711650296,0,0.0405618841844577,0.258793900909611,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0.0633699122856964,0,0,0,0,0,0,0,0,0,0,0,0.00670125351121175,0,0.139918700426085,0,0,0,0.151534141015061,0,0.426832341810533,0,0,0,0,0,0,0,0,0,0.134588689182243,0,0.124167979162388,0,0.0195246277531681,0,0,0,0.258995160506332,0,0
X601601.CH.EQUITY,0,0.274315781290665,0.218552877138517,0,0,0,0.101069623460368,0,0.0580947595780229,0,0,0,0,0.154963561204103,0,0,0,0,0,0,0,0,0,0,0,0,-0.043352333357313,0,0,0.186701387819186,0,0,0,0,0,0,0,0,0.057650305065571,0,0,0,-0.0736684166471809,0,0,-0.142400441515351,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.153139235626032,0,0,0,0.178058346449172,0,0,0,0,0.0779074988418109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474968205207733,0,-1.38777878078145e-17,0,0.114576876083472,0,0,0,0,0,0.144906737744744,0,0,0,0.239371284407942,0,0,-0.427471244092254,0,0
