,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0173269828427424,0,0,0,0,0,0,0,0,0,0,0,0,-0.113986559215747,0.484464617568442,0.721968561608104,0.0222638818663156,0,0,0,0,0.194884491912633,-0.218186761345937,0,0,-0.302497997660333,0,0,0,0,0,-0.0262870298443949,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0961583001128618,0,0,0,-0.0169368129429034,0,0,0,0.0648729100941629,0.00932279673791108,0,0,0,0,0.242047114754798,0,0,0,0,0,0,0,0,0.120791245067554,0.0709999772543645,0,0,0,0,0,0,0.39071149685276,0,0,0,0,0,0,0,0,0.0534712505744255,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.820324423234457,0,0,0.0330616460549909,0,0,0.0235557034868819,0,0,-0.0638083714184224,0,0,0.0597183215506241,0,0.0721289080908273,0,0,0,0.000864779115450106,0,0,0,0,0,0.0602921059985536,0,0,0.02167547736645,0,0,0,0,0,0,0,0,0,0,0,0.0218385157584393,0,0,0,0,0,0,0.0305463414908855
X601288.CH.EQUITY,0,0,0.852343437684342,0,-0.0839910920206836,0,0,0,0,0,0,0,0,0,0.007419815690698,0.0601937744669442,0.0688599007795671,0.141647756052169,0,0,0,0,0,0,0,-0.0885790794010476,0,0.0244969690182263,0,0,0,0,0,0,0,0,0,0,0,0,-0.154695180365445,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.125319231419225,0,0.461585850499669,0.0234887104454727,0,0,0,0,0,0,0,0,0.0443222397035243,0,-0.0595745468130177,0,0,0,0,0,0,0,-0.0178785684083177,0,0,-0.164995168488006,0,0.335874856687948,0,0.0600801038916402,0,0,0,0.283952164871688,0,0,0,0.155692576567227,0,0,0
X600036.CH.EQUITY,0,0,0.374070291202339,0,0,0,0,0,0.0171702353570149,-0.00555310441499931,0,0,0,0,0,0.131723444087128,0,0,0,0,0,0,0,0,0,0,0,0.168580182109423,0.00635730125346417,0,0.184862360411775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330459157044613,0,0.01608753934641,0,0,0.0377975660223778
X601988.CH.EQUITY,0,0,0,0,-0.00275504851292086,0,0,0,0,0,0,0,0,0.857770906330618,0,0,0,-0.260354760823109,0,0,-0.00193211172193614,0,0,0,0.307630742263429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,-0.0590439354742881,0.094883726299867,0,0,0,0,0.0172498189555645,0
X1299.HK.EQUITY,0,0.0219362508389254,0,0,0.206899551234792,0,0,0,0.00423561662416396,0.214250120595987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193275590175934,0,-1.73472347597681e-18,0.301028206818684,0.146570371246738,0.122290493303929,0,0.204341757181892,0,0,0,0,0,0,0,0,0,0,0.152961107913623,0.00758394949652761,-0.112545782633589,0,0.224533277816099,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214609957229081,0,0,0.347832585985936,0,-0.151929627974704,0,0,0,0,0.0729226139209913,0,0.0827272205499558,0.347362455735115,0.311309109789525,0,0,0,0,0,0,0,0,0,0,-0.268117037511958,0,0,0,-0.111440262301653,0.082050812861394,3.46944695195361e-18,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.287254688491734,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383769729510678,0,0,0,0.0803591818260273,0.131278178442479,0,0.390455696956859,0,0,0,0,0,0.0467430890711682,0,0,0,0,0,0.0798664784367931,0,0,0,0,0.105745837621469,-0.216026930838043,0,0,0,0,0,0.048687890296561
X601658.CH.Equity,0,0,0,0.222758224978531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241400749144251,0.100603884822109,0.00300757213931789,-0.215121856586073,0,0,0,0,-0.100993939235673,0,0,0,0,0,0.066717784344531,0,0,0,0,0,0,0,0,0,0.418704811659665,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0247835682446185,0,0,0,0,0.0528994830090527,0,0,0.188881129935342,0,0.0291772696943423,0,0,0,0,0,0,0,0.0593562469927903,0,0,0,0,-0.0117274607328569,0,0,0,0,0,0.481686228508815,-0.0558243537200871,0,0,0,-3.46944695195361e-18,0,0,0,0.0638263064574102,0,0,0.125057107714019,0,0,0.0138813122138867,0
X601066.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0125139217826187,0,0.49610383695491,0,0,0,-0.00202586886712239,0,0,0,0,0,0,0.350783090314618,0,0,0,0,0,0,0,0,0,0.0220018865801291,0.00765491065006092,0.128964342528706,0,0,0,0,0.0317128307274237,0,0,0.00702767832264209,0.0431769836542107,0,0.00491010080666309,0,0.0357245398079832,0,0
X601166.CH.EQUITY,0,0,-1.73472347597681e-18,0,0,0.0394384289564989,0.585378825224779,0,0,0,0.0602637932493754,0,0,0,0,0.0621234452331689,0,0,0.0982363330369349,0,0,0.0662172716024237,0,0,0,0.0682110908907728,0,0,0,0,0,0,0,0,0.0278727698781572,0,0.0826890822490509,0,0,0,0,0,-0.0477129592265268,0,0,0,0,0,6.93889390390723e-18,0
X601328.CH.EQUITY,0,0,0,0.0669349301161713,0,0.0459738649317769,0.0211659625476623,0,0,0,0,0,0,0,0,0.0445462449362498,0,0,0,0,0,0.414563392875991,0,0,0,0,0,0,0,0,0,0.00763277458871154,0,0,0,0,0,0,0,0,0,0,0,0,0.252114644082943,0,0,0,3.46944695195361e-18,0
X600000.CH.EQUITY,0,0,0.0483397579855472,0.245146969421056,0,0.126149719680983,0,0,0,0,0,0,0,0,0,0,0,0.0657951059229078,0,0,0,0,0,0,0,-0.0548919936853517,0,0,0,0,0,0,0,0,0.259926796197391,0,0,0,0,0,0.671727692740126,0,0,0.0732667507133814,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.198037236863331,0,0.00652428989704773,0,0,0,0,0,0,0,0,0,0,0,0,0.113836190532966,0,0,0,0,0.0442416423477778,0,0,0,-0.0414737895194386,0,0,0.128390737082883,0,0.0760345582730261,0,0,0,0,0,0,0,0,0,0,-0.0283235089257213,0,0,0.174595094254052,0,0,0,0
X601319.CH.EQUITY,0,0.0602974100661082,0,0.18338501562034,0,0,0,0,0,0,0,0,0,0,0,0,0.116352837788482,0,0,0.0645113856519588,0,-0.0476424805479635,0,0,0.0920744083762538,-0.069666280432721,0,0,0,0,-0.0722814720733904,0,0,0,0,0,0,0.00787766406229704,0,0.221731762424085,0,0,0,0,0,0,0,0.337633790027871,0,0
X000001.CH.EQUITY,0,0.123346993705754,0,0,0,0.116598327575037,0,0,0,0,0,0,0,0.128542908200553,0,0.121707721027534,0,0,0,0.0684900964770022,0,0,0,0,0,0,0.0751415813242247,0,0,0.0142345956230667,0.127300307989468,0,0,0,0,0,0.0486022220131833,0,0,0,0.0331540133215985,0,0,0.0446708471705581,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.481137285323937,3.46944695195361e-18,0.0845675937257005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112818418012092,0,0,0.0370884682254539,0,0,0,0,0,0,0,0,0,0,0,0,0.101037207860724,0,0,0,0,0,-0.156133971130504,0.361708145751842,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.145939865325331,0.150181917331729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640807614119785,8.67361737988404e-19,0,0,0,0,0.0980049703344833,0,0.100422030017087,0,0,0,0.0321880157899423,0,0.0427784866729562,0,0,0,0.252679819001697,0,0,0,0,0.262877200656805,0,0,-0.176264654168366
X600016.CH.EQUITY,0,0,0,0.035646615876357,0,0,0,0,0,0,0,0,0,0.14929689838208,0.138947635082029,0,0,0,0,0,0,0,0,0,0,0,0,0.162106569186664,0,0,0.175685614597341,0,0.00377257808430288,0,0,0,0,0,0,0,0,0,0,-0.114450740312461,0,-0.170801114656989,0,0.238714485989542,0,0
X300059.CH.EQUITY,0,0,0,0,0,-0.0117408861076513,0,0,0,0.125314874979162,0,0.0880716615811473,0.21353766480966,0,0,0,0,0,0,0,0,0,0,-0.0293400831841514,0,0,0,0,0,0,0,0,0,0.187795800108532,0,0,0,-0.250055116095278,0,0,0,0.0744151376293655,0.0252524915798751,0,0,0,0,0.12551734909764,0,0.111465815402936
X688.HK.EQUITY,0.26418875500218,0,0,0,0,0,0,0,0,0,0,0,0.118172801646532,0,0,0,0,0,0,0.145082003129783,0.140723490465495,0,0,0,0,0,0,0,0.192572325312081,0.0440182767576661,0,0,0,0,0,0,-0.0283858070853989,0.133139343802524,0,0,0,-6.93889390390723e-18,-0.00643675489264809,0,0,0,0.172760734263507,0,0,0
X601998.CH.EQUITY,0.305176336492206,0,0,0,0,-0.129729781273899,0.249915278529525,0,0,-0.00476778530751797,0,0,0,0.425503529640869,0,0.00762152118935146,0,0,0,0,0.0366598180241736,0,0,0,0,0,0,0,-0.159502672738089,0,0,0,0,0,0.035544489589319,0,0,0,0,0,0,0.11448071990808,0,0,0,0,0,0.401524564665193,-0.213241453092677,0
X1109.HK.EQUITY,0,0,0,0,0,0,0.0432750301126746,0,0.154645201211505,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054263766101502,0.53084210995738,0,0,0,0,0,0.154827400743018,0.220788867145794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,-0.0600241326141768,0,0,0,0.0781861204812539,0,0,0.0559028376410276,0.397887731909821,-0.0584875935367515,0,0,0,0,0,-0.0973596422504664,0,0,0,-6.93889390390723e-18,0.0790018407519617,0,0,0,0,0,0,0.255240241435063,0,0,0.0139945953660531,0,0,0,0,0,0,0.023986261609182,0.139998702480878,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,-0.100934171356766,0,0,0,0.0472149337232218,0,0,0,-0.146205626524718,0,0,0,0,0,0,0,0,0.000891832926326344,0,0,0,0,0.381166948089434,0,0,0.203758666337827,0,0,0,0,0,0,0,0.0649074917480742,0,0.168647798267803,-0.0868435063071192,0,0,0,0.0203597689969053,0,0.375318489366297,0,0,0
