,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0766832667995593,0.400146728155243,0,0,0,0.0245096918360515,0,0,0,0,0,0,0,0,0,0,0.0681325900327278,0,0,0,0,0,0,0,0,0,0,-0.00932756838500397,0,0,0,0,0,0,0,0.194994543558792,0,0,0,0,0,0.0423393018417185,0,0,0,0.0390124055115565,0.0546021612433528,0.203782624386373
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.12416902124546,0,0,0,0,0.0126773036583273,0,0,0,0,0.313917799842603,0,0.255863533547885,0.0349425830075302,0,0,0,0,0.0391387795604419,0.201427201882094,0,0,0,0,0,0,0,0.0217219256677944,0,0,0,0,0,0,0,0,0,0.0214163363416939,0,0.0430806908158473,0,0
X601939.CH.EQUITY,0,0,0,0.279700208364854,0,0,0,0,0,-0.0135844459038381,0.0840894138675383,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0400848911630162,0,-0.253754077440835,0.0280396446956077,0.574327139476872,0,0.122823060045937,-0.15823355169895,0.103675384818154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837539213377983,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.305487335775428,0,0,0,0,0,0,0.274975922613421,0,0,0.0253077553605178,0,0,0,0,0.19042968145348,0,0,0,0,0,0.0197744167632379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176788055773291,0,0,0.0466332230333703,0
X600036.CH.EQUITY,0,0.194775124800608,0,0,0,0.0391112659296089,0.118825660931984,0.0840669962380442,0,0,0,0,0,0.199180904969729,0.0508294210774067,0,0,0,0,0,0,0,0.0696681702192899,0,0,0,0,0,0.322844385787616,0.0447794626283787,0,0.0110412887079775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0764296717323956,0,0,-6.93889390390723e-18,0.00887819341821245,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.147728536213387,0,0,0,0.126205127729725,0,0,0,0,-0.0395626609127072,0,-0.117102508750237,0,0,0,0.165026878628587,0,0.0752716892780524,0,0,0.568568822057092,0,0,-0.0475135120514358,0,0.0835602180324444,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0771028485598562,-0.0250517689322445,0,0.0300802515294127,0,0,0,0.139616233789962,0,0,0,-0.0898898580208151,-0.0642989498695906,0,0,0,0,0,0,0,0,0,0.118254784431481,0,0,-0.0089683721112959,0,0,0,0,0,0,0,0,0,0,0,0.299844377814214,0.139851363758088,0.138847050466038,0,0.0449972604011952,0,0,0,0.0855143600210594,0.235815195977395,0
X601988.CH.EQUITY,0.0628582166278399,0,0.0237167657535909,0.137004418224493,0.267086701021038,0,0,0,0,0,0,0,0,0.109448511061987,0,0.245390777332911,0,0,0,0,0,0,-0.03996935866512,0,0,0,0,0.145262728982918,0,0.0620307102997591,0,0,-0.12344859844235,0,0,0.15427434109592,0,0,0,-0.091249726257959,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0283549205742645,0,0,0,0,0,0.0437177134029489,0,0,0,0,0,0,0,0,0,0,0.141878217695448,0,0.012445434851837,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.000397587148816514,0.474205708635907,0,0,0.260806039910733,0,0.194205722409864,0,-8.67361737988404e-19,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0261087290297579,0,0.0760510163820632,0,0,0,-0.0106374922789755,-0.0703299532597683,0,0,0,0,0,0,0,0,0,0.432008309032008,0,0,0,0,0.277368993631041,0,-0.0313556031081616,0,0,0,0,0,0,0,0,0,0.323442953963235,0,0,0,0.0216528030567908,0.0925056843851137,0,0,0,6.93889390390723e-18,0,0
