,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.172569657245152,0.2003911924456,0,0,0,0,0,0,0,0,0,0,0,0.0444915232542952,0,0,-0.191126969900664,0,0,0,0,0,-0.291049741422849,0,0.0487659082761015,0,0.865866918310299,-0.151664882456449,0,-0.0998546603540509,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.136359266773388,0,0.19244052480045,0.0183888766929531,0,0,0,0.0299077730387743,0,0.0594021342850857,0,0,0.10939417963277,0,0,0.0770825109978697,0,0,0.0623424506174632,0,0,0,0,0,0,0,0,0,0,0,0,0.0515855950309189,0,0.306814576775713,0,0,0,0,0.101832349454653,0,0,0,0,0
X601939.CH.EQUITY,0.149273330178931,0,0,0,0.00401703841060942,0,0,0,0,0.253077502700843,0,0,0,0,0,0,0,0.122901759123925,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0845945806020177,0,0,0,-0.148483492770889,-0.115467521694643,0,0,0.0703373814127817,0,0.427285282096327,0,0,0,0.0756919113934782,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.550576424207354,0.293625767862811,0.0858078318344702,0.565148327744223,0,0,0,0.272125089356572,0.118573864099212,0,0,0,0,0,0,0,0,-0.362611959100665,0,0,0,0,0,0,0,-0.75537945049009,0,0,0,0,0,0.022634938290525,-0.367332473112041,0,0.289659257570221,0,0,0,0,0.393291623408246,0,0,0
X5.HK.EQUITY,-0.0177377669428572,-0.105110713945716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519422697541781,0,0.0332020971205747,0.538862608307284,0,0,0,0,0.0905666690654799,0,0,0,0,-0.187079036852601,-0.052414023266611,-0.0754105365102907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248701460463226,0,0,-0.164999833828334,0,0
X601988.CH.EQUITY,-0.467046380222844,0,0,-0.0358107202999041,0.586406945680022,0,0,0,0,0,0,-0.0578737246861552,0,0,0,0,0,0,0,0.967123279692585,0,-0.0923576609984929,0,0,-0.063322787970522,0,0,-0.141160390887796,0,-0.614795778161386,0,0,0,0,0,0,0,0,0.0272176768723136,0,0,0,0.157819000279258,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0995632507498959,0.475247018526638,-0.0421725629288593,0,0,0,0,-0.104078143809055,-0.00243327532155995,0.492456384635572,0,0.135007563821096,0,0,0,0,0,0,0,0,0,-0.0934553294070207,0,0,0.285641034996271,0,0,0.0836443584166301,0,0,0.0879293999178678,0,0,-0.305216911787887,0,0,0,0,0,0,0,0.215051797877992,0,0,0.121297637545551,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.130585113032346,0.0115505208183589,0,0,0.132767177003692,0,0,-0.0824045827302462,0,0,0.142470057824437,0.0301500339171922,0,0,0.0508207908921475,0,0,0,0,0,0,0.151364201101155,0,0,0,0,0,0.146684995731473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567533492446867,0
X601628.CH.EQUITY,0,0.0931500506047644,0.0260268942303729,0.0408435014515399,0,0,0,0,0,0,0.0814071975232371,0,0,0.368818773207631,0,0,0,-0.0490407947188399,0,0.0268622655781097,0,0.0665851466341078,0,0,0,0,0,0,0,0,-0.0710017105831958,0,0,0,0,0.227971476286673,0.109075568176248,0,0,0,0,0,0.0739208873172298,0,0,-0.0806943724566229,0,0,0,0
X601328.CH.EQUITY,0,0.0159184514442972,0.0614876829002267,0.0460002186002938,0,0,0.585384880591901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.233007432266059,0.241526172130161,0,0,0,0,0,0,0,0,0,0,0,-0.0766282048582508,-0.0276138452606248,0,-1.73472347597681e-18,0,-0.30821821960289,0.0500449956552723,0,0,0,0,-0.0281054927587473,0
