,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.191146599881059,0,0.20492173827488,0,0,0,0,0,0,0,0,0,0,0.10071632729757,0,0,-0.150113753484058,0,0,0,0,0,-0.27946028203272,0,0,0,-0.0775049760437435,-0.160099022479015,0.880292800669158,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.110738640461916,0,0.176506318687256,0.0118801323570068,0,0,0.0616622282671346,0,0.0667877682701158,0,0,0,0.064385675931813,0.0742409650615185,0,0,0,0,0.0847310679811519,0,0,0,0,0,0,0,0,0,0,0.0170930836153641,0,0,0.0187538592785987,0.0599073291510355,0.299819772102457,0,0,0,0.120230926440057,0,0,0,0,0
X601939.CH.EQUITY,0.197814696826095,-0.0672085827705282,0,0,0.119101121998971,0,0,0,0,0.206582677206594,0,0,0,0,0,0,0,0.119181782526563,0,0,0,0,0,0,0,0,0,0,0,0.0670281400885594,0,0,0,-0.338795412241556,-0.173376821185259,0,0,0,0,0.12839719390183,0.488163456087996,0,0.112447439631798,0.047911953961246,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.594431277242379,0.336957406840172,0.09266087658681,0.534505115901222,0,0,0,0.167864019281463,0.264995430950604,0,0,0,0,0,0,0,0,-0.350313108570174,0,0,0,0,0,0.0297208261675717,0,-0.710484263375195,0,0,0,0,0,0,0,-0.402580104798313,0.24214788775611,0,0,0,0,0.403292109143663,0,0,0
X5.HK.EQUITY,-0.0641068109148369,-0.0737136137702642,0,0,0,0,0,0,0,0,0,0,0,0,0.528366188645704,0,0,0.008732683632677,0.406505939511613,0,0,0,0,0.0645768161989244,0.175595296692376,0,0,0,-0.0796411546535164,-0.11257719291037,-0.0888946634272777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238006618248252,0,0,-0.105820823975033,0,0
X601988.CH.EQUITY,-0.371805343984685,0,0,-0.0244123916751234,0.484810863032529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768437968230576,0,0,-0.0719001375245331,0,0,0,0,-0.555353298286928,0,0,0,0,0,0,0,0,0.117580800518851,-0.0489581926554666,1.38777878078145e-17,0,0.138367809382187,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.104567216425179,0.462279522254355,-0.0432897389498537,0,0,3.46944695195361e-18,0,-0.0997352028437141,0,0.490291167480399,0,0.140107370571404,0,0,0,0,0,0,0,-0.0876722502207048,0,0,0,0,0.284314167902445,0,0,0.0822510139752802,0,0,0.0836499168070514,0,0,-0.310541090025171,0,0,0,0,0,0,0,0.227513970067274,0,0,0.124789884715271,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.109107607043157,0.0143761770644171,0,0,0.134739164798097,0,0,-0.0735860581307133,0,0,0.0271391232688301,0.138934920982019,0,0,0.060738842690857,0,0,0,0,0,0,0.165536514337171,0,0,0,0,0,0.145089259187512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0538586847573599,0.0321217438308061,0.0318639048722596,0,0,0,0,0,0,0.120803507575915,0,0.380404819242569,0,0,0,0,0,0,0.0189151370159128,0,0,0,0,0,0,0,0,0,0,-0.0534354296330788,0,0,0,0,0.15601373124516,0.193092094994747,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.57800754478253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849018360648515,0,0.125510959622617,0.283021404628152,0,0,0,0,0,0,0,0,0,0,0,-0.0685773300223633,0,0,0,0,-0.129136569155682,0,0,0.0224212590664751,0,0,-0.0131952977928639,0
