,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.134278379193095,0,0.110997319976459,0,0.0703103898233386,0,0,0.335506971962088,0.0501891254906152,0,0,0,0,0,0,0,0,0,0.123143245270474,0,-0.0723862790640081,0,0,0,0,0,0,0,0,0.196593054969135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.399323346540604,0,0,0,0.136760452359459,0,-0.123953655015565,0,0,0.0484357470504402,5.55111512312578e-17,0,0.393634338779595,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050993970344349,-0.00328246682550536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220185289710031,0,0,0,0,0,0,0,0.0817085993507933,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.235072127083548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200776981335754,0,0,0,0,0,0.153601411919959,0,0,0.0799683024346344,0,0,0.175380426918362,0.18552591483332,0,0,0,0
X601288.CH.EQUITY,0.343493933509443,0.0716089286687471,0,0,0.380802836882617,0,0,-0.0185770801727295,0,0,0.0803731765908441,0,0,0,0,0.107129601572659,0,0,0,0,0,0,0.000119526358702049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00247594650836416,0,0.365291659059808,0,0,0,0.0283387579309878,0,0,0.232108526819106,0.0800207803170093,0,0.112010673762824,0,0,0,0,0,0.16974462774008,0,0,0,0,0,0,0.0338647731267466,-0.0384258450180679,0,-2.16840434497101e-19,0,0,0.0290635251823382,1.38777878078145e-17,0,-0.0315762780596252,0,0,0,0,0.0434318210132096,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0395474082878935,0,0,0,0.0227313467163249,0,0,0,0,0.42723831117412,0,0,0,0,0,0,0,0,0,0.0210276903810257,0,0,0,0,0.116207663366464,0,0,0,0,0,0,0,0,0,0.0571355440116682,0,0,0,0.0479176984869497,0,0,0,0,0,0,0,0,0.248278649042403,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.0214030765736611,0,0,0,0,0,0,3.46944695195361e-18,0,0.0256270693194098,0.234729035906311,0,0.159697050303587,0,0,0,0.13230700286798,0,0,0,0.170672200011804,0,0,0.0914067156231694,0,0,0,0,0,0,0,0,0,0,0,0.0804494726697618,0,0,0,0,0,0,0,0.196540719128555,0,0
X5.HK.EQUITY,0,-0.161992995372713,0,-0.108772684567139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289940730841631,0,1.24041052625321,0,-0.801467051650413,0,0,0,0.502681829254823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387028803452961,0,0,0,0,0,0,0,0,-0.107705109011175
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,-0.0259877907446626,0,0,0,0.351685541796408,0,0,0,0,0,0,0,0,0.113133383001692,0,0,0,0.156132952715351,0,0,0,0.0797969741479939,0,0,0,0,0,0,0.01047475316256,0,0,-0.0521658587062935,0,0,0,0.14681100817944,0,0,0,0,0,0,0.0231872197806698,-0.0643201487324093
X601658.CH.Equity,0,0,0,0.354107604212226,0,0,0,0.0840494136535817,0,0,0,0,0,0,0,-0.200801705270102,0,0,0,0,0,0,0,0,0,0,0.0278147577229894,0,0.859507144548125,0,0,0,0,0,0,0,0,0,0,0,0,-0.29570138239325,0,0,0,0,0.136733046948276,0,0,6.93889390390723e-18,0
X601328.CH.EQUITY,0,0,0,0.321098700423852,0,0,0,0,0,-0.0433050283115483,0,0,0.366107148998645,0.0502829553189893,0,0,0,0,0.161633744377605,0,0,0,0,0,0,0,0,0,0,0,0.0292799971696021,0,0,0,0,0.0206317729471921,0,0.0734128978794702,0,0,0,0.0530621958707493,0,0,3.46944695195361e-18,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00381682461724203,0,0.0640442706702122,0,0.161679869129062,0,0,0,0,0,0,0.0708545142833223,0,0,0,-0.0116081539684702,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.318578682177785,0,0,0,0,0,0,0,0.07327524734786,0,0,0,0,0,0,0.240674314185251,0.00367444718822835,0,0,0.094476380781068,-0.000675749149402886
X600000.CH.EQUITY,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.330027958126301,0,0,0,0,0,0,0,0.198741530920716,0,0,0,0,0,0.172706556803928,0,0,0,0,0,0.0421968023565948,0,0.00618335786371881,0,0,0,0,0,0,0.12412898784977,0,0,0,0,0.120722980001667,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.0266025740008141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165544962460251,0,-0.0188180576998258,0,0,0,0.0769608553751663,0,0,0,0.532802459876957,0,0.146042692993651,0,0.163796129615738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
