,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.341389102730403,0,0.29751460913935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234696120436248,0,0,0,0,0,0,0.110520719198801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317527981218422,0,0.0997299123288234,0,-0.123927774496039
X601939.CH.EQUITY,0.396945209171965,0,0,0.238916541929638,0,0,-0.125971793288949,0,0,0,0.0138610862155716,0,0.130031124568563,0,-0.0907286957050615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021769700018549,0,0,0,0,0,0,0,0,0,0.203133286879459,0,0,0.0374868746636467
X601318.CH.EQUITY,0,0,0,0,0.22957680672354,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.167092315923731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251254044182743,0,0,0,0,0.185564214470555,0,0.00281261594985458,0,0,0.0295937023285807,0,0.119901762236313,0
X601288.CH.EQUITY,0.380352123978316,0.115329532804893,0,0,0.180888330513077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.141874006610163,0,0,0,0,0,0,0,0,0,0,0,0,0.0511176006404477,0,0,0,0.0689535232001543,0,0,0,0.0738014002970397,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.375504877080442,0,0,0,0,0,0.249662993479465,0,0,0,0,0,0.335634969893439,0.0848952563653976,0,0,0,0,0,0,0,0,0,0,0.002594913098115,0,0,0,0,0,0,0,0,-0.349968496932913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.443076071624001,0,-6.93889390390723e-18,0,0.0781796365912732,0,0,0,0,0,0,0,0.0520381891143153,0,0,0,0,0,0.0319039045077295,0,0,0.077963408351129,0,0,0,0,0.0159831835593604,0,-6.93889390390723e-18,0.0107805737237563,0,0,0,0,0,0,0,0.239050825669785,0,0.00748289610368493
X1299.HK.EQUITY,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0704507020851771,0,0,0.0632740306976612,0.12660347711863,0,0,0,0,0,0,0,0,0,0.0220061388036564,0,0,0,0.154951794544301,0,0,0,0,0,0,0,0,0.217842429537456,0,0,0,0,0,0,0.0858950481095685,0,0,0,0.129369214418531,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.128324904044198,0,0,0,0,0,0,0,0,0,0,-0.0122006836211433,0,0,0,0,0,0,0,-0.376635846220798,0.745302789034465,0,0,1.38777878078145e-17,0,0.50050049165635,0,0,0,0,0,0,0,0,0,0.381343595531294,0,0,0,0,-0.0932552394851812,0,0,0,0,0,0,-0.0599154841465104
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916364936961457,0,0,0,0,0.0065654560169417,0,0,0.0580011748092243,0,0.263368282546241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909080961183774,0.201418363861629,0,0,-4.33680868994202e-19,0,0.141332158571678,0.0342881578523966,0,-0.0690193235000388
X601658.CH.Equity,0,0,0,0.0933261152215631,0.0693808722417611,0,0,0,0,0,0,0,0.138287199783202,0,0,0,0,0,0,0,0,0.072646985760429,0,0,0,0,0.184753511327311,0.181027542383204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315821850066089,0,0,0
