,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.102722442286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404547749544893,0.375502273145802,0.00763678810554121,0,0,0,-0.0832389260383685,0,0,0.274780451181199,0,0,0,-0.289703987332524,0,0,0,0,0,0,0.0289098965954269,0,0,0,0,0,-0.289003968013539,0,0.0689406883637024
X601318.CH.EQUITY,0,0,0,0,0,0.210204862716517,0,0,0,-0.00911836672484308,0,0,0,0,0,0,0,0,0.0427624430898068,0,0,0,0,0,0,0,0,0.0578337018921393,0,0.0397916475824555,0,0,0,0,0,0,0,0.23356083390616,0,0,0,0,0,0,0,0,0.0929325777365678,0,0,0.343098786811713,0
X601939.CH.EQUITY,0,0.0567284320639617,0,0.80971615171237,0,0,0,0,0,0,0,0,-0.031189728536049,0,0,0.0153444460902727,0.119306125491619,0,0.0219921675223702,0,0,0,0,0,0,0,0.0317254286386344,0,0,0,0,0.0276710658745076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167094936914389,0,0
X601288.CH.EQUITY,0,0,0.883170842471479,0,-0.115936312232769,0,0,0,0,0,0,0,0,0,0,0.0459292452877243,0.0407228160042831,0,0.157917479652203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120004460038043,-0.108593834666003,0,0,0,0,0,0,0,0,-0.0355772704794262,0,0.0176388424578428
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.050429262934013,0,0.439736416906942,0,0,0,0,0,0,0,0,0,0.0795720336573536,-0.0478427686329844,0,0,0,0,0,0,0,-0.0192555523367599,0,0,0,0.339977111338253,-0.141074502930128,0,0.0904894015460595,0,0,0,0,0,0,0.158969849087996,0.173378775193687,0,0,0,0,0.0914539511395177
X600036.CH.EQUITY,0,0,0.38756970302016,0,0,0,0,0,0.00873220526815972,0,0,0,0,0,0,0,0.122234379569775,0,0,0.00563909383267591,0.0203087211347829,0,0,0,0,0,0.191206635642187,0,0,0,0,0.168400197954022,0,0,0,0,0,0,0,0,0,0,0,0.0250187576545952,0,-0.00890247187758202,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0682124546324057,0.128619243159582,0,0,0,0,-0.0387986775049279,-0.0669282600873294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110262550660497,0,0,0,0,0,0,0,0,-0.0362316027822508,1.06249296649165,0.0224882302771549
X1299.HK.EQUITY,0,0,0,0,0.238575909185204,0,0,0,0,0.199873552082112,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21900589270653,0.0574560369890437,0,0.41122897407688,0.192619787001349,0,0.1159747353276,0.167340790666837,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0941900628525514,0.0784629320045876,0,0,0,0,0,-0.0377949387043357
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200195956232934,0,-0.259588390436452,0,0,0,0,0.0914116609122366,0,0.0710576331342086,0.390547199532449,0.177519424254443,0,0,0.00672919585124317,0,0,0,0,-0.207429321887945,0,0,0,0.0638903321344711,0,0,0,0.034958451230135,0.0303079244791929,0,-0.143960977583264,0,0,0.195724412748946,0,0
X388.HK.EQUITY,0,0,0,0,0.2591695799701,0,0,0,0,0,0,0,0,0,0,0,0,-0.271079194665525,0,0,0,0,0,0,0.426247604307355,0,0,-1.38777878078145e-17,0.0939305103098453,0.0154619672903335,0.0925613534691545,0,0,0,0,0,0,0,0,0,0,0,-0.210458191626188,0,0.126104741290967,0.0536837564151588,0,0,-2.71050543121376e-20,0,0
