,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.52836286144482,0,0.0929471128797854,0.0261869209927269,0.0809662135120872,0.0664858824475059,0,0,0,0,0,0,0,0.0361001606476254,0,0,0.0221084880827759,0.0640814507640943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760988200473327,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.405182282829465,0,0,0.0794494799778923,0.00250261694073328,0.100391699899859,0,0,0,0.0886814281903875,0.0845581379690761,0,0,0,0,0,0,0,0,0,0,0,0.0220652937531273,0,0,0.0451652811408741,0,0,0,0,8.67361737988404e-19,0,0,0,0.0053966117661345,0,0,0.0409400280076788,0,0.0317459539169566,0.0663804909310096,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152632677581394,0,0,0.00355614085755265,0,0,0,0,0,0,0,0.134604266556436,0,0,0,0,0,0,0,0,0.0248047721662078,0,0,0,0,0,0.253992543508383,0,0,0,0,0,0,0.256824506184884,0,0,0,0.0864982307462765,0,0.0602046574036521,0,0,0,0
X601288.CH.EQUITY,0.373908607217001,0,0,0,0,0.0101581385840031,0,0,0,0.0957472084834941,0,0,0,0,0,0,0,0.235905924883413,0,0,0,0,0,0,0,0.0303363290819632,0,0,0.124988722572009,0.0648438643248167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077147838924634,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.124805137959316,0,0,0,0,0,-0.287479267361503,0,0,0,0,0.259497240289442,0,0,0,0,0,0.0655235627091726,0,0,0,0,0,0,0.324842831412413,0,0,0.526750778850261,0,0,0,-0.131203695549408,0,0,0,0,0,0,0,0,-0.25937294842537,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0111341843591179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352456835248527,0,0.00329158873825521,0,0,0,0,0,0,0,0.0367578256724037,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.403996552570104,0,0,0,0,0.0700762524343979,0,0,0
X600036.CH.EQUITY,0,0,0.190420277593091,0,0,0,0,0,0.088820557073367,0,0.0485551559480073,0,0.215578529813717,-0.0440693191287842,0,0,-0.0469861511439731,0,0.0399284210520374,0,0,0,0,0,0.400141246094392,0,0,0,0,0.117542163968486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167676296184963,0,0,0,-0.0476397370790099,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.144831701424072,0,0,-0.104759818957272,0,0,0,0,0,0,0,0,-0.0302291998262937,0,0,0,0.218566773342072,0,0,0.14197789731811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219997904974451,0.110753837522995,0.265399337680243,0,0,0.0665037904822873
X601628.CH.EQUITY,0,0,0.0389110592587658,0,0.0682625818837732,0,0,0,0,0,0,0.016968640915659,0.198126883862483,0,0,0,0.0250979711400879,0,0,-0.110449757955551,0,0,0,0,0,0,0.154734831087441,0,0,0,0,0.236372523854459,0,0,0,0,0,0,-0.0281978820498049,0,0.0927064316916699,0.172990458964402,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.101861677033541,0,0,0,0.0500391225094398,0.00820589520239133,0,0,0,0,0.0771960272584003,0,0,0,0,0,0,0.0236930690347009,0.208362557614818,0,0,0,0.00466729606752451,0,0,0,0,0,0.0884847743936097,0,0,0,0,0,0,0,0,0.169594975947274,0.258461471036907,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.0794106186267542,0.0787255029709535,0,0,0,0.140410097393088,0.00187931885303347,0.0979304666124076,0,0,0,0,0,0,0,0,0,0,0,0.0925622690368975,0.269439265356071,0,0,0,0,0,0,-4.37562269265104e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779002421697152,0,0.0375174247405532,0,0,-0.0351704959221703,0
X601319.CH.EQUITY,0,0,-0.107446903933207,0,0,0,0,-0.382491482629155,0,0,0,0,0,0,0,0.135642781093652,0.0469505100130383,0,0,0,0,0,0,0.306058864325595,0,0,0.358684961525345,-0.0641489311503615,0,0.0681435704950661,0,0,0,0,0,0.0506371341273586,0.610324676778476,0.0640287146216635,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.041055078594247
X600000.CH.EQUITY,0,0,0,0,0,0,0.209847817982019,0.0341908284662879,0,0.142896185725599,0.0041596404010122,0,0,0,0,0,0,0,0,0,0,0.138885827163886,0,0,0.0942163253362348,0,0,0,0,0,0,0.102079325234167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173503506668657,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0835784826723804,0,0,0,0,0,0,0,0,0,0,0,0.0292029780287287,0,0.0888148440952615,0,0.201864477974332,0,0,0,0,0.668251586188685,0,0,0.0448591324349142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119767449563488,0,0,0,0,0.289533419316579,0,0,0,0,0,0,0,-0.0833188344572567,0.185546057357229,0,0,0,0,0,0,0,0.0019721848836128,0.0291253162171025,0.234297656580373,0,0,0,0,0,0,0.281445787654385,0,0,0,0,0
X16.HK.EQUITY,0,0,-0.0108504008382888,0,0,0,0,0,-0.119181047964305,0,0,0,0,0,0,0,0,0,0,0.125658055840444,-0.120696045342596,0,0,0,0,0,0,0.0767782471345845,0,0.123672527500736,0.206225682126097,0,0,0,0,0.0966336813025726,-0.0438974467673514,0.195227177266699,0,0,0,0,0,0.028795175587636,0,0.24184439690905,0,0,0,0
