,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0886050509657001,0,0.41563544120149,0,0,0.0463275000201352,0,0.24025798386773,0,0,0.14715063416673,0,0,0,0,0,0.0265913829945241,0,0.00819293944583611,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0599731620113891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.391074438944036,0,0,0.114215986346118,0,0,0,-0.0798612392743569,0,0.0254660193790366,0,0,0.40680093340314,-0.0338307700888172,0,0,0,0,0,0,0,0,0,0,0,-0.0877308637048632,0,0,0,0,0,0,0.114634133771854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122039827180908,0.0112623553292687
X601318.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0572506967390598,0.368567672604103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780533490379365,0,0,0.134056248603541,0,0,0,0,0,0.215011164173467,0,0,0,0,0
X601288.CH.EQUITY,0.453257550056087,0.000551777915284148,0,0,0.405399987883004,0,0,0,0,-0.0200929529039193,0.0435271473571686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404328803820959,0,-0.0522187744359952,0,0,0,0,0,0,0,0.0673792401146961,0,0,0,0,0,0,0,0,0,-0.0283922060290637
X601988.CH.EQUITY,0,0,0,0.27924421357566,0,0,0,0,0,0.00144691904067839,0,0,0,0,0,0,0,0.136276957841917,0.135509695463296,0,0,0,0,0,0,0,0,0,0.00148366137251175,0.0667820654201796,0,0,0,0.0119163851117113,0,0,0.0472453548110666,0,0,0,0,0,0,0.165933998587352,0,0,0.14764940557739,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0768139147685722,0,0,0,0,0,0,0,0,0,0,0.565721727005719,0,0,0.0222451231758726,0,0,0.411349672525093,-0.342915109956293,0,0,0,0,0,0,0,0,0,0,0,-0.0073194976336973,0.323470750691964,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0396704283145725
X600036.CH.EQUITY,0,0,0.00515496044359243,0,0,0,0,0,0,0,0,0.471261234238917,0,0,0,0,0,0,0,0,0,0,0,0.043899980484173,0,0.12776427676939,0,0,0.0293530175808135,0,0,0,0,0,0.106362042180613,0,0,0,0,0,0,0.0534464334689297,0,0,0,0,0,0,0,0.219906843290349,0.0253984197346406
X1299.HK.EQUITY,0.000863601901283548,0,0,0,0,0,0.104331227334868,0,0,0,0,0,0,0,0.107443505432431,0,3.46944695195361e-18,0,0,0,0.228737090575321,0,0,0.0996037727950106,0,0,0,0.10365121838784,0,0,0,0,0,0,0,0,0.178972013548543,0,0,0,0.185077237768964,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.322767932275616,0,0,0,0,0,0,0,0,0,0.106572707573869,0.310960704847461,-0.0227197537106541,0,0,0,0,0,0,0,0,0,0,0,0.0166368274249847,0,0,-0.0369931721654211,0,0.140661302201182,0,0,0,0,0,6.93889390390723e-18,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.347984909492106,0,0,0,0,0,0,0,0,0,-0.10195760842744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831015418185561,0,0,0,0,0,0,0,0,0,0,-0.388426510456961,0,0,0,0,0,0.304663322959755,0,0,0,-0.120453912852693
X601328.CH.EQUITY,0,0,0,0.284825767635415,0,0,0,0,0,0,0,0,0.251025993615003,0,0,0,0,0,0.344562337254697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899246135990838,0,0.047322725932265,0,0,0.00916849372741298,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00528805626019621,0,0.0651925435646774,0,0,0.161232719761479,0,0,0,1.0842021724855e-19,0,0.0708962922327054,0,0,-0.0151561948818284,0,0.00245574091706396,0,0,0,0,0,0,0,0,0,0,0,0,0.319134728514159,0,0,0,0,0,0,0,0.0751946230824937,0,0,0,0,0,0,0.245790746793918,0,0,0,0.0945244181553813,0
X600000.CH.EQUITY,0,0,0,0.0185098676365903,0,0,0,0,6.93889390390723e-18,0,0.385238204204782,0,0,0,0,0,0,0,0.197674226975359,0,0,0,0.152198364740353,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.118389355934531,0,0,0,0,0.118836364322799,6.93889390390723e-18,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.108975867887871,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.127627309595157,0,0,0,0,0.521946861260805,0,0,0,0.160956055170694,0,0,0.126813778036741,0.185904983798481,0,0,0,0,0,0,-0.0518205157654546,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.21054782578504,0,0,0,0,0.325833409013884,0,0,0.0212176492301122,0,0,0.0226915638492924,0,0,0.0999329465973347,0.133098216057521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100002341503455,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385353239836727,0,0,0,0,0,0,0,0,0.207034072870983,0,0.119147477413853,0,0,0,0,0,0,0,0.0314748066324742,0.0263512008590548,0.0469995295805275,0.230690490134439,0,0,0.216005251038717,0.0177800807275879,0,0
X16.HK.EQUITY,0,0,0,0,0,0.114991555387082,0,0,0,0,0,0,0.253659561036459,0,0.0794268566966155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815768165514604,0,-0.0815516973641738,0,0.14736094613803,0,0.256899685513784,0,0.157432584251365,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0652189152687633,0.346570621868644,0,0.0728946353319286,0,0,0,0,0,0,0,0,0,0,0.0763560116563197,0,0,0,0.27566702080442,0,0,0,0,0.133430217903177,0,0.00511183142631369,0,0,0,0,0,0,0.0466796784536872,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0.266794505905331,0,0,0,0,0,0.230815205769623,0,0.1179569375598,0,0,0,0,0,0,0,0,0,0.158385853895986,0,0,0,0,0,0,0,0.110889894276204,0,0,0.0176875117682602,0,0,0,0,0,0.0551523914670168,0,0,0,0,0,0.0361177779801689,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0468615279194925,0,0,0,0,0,0,0.0586794208741853,0,0,0,0,0,0,0,0.006128368174683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472138171104097,0,0,0.0351044737857632,0,0.368955484328995,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0797928779752377,0,0,0.0983772650514593,0,0,0,0,0.0583354689155048,0,0,0,0,0,0,0,0,0,0,0.0760086246859427,0,0,0.401618317268764,0,0.247451648096431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.235336894469048,-3.46944695195361e-18,0,0,0.0432701737252396,0.0501960544563041,0,0,0,0,0,0,0,0,0,0,0.028856936488682,0,0,0,0,0.0441191658059035,0,0,0,0,0,0,0.0129352770078125,0,0,0,0,0,0,0,0,0,0,0.438781672974767,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0.0451258225924654,0,0,0,0,-0.0191758409178412,-0.0276893417518251,0,0,0,0.237703341882339,0.178611789107357,0,0,0,0,0,0,0,0,0,0,0.256212555961674,0,0,0,0,0,0,0,-0.0671115118345275,0,0,0,0,0,0,0.0766607934619916,0.28998441388277,0.031600449028031,0,0,0.0336885199302241
