,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,-0.212958440114723,0,0,-0.00663889042296274,0,0,0,0,0.566721430120887,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.127361491439725,0,0,0,0,0,0,0,0,0,0,-0.285259819148429,0,0,0,0,0.681478043221998,0,-0.139645987300353,0,0,0,-0.0535688721592772,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.00594293322517051,0,0,0.163607213149346,0,0,0.0250007508051865,0,0,0,0,0,0,0.0615340200669324,0.122892491896409,0,0,0,0,0,0,0.038462652673629,0,0,0,0,0.0528769634106883,0,0,0,0,0,0,0,0.0108516793803162,0.601434656066691,0,0.015273433621962,-0.0794511955726643,0,0,0,0,0,-0.0482955959177519,0,0,0
X601939.CH.EQUITY,0.282196524900016,0,0,0,0,0,0,0,0.0521453107170941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395677958927572,0,0,0,0,0.116484624318521,0,0.0206612478639467,0,0,0,-0.0833958166956196,0,0,0.383842357448896,0,0,-0.020688160195366,0,0.11091335733185,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.277548639027841,0,0,0.0613892231161752,0.0243557538422685,0,0.0659133588535714,0,0,0,0,0,0,0.179496792726917,0,0,0,0,0,-0.0624576068257811,0,0,0.0923532143492781,0,0,0,0,0,0,-0.116331381390064,0,0,0,0.121350818108357,0,0,0,0.212842498187811,0,0,0,0,0.131631882712635,0,-0.00533192247204372,0
X5.HK.EQUITY,-0.1082604581817,-0.0577674991214531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268842015541247,0,0,0.102133862215096,0.308373564140133,0,0,0.316842818930542,0,0,0,0,0,-0.131187986103859,0,0,0,0,0,0,-0.0965357383363559,0,0,0,0.192689564421931,-0.209012049950554,0,0,0,-0.0791444861768866,0,0,0,0,0
X601988.CH.EQUITY,0.233602220052248,0,0,0.576237150052861,0,0,0,0,0,0,0.106492023090106,0.113241972921447,0,0,0,0.0310911872784684,-0.0605006344794395,0,0,0,0,0,0.0106260350266223,0.0547330087726386,0,0,0.0249708584398603,0,0,0,0,0,0,0,0,0,0,0.0168552777467317,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.411240090955639,0,0,0,0,0,0,-0.0385474376258487,0.358799173330139,0,0,0.323511878392775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351203313362882,0,0.205899836599138,0,0,0,0,-0.179280717850942,0,0,-0.296670075712554,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.186481616779411,0,0,0,0,0,0,0,0,-0.092679909645819,0,0,0,0,0.262820150725558,0,-0.157802088031459,0.0723390126173037,0.0626382250289327,0,0,-0.0273847381734708,-0.00992611757716511,0.561990877357583,0,-0.0986607797999714,0,0,0,0,0,0,0,0,0,0,0,0,-0.0883067705302112,0,0,0,0,-0.13976464031224,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.109618205313019,0,0,0,0,0,0,0,0,0,0,0,0.287124481207181,0,0,0,0.0542832785400652,0.0621075941859376,0,0,0,0,0,0.0940430441417144,0,0,0,0,-0.0471138606011287,0,0,0,0,0,0,0.0930089415113244,0,0.158090058637402,0,0,0,0,0,0,0,0,0,0.0865335576841835,-0.0100551398331737,0
X601328.CH.EQUITY,0,0.286816518575209,0.113933260463705,0.381328480891283,0,0,0.194154693010058,0,0,0,0,0,0,0,0,0,0,0,0.063492579341169,0.0350942711802485,0,0,0,0,0,0,0.249692435411212,0,0,0,-0.0092685300462039,0,-0.32355355741309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.330295749667741,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.290993510260424,0,0,0.104360398676073,0,0,0,0,0.459431308544693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289573201799243,0,-0.0702862261437824,0,0,0.346234367689596,0,0,-0.0685076903607316,0,-0.130318374552874,0,0,0,0,-0.0555726574690951,0,0,0
X601319.CH.EQUITY,0.127940623087962,0,0,0,0,2.16840434497101e-19,0,0,0.124846276005578,0,0,0,0,0,0,-0.0274286688085462,0,0,0,0,0,0,0,0.198934243915575,0,0.0409101591290319,0,0.0165985728012422,0,-0.0480206069535306,0,0,0,0,0,0.27343488509519,0,0,0,0,0,0,0,0.113073645779935,0,0,0,0,0,-0.131555392360114,0
X600000.CH.EQUITY,0,0,0,0,0,0.258579892898498,0.432157413515937,0,0,0.160188540763676,0,0,0,0.422012007867019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704820058141799,0,0,0.0885018020246043,0,0,0,0,0,-0.313249826719529,0,0,-0.0174673658934187,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.355251981042644,0,0,0,-0.22391254688158,0,0,0.292600672824504,0,0.0152600974828349,0,0,0,0,0,0.174088945142131,0.108435745111275,-0.0812885609811125,0,0,0,0,0,0,0.0336061748288977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249671308936858,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0183923921207745,0,0,-0.0233347753586225,0,0,0,0,0,0,0,0.0294802032928415,0,0,0,0,0,0,0.217686273695236,0,0,0,0.133164977209845,0.10973614607735,0.188359766741827,0,0,0.157057138950163,0,0,0,0,0,0,0.344435374711083,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.158021330713169,0,0,0.283865117317983,0,0,0,0,0,0,0,0,0.0973445903611866,0,0,0,0,0,0,0,0.0323488556384836,0,0,0,0,0.169901381127437,0,0,0,0,0,0,0,0,0,0,-0.0433122235055597,0,0,0,0,-0.00917430505093322,0,0,0,0,0
X000002.CH.EQUITY,0,0,-0.0990438225136913,0,0.106256656017137,0,0,0,0,0,0,0,0,0.331911258654726,0,0,0,0.140484620763683,0,0,0,0,0,0,0,0,0.270104183733025,0,0,0.330045413917729,-0.306286998647721,-0.0995991725759466,0,0,0,0,0,0,0,0,0.11547968540242,0,0,0,0,0,0,0,0,0.347033932819376,0
X000001.CH.EQUITY,0,0.0967140046583275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959576275600413,0,0,0,-0.0900617684512396,-0.0455675930668054,0,0,0,0,0.154386610274362,0,0,0.0741200440618294,0,0,0.283563352425316,0,0.109636077130606,0.049032112242585,0,0,0,0,0,0,0,0,0,-0.013692429976253
X267.HK.EQUITY,0,0,0,0,0.0750437991907214,0,0.37885681630229,0,-0.0949645429369511,0.0168154370740299,0,0,0,0,0.0919985313666315,0,0,0,0,0,0.240748738170519,0,0,0,0.0946940822671384,0,0.0587498830431723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190085705418125,0,0,0,0,0,0,0,0
