,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.33152447324095,0,0.302207458313542,0,0,0,0,0,0.0615102710270421,0,0,0,0,0.111194263819295,0,0.0334268637279243,0,0,0,0,0,0,0,0,0,0,0.0608071256936299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437833276972036,0,0,0.00120223600962115,0,0,0
X601318.CH.EQUITY,0.112054006156316,0,0,0,0,0,0,0,0.196035035057017,0,0,0,0,0,0,0,0.229309565655849,0,0.0358706992428222,0,0,0,0,0,0.0292964387483097,0,0,0,0,0,-0.0742761536752707,0.138786321401314,0,0,0.140161578747285,0.0284133194720371,0,0,0,0,0,0,0,0,0,0.0723928638337921,0.0487051791138608,0,0.0905761105344027,0,0,0
X601939.CH.EQUITY,0.345751509091812,0,0,0,0,0.103352342830826,0,0,0,0,0,0,0,0.41255220711258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666806932899663,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.351965370010725,0,0.00656137323496251,0,0,0.497758867976311,0,0,0,0,0.0122691502587527,0,0,0,0.0417131105152211,0,0,0,0,0,0,0,-0.0314203402400715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173503994497839,0,0,0,0,0.0954619130181666,0,0,0.00721000113594002,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460371171021007,0,0,0,0,0,0,0,0,0.0769738511884929,0.0452803915750763,0,0,0.69432239055841,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.41341247761963,0,0.0226623956551353,-1.38777878078145e-17,0,0,0,0,0.0150381618078803,0,0.0331670471962642,0,0,0,0,0,0,0,0.0467618758540849,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.156352808927822,0,0.0126566430877016,0,0,0,0,0,0,0,0,0,0,0,0,0.273661413169335,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.159740837804842,0,0,0.297407898899047,0,0.0977931109823452,0,0,0,0.169776498053242,0,0,0,0,0,0,0,0,0,0,0,0,0.0795309270534353,0,0.0369785958968824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457864048379102,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0789029473741248,0,0,0,0.340731863209005,0,0,0,0.197808946093765,0.125739215647095,0,0,0,0,0,0,0,0,0.195974571410784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.102520532170964,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.131376752190617,0,0,0,0,0.260217373169394,0.137055623502694,0,0,0,0,0.00388958402677706,0,0,0,0.0511681902094028,0,0,0,0,0,0,0,0,0,0.142294136287706,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0918498214124218,0,0,0,0,-0.42783821936307,0.225766011293774,0,-0.239329372795676,-0.485036065715941,0,0,0,8.67361737988404e-19,0,0,0,0.817310201598449,0,0,0,-0.0169664261767379,0,0,0.135104831353952,0,0,0,0.0430968078060494,0,0,0,0,0,-0.899815924385172,0,0,0,1.36416610414964,0,0,0,0,0,0,1.73472347597681e-18
