,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.0973803054300097,0,0,0,0,0,-0.0666774917017494,0,0,0,0,0,0,0,0,0,0,-0.0996719986993144,0,0,0.673194315937289,-0.224460444499826,0,0,0.437863059471806,0,-0.0542657788153839,0,0,0,0,-0.0266596444499268,0,0,0,8.67361737988404e-19,0,0,0,0,0.0875277320598824,0,0,0,0,0,0,0.0209300490329181,0.0755407403540768
X601318.CH.EQUITY,0,0,0,0,0.0203313416000685,0,0,0,0,-0.0655627175178502,0,1.38777878078145e-17,0,0,0,0.175340145561946,0,0,0.0103693485750611,0.343387292854661,0,0,0,0,0.00924590574239868,0,0,0,0,0,0.149738267256608,0,0,0,0,0.110921976062154,0.0525978578964065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690577948757436
X601939.CH.EQUITY,0,0.0713327795901433,0,0.782760334733185,0,0,0,0,0,0.0395345692525172,0.0583715347197972,0,0.0070323114589922,-0.0451613180003433,0,0.0712357104323668,0,4.33680868994202e-19,0,0,0,0.00278156007386243,0,0,-1.73472347597681e-18,0,0,0,0.0425641192965317,0,0,0,0,0,0,0,0.0729143265649243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.926232699425825,0,-0.00863439434659741,0.0842695342239936,0,-0.0715955890490831,0,0.0224805859103239,0,0,0,0,0,0,0.0305946240304552,0,0,0,0,0,0,0,0,0,0,0,0.016727695560121,0,0,0,0,0,0,0,0,0,0.0217145997392579,-0.0486542900973527,-0.108095262609339,0,0,0,0,0.0412944936898343,0,0,0,0,-0.105424608182722,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0186649195438934,0.307771302737066,0,0.253912342323594,0,0,0,0,0,0,0.453611573468768,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.066756431568868,0,0,0,0,0,0,0.0108473897286758,0,0,0,0,0,0,0,0,0,0.125322090323924,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.337974433157092,0,0,0,0,0.0683285953673178,0,0,0,0,0,0.0400854488660208,0,0,0.163226066359404,0.0109319889748789,0,0,0,0,0,0,0.186570843403672,0,0,0,0.0449702305892827,0,0,0,0.0391042039341375,0,0,0,0,0,0,0,0,0,0,0.0480539635357011,0,0,0.0423021266541428,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0626804740549987,0,0.0132871167762764,0,0,-0.0578329483507801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731526363811298,0,0,0,0,0,-0.0257233450195579,0,0,0,0,0,0,0,0,0,0,0.00047473830504648,-0.134332763698321,0,0.999770430588863,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.222878132469107,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.239171958057999,0,0,0,0.0660986665775765,0,0,0,0.0343599990236102,0,0,0.174959480281056,0,0,0,0.0357732355634254,0.0258567658034414,0,0,0.0284011473314065,0,0,0,-0.00913959396446746,0,0,0,0.191423813116824,0,-0.0890830062072407
X5.HK.EQUITY,0,0,0,0,-0.0439606996496481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418097217830449,0,0,0,0,0,0.360938352163107,0.201216263097791,0,-0.204509753066671,0,0,0,0,0,0,0,0,0.0357807149292513,0,0,0,0,0.247981812255251,0.0652776830215519,0.00628801661842281,0,0,0,-0.273923080804152,0.207376923541577,0.0762043568368794
X388.HK.EQUITY,-0.013606354328462,0,0,0,0.216655084166922,0,0,0.130488413640613,0,0,0,0,0,0,0,0,0.023923531140776,0,0,0,0.23472674032957,0,0.280794523023379,0,0.132707954048469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033080466171332,0,0,-0.095683243618551,0,0,0,-0.142025931519795,0,0,0,0.188099244469332
X601658.CH.Equity,0,0.0320492686432708,0.329364252540332,0,0,0,0,0,0,0,0,0,0,0,0,0.0182802108983496,0,0.0287857821941375,0.159545436957882,0,0,0,0,0,0,0,0,0,0.00464484831179162,0.0941239795439031,0,0,0,0,0.0138766483227882,0,0.0332945719492151,0.0348342747669838,-0.0882380215152635,0,0,0,0.0876353193329498,0,0.0586941207806936,0.0392578266699875,1.0842021724855e-19,0.0546051032748651,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.00784765196093425,0,0,0,-0.0305706868655389,0.0865157979149663,0,0,0,0.324949400783688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708410107405494,0,0,0,0,0,0,0.227236552896623,0,-0.0360717695214224,0.0494628888364893,0.0814747812281475,0,0,0,0,0,0.238453853903712,0,0
X601166.CH.EQUITY,0,0,0.0069320792170573,0.03308844086133,0,0.0946729880338953,0.10978460671505,0,0,0,0,0,0,0,0,0.00788383231244792,0,0.00735241171128365,0,0,0,0.076860319151136,0.0168365183521831,0.21764984362677,0,0,0,0,0,0.0208428887058282,0,0,0,0,0,0,0,0.126608848933011,0,0,0,0,0,0,0,0,0,0,0.376255341419405,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0233176600593217,0,0.601534552387052,0,0,0.0460310946737679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132036237327826,0,0,0,0.0156527363629718,0,0,0,0,0,0,0,-0.0190992665454155
X000002.CH.EQUITY,0,0,0,0.170480509408352,-0.226675405622875,0,0,0,0.250516926623448,0,0,0,0.14447201053073,0.379811352907426,0,0,0,0,0,0,0,0,0.042362884262428,0,0,0,0,-0.149663927002783,0,0,0,0,0,0,0,0.0790881929556199,0,0,0,0,0,0,0,0,0,0.0492918648108544,0,0,0,0,0.00939991241798419,0
X000001.CH.EQUITY,0,0,0,0,0.0272890088215338,0.605890821579801,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0281953936199475,0,0,0,0,0,0.0794755215726362,0,0,0,0,-0.162754599802652,0,0,0,0,0,0.100477584698286,0,-3.46944695195361e-18,0.126157370951682,0.0375616453785581,0,0,0,0,0,0,0,0,0,0,-0.158711141208313
X601328.CH.EQUITY,0.115947230992036,0,0,0.126531564217707,0,0,0,0,0,0,0,0.0566237931597808,0,0,0,0,0,0.0864775805322813,0,0,0,0.389215366709456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219394888150366,0,0,0,0,0.0786851004279994,0,0,0,0.00589027202407983,0,0,0
X600000.CH.EQUITY,0,0,0.0943520213053917,0.0183289012210117,0,0.329931064697999,0,0,0,-0.0555814112252759,0,0,0,0,0,0,0,0,0,0.121321359148584,0,0,-0.0395204402350105,0,0,0,0,0,0.126790697026241,0,0,0,0,0,0.019201657797737,0,0,0,0,0,0.623681001466731,0,0,0,0,0,0,0.179870175136359,0,0,0,0
X601601.CH.EQUITY,0,0.172258956961208,0,0,0.293180365149281,0,0,-0.0257647256914569,0,0,0,0,0,0,0.156087140680552,-2.71050543121376e-20,0,0,0,0.176263339138161,0,0,0,0.0406643130808041,0.1260245487851,0.0685796050531956,0,0,0,0,0,0,0,0,0.026432463303366,0,0.10902129586323,0,0,0,0,0,0,0,0.043234427709333,0,0,0,0,0,-0.0465514638653115,0
X601319.CH.EQUITY,0,0,0,0.15446660719801,0,0,0,0,0,0,0,0,0,0,0.279171156356349,0,0,0,0.0924943922240284,0,0,0,-0.0260841640861607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0933518474822587,0.0644983275533442,0,0.147077318700336,-0.0284383956264136,0.157068213461424,0,0,0,0,-0.108918071584278
X16.HK.EQUITY,0,-0.0397612680303923,0,0,0,0,0,0,0,0,0,-0.125652024317166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312391096780164,0,0,0,0,0,0.174235085111118,0,0,0,0,0.0201138523346234,0,0.0211603558536338,0.26632472144671,0,0,0,0.221494550275261,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0287905409126161,0.0162794755485692,0,0,0,0,0,0,0,0,0.100731057139213,0,0,0,0.108464710249797,0,0,0,0,0,0,0,0,0.152101107919927,0,0,0.0631800996425817,1.73472347597681e-18,0.0476560428238642,0.0920010154129335,0,0,0.0825585663429911,0,0,0,0,0,0,0,0,-0.0299742651559593,0.0362094465948096,0.0169230349388909,0.0882969960213798,0,0,0,0,0
