,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.131345702558801,0.524736284338384,0,0,0,0.0200192094048003,0,0,0,0.079512410948847,0,0,0.161274607061435,0,0,0.0125670122658069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326173812478713,0,0,0,0,0,0,0,0.0523063315652348
X601318.CH.EQUITY,0,0,0,0,0,0,0.0332369784344348,0.0976379583020907,0.27506882423432,0,0,0,0,0,0,0.0538323078457487,0.334366689798293,0,0.0880533456095431,0,0.0658874175002627,0,0,0,0,0.0266145773611672,0,0,0,-0.0418107232828984,0,0,0,0,0,0,0,0,0,0.0575358238042995,0,0.00065083158090711,0,0,0,0.00246362925509118,0,0,0,0,0
X601939.CH.EQUITY,0.198103698941229,0,0,0.460425089956071,0.0431489091108202,0.0919417771866904,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178235459607111,0,-0.0259951826750519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183969243511019,0,0,0.0188304882635722,0.00635988512087787
X601288.CH.EQUITY,0,0,0.102550972026844,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0260957764072668,0,0,0,0,0,0,0,0,0,0,0,0,0.192885942695834,0,0,0.388348910583157,0,-0.0427300652365293,0,0,0,0,0,0,0,0,0,0,0,0,0.140121157970296,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0780383080156164,0,0,0.226888088914268,0,0.192570106640652,0,0,0.0412508919744735,0,0.261153429144197,0,0,0,-0.0118025582532461,0,0.145181565680685,0,-0.245730426943854,0,0,0,0,0.192454035636598,0,0,-0.0736872503396553,0,0.0225398749366448,-0.0723902820966153,0,0,0,0,0.165438964322348,0,0,0,0,0,0,0,0,0,0.156889983430276,1.73472347597681e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.220826297598019,0,0,0.22824975222441,0.098512924160741,0.253637226149822,0,0.0881269028739086,0,0,0,0,0,0,0,0,0,0,0,0,0.0185923723549598,0,0,0,0,-0.140029951772374,0,0,0,0,0,0,0,0,0,0,0,0.158398265213315,0,0,0,0,-0.100068628884028,0,0,0.0340707509526163,0.0877010952608737
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00686717560507951,0,0.113222819619983,0,-0.090213313989035,0,0,0,0.0468706057683136,-0.0834060492394816,0,0,0,0,0,0.713296275105938,-0.0394676493479815,0,0,0,0,0.10890365180468,0,0,0,0,0,0,0,0,0,0,0,0.206327179555517,0.0624991027028683,0,0,0.0672646529363248,0,0,0,0.0350405768372018
X1299.HK.EQUITY,0,0,0,0,0.230839313049284,0,0,0,0,0,0,0,0,0.026539882016432,0,0,0,0.139019239087743,0,0,0,0,0,0,0,0,0.0626601009952823,0,0.238565811060665,0,0,0.222534683634075,0,0,0,0,0.0365455206581402,0,0,0,0,0,0,-0.0744576719363248,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.154032961202248,0,0.0455047383847969,-0.0433883621729428,0,0,0,0,0,0,0,0,0,0,0,0.260565652408712,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193993942136645,0,0,0,0,0,0.0385681205616482,0,0.273220958073733,0,0,0.16537618643872,0,0.0732616646187993,0.0647608315010405,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.427785752142409,0.0165523332531206,0,0,0,0,0,0,0,0,0.386655289318301,0,0,0,0,0,0,0,0,0.0752887579030801,0,0,0,0,0,0,0,0,0,0,0,0.00258374783044066,0,0,0,0,0,0.0548956706736654,0,-0.0131668776567909,0.245803343620582,0,0,-0.0104209906560168,0.045483015318233,0,0,0,0
