,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.53150139043026,0,0,0,0.144712252527807,0,0,0.0643526176480357,0.0216081952860599,0,0,0,0.181620592332999,0,0.0318336648399399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234580380283694,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0775648798972191,0.314336261944024,0,0,0,0,0,0,0.0244694583896037,0.251463897844838,0,0,0.0855399609391017,0,0.0654886830623538,0,0,0,0.0984066866292679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445471018010313,0.00404222618269887,0,0,0,0,0,0,0.00280233446603725,0,0,0
X601939.CH.EQUITY,0,0,0,0.62982365584073,0,0.0652191422618672,0.0161843159686794,0,0,0.230579043809286,0,0,0,0,0,0,0,0,0,0,0,0.0524603334203387,0,0,0,0,0,0.0497978971508515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.127327936224379,0.131220911812868,0,0.293490005389099,0,0,0.0384437542587756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237707659467214,0,0,0,0,0,0.13611895355112,0,0.0202613197482655,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.157775134383298,0,0.228776277588949,0,0,0.239193120949505,0,0.0153173968993941,0,0,0,0,0,0,0.017378161165888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210701792188498,0,0,0,0,0,0,0,0,0,0,0.128825524970449,0,0
X601988.CH.EQUITY,0,0,0,0,0.325401266759819,0,0,0,0.0263819579519206,0,0,0,0,0,0,0.0187497248280228,0,0.0737328414274785,-0.060827010330104,0,0,-0.0511321695920503,0,0,0.243980375335156,0,0,0,0,0,0,-0.220611534138496,0,0,0,0,0,0,0,0,0.145786523594532,0,0,0,0,0,0,0,-0.0207073094842796,0.137201925056722,0
X600036.CH.EQUITY,0,0,0.0386690761829529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869073683342064,0,-0.125892128873849,0,0,0,0,0.605380882547532,-0.0313386462904535,0,0,0,0,0.215872775291672,0,0,0,0,0,0,0,0,0,0.0840550585415883,0,0,0.182378329500772,0,0,-0.000644411625264453,0,0.115110297374851,0,0.0223070570013766
X1299.HK.EQUITY,-0.00857338190973281,0,0,0,0.191140972614363,0,0,0,0,0,0,0,0,0,0,0,0,0.145106573421912,0,0,0,0.0805666056595883,0,0,0,0.0372774632725667,0,0,0.0509396580636927,0,0.0961086244335351,0,0,0,0,0,0,0.448564259283816,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0305523499555432,0,0,0,0,0,0,0,0.134095429183835,0,0,0,0,0.403100895319667,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0668065182246841,0.179525536915052,0,0,0,0,0.186554098261201,0,0.0489191184080325,0.073041356334101,0,0,0,0,0,0
X601328.CH.EQUITY,0.374630465214858,0,0.144509700613347,0,0,0,0,0,0,0,0,0,0.435536445028168,0,0,0,0,0.0408606872556097,0,0,0.11922038854489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532113272776481,0,0,0,0,0,0.111548304797236,0,0,0,0,0.0156799634941458,0,0
X601166.CH.EQUITY,0.147282813996912,0,0,0.251805136692976,0,0,0.111550398584959,0,0,0,0,-0.0247403484305594,0.221899301258809,0,0,0,0,0,0,0.0347855660869658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595808663039247,0,0,0,0,0,0.0596426332424388,0,0,0,0,0,0,0,0,0.0651034766231786,0
X601319.CH.EQUITY,0,0,0,0,-0.0948069005882392,0,0,0,-6.93889390390723e-18,0.0707745487426794,0,0,0,0,0,0.0549304018148533,0,0,0.237696210819348,0,0,0.0578281364214484,0,0,0,0,-0.0503841302691318,0,0,0,0,-0.031738494016318,0.242826703536954,0,0,0,0.100648411101274,0,-0.230477294692174,0,0,0,0.357426045184489,0,0,0,0.0909858957977148,0,0.0569578263724996,0,0
X600000.CH.EQUITY,0,0,0.125273491258769,0,0.0631302251631226,0,0,0,0,0,0.446628527253072,0,0,0,0,0,0,1.38777878078145e-17,0.202775216870294,0,0,0,0,0,0,0,0.18262113192312,0.108500269699766,0.00859837388769558,0,0,0,0,0,0,0,0,0,-0.121674460720224,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,-0.0118493526143733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3081001463845,-0.0216499750401301,0,0,0,0,0,0,0,-0.0692554256693827,0,0.135069094080951,0,0,0.214252142665789,0.234436557570979,0,-0.082339844602989,0.0461736605106303,0.250787317564752,0,0.59167700589241,0,0,0,0,0,0,0,0,0,-0.111520367723665,-0.121777228842542,0,-0.0399620207956472
X11.HK.EQUITY,0,0,0,0,0.139351432645502,0.140849357478395,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0477988080503772,0,0,0,0,0,0.504158691405108,0,0,0,0,0,0,0,0.069774846728993,0,0,0.140724182616476,0,0,0.222197169955883,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170500204946318,0,0,0,0,0.0577200176788954,0,0,0,0.0153384748111258,8.67361737988404e-19,0.601699597561726,0,-0.00370522549920656,0.0621841550340064,0,-0.0581070936199527,0,0,0,0.0141901827680086,0.0496648096125677,0,0,0,0,0.0864824956021304,0
