,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.152698867711907,0,0,0.00386561663351092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994340633781121,0.358706850226126,0.0892285025738317,0,0,0,0,-0.111934705266329,0,0,0,0.1908986203205,-0.206000782550321,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170013493304624,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0789637464058978,0.0168105016170553,0.0606594659176853,0,0,0,0,0,0,0,0,0,0,0,0,0.299743396995598,0,0,0,0,0,0,0,0,0,0,0.150521051936486,0,0,0,0,0,0,0,0,0.317517062115042,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.880387645478496,-0.00550405186789774,0,0,0,0.00988980137173237,0,0,0,0,0,0,0,0,0,0,0.0619749128172272,0,0,0,0.0295517634138582,0,0,0,0,-0.108598590791118,0,0.0912960935723706,0,0,0,0,0,0,-0.0181560417478286,0,0,0,0.0591400616796845,0,-0.0656577430362135,0,0,0.0411725252668364,0,0,0,0.0666403279030088,0
X601288.CH.EQUITY,0.0242527837171866,0,0.756827933678317,0,0,0,0,0,0,0,0,-0.0454116512837459,0,0.259663032871052,0,0,0.00752497926048033,0.122758100285016,-0.0105377758223842,0,0,0,0,0,-0.10369605740308,0,0.038211172918833,0,0,0,0,0,0,0,-0.0623101383020168,0,-0.104332589224662,0,0,0,0,-0.0418069448398903,0,0,0,0,0,0,0,0,-0.0244155610793305,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.53961454675117,0,0.284920723346386,0,0,0.115392180499085,0,0,0,0,0,0,0,0.0468618120703446,0,0,0.0267418475454837,0,0,0,0,0,0,0,0,0,-0.0914937687532481,0,0,0,0,0,0,0,0.0906424270341927,0,0,0,0,0,0,0.100009023097115
X601628.CH.EQUITY,0,0.0419006394712184,1.73472347597681e-18,0,0,0,0.294224673855224,-3.46944695195361e-18,0,-0.0541148186760892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196966926262327,0,0.127968160706694,0.0589548176986293,0,0,0,0,0.0639681853795007,0.102332430975722,0.0811864741252724,-6.93889390390723e-18,0
X600036.CH.EQUITY,0,0,0.280575713160368,0.164947226214821,0,0,0,0.0805381256812412,0.0608863707841613,-0.0712894485025279,0,0,0,0,0.109086852076751,0,0,0,0,0.0303618564455821,0,0,0,0,0,0,0.0189663447774914,0,0,-0.00620789389093832,0,0,-0.0136167798051083,0.246473627727565,0,0,0,0.0551843475552711,0,0,0,-0.0997878281438822,0,0,0,0,0,0.0552234878142147,0,0,0.0864557765294844,0
X1299.HK.EQUITY,0,0,0,0,0,0.085734714588781,0,0,0,0,0,0,0,0,0,0,0.0348796822351156,0,0,0,0,0.183297448483462,0,-0.061335092666478,0,0,0,0,0.165332312729015,0,0,0,0,0,0,0,0,0.0382990003372633,0.0229914382911405,0,0,0.175749865927551,0.116694213796068,0,0,0,0,0.443764606929958,0,0,0.0840037983859108,0
X5.HK.EQUITY,0,0,0,0,0,-0.251699723069068,0,0,0,0,0,0,0,0,0,0,-0.108909837520815,0,0,0.163501746068632,0,-0.0733137654584106,0,0,0,0.808756265606116,-0.287612985376752,0,0,0,0.691762262054452,0,0,0,0,0,0.164166800130723,-0.14525614581578,0,-0.0936570609772953,0,0,0,0,0.0907261471528651,0,0,0,0.22182028278412,0,0.258433497219465,0
X388.HK.EQUITY,0,0.236705678624894,0,0,0.0472691998563417,0,0,0,0,0,0,0,0,0,0.00323434710751342,0,0,0,-0.27851155638643,0,0,0.232824532267159,0.502107038451745,0,0,0,0.0166714933276675,-0.0776601759078724,0,0,0,0,0,0.149238984764503,0,0,0.0605084132492194,0.268109959133689,0,0,0,0,-0.347410049003189,-0.0494745392891896,-0.0414286914322242,0,0,0,0,0,0,0
