,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0327498452862826,0,0,0,0,0,0,0,0,0,0,-0.0505409831882905,0.565219545780911,0,0.859038903186203,0.0697905365498294,0,0,-0.12167798798683,0,0,-0.195038155426873,0,0,0,0,0,-0.00299108130752212,0,0,-0.314358698067325,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0716896538497363,0,0,0,0,0,0,0,0,0,0,0,0,0.40387536654293,0,0,0,0,0,0,0,0,0.00879594507347599,0.10445754428021,0,0,0,0,0,0.223356291998792,0,0,0,0,0,0,0,0,0,0,0.0354557874511844,0,0,0,0,0.115249517171096
X601939.CH.EQUITY,0,0,0,0.805223239834319,0.00994473500945507,0,0.0583704808125653,0,0,0,0,0,0.0218918078880102,0,0,0,0.00644109989696123,0,0,0,0,0,0.0161296388751519,0.00161843585124303,0,0,-5.42101086242752e-20,0,0,0,0,0.0757210184824102,0,0,0,0.0158274293533403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04455796872874,0,0.0174104749509563
X601288.CH.EQUITY,0,0,0.879687372339052,0,-0.0698720325737476,0,0,0,0,0,0,0,0,0.0368429287924893,0.0202860886884803,0,0.0355064185508208,0.126627731743624,0,0,0,0,0,0,-0.116123882160915,0,0.031450626169302,0,0,0,0,0,0,0,0,0,-0.102842398849927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.844176549094372,0,-0.0581679859619217,0,0,0,0,0,0,0,0,0.149308902772867,0,0,0,0,0,0,0,-0.0749038695336976,0,0.0602107833764018,0,0,0.0195035378358948,-0.0333356874685283,0,0,-0.0323988262603433,0,0,0,0.0571404026456563,0,0,0,0,0,0.0142813900765221,0,0.163374805119703
X601988.CH.EQUITY,0,0,0,0,-0.0851789605247938,0,0,0,0,0,0,0,1.05640456670435,0,0,0,0,0,0,-0.259381599157019,-0.158924791591625,0,0,0.149629045938714,0,0,0,0,0,-0.00356978732221169,0,0,-0.0378594725582391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300856313930143,0.127646773635583
X600036.CH.EQUITY,0,0,0.374200044186409,-1.73472347597681e-18,0,0,0,0,0.0864817403693,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040061852103412,0,0,0,0.452932988667445,0,0,0,0,0,0,0,0,0,0,-0.0263241114410013,0.0754456317857078,0.0751457658882011,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.150680001600357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246488888377184,0.00174469401920599,0,0.12448384906499,0,0.138101233953186,0,0.347296311828516,0,0,0,0,0,0,0,0,0,0,0,0.102028137619642,0,0,0.434983933031959,0,0,0,0,-0.0948366175908354,0.0804656128464211
X5.HK.EQUITY,0,0,0,0,-0.255451642260762,0,0,0,0,0.147724987947142,0,0,0,0,0,0,0.401144762816156,0,0,0,0,0.103991538499961,0,-0.0517118566662289,0.0453615217555936,0.258073096943592,0.321054074828731,0,0.127391964691855,0,0,0,0,0,0,0,0,0,-0.126610970880569,0,0,0,0.0879992372332396,0,-1.73472347597681e-18,-0.166144413138231,0,0,0,0,0,-0.141324365008075
X388.HK.EQUITY,0,0,0,0,0.216717568391402,0,0,0,0,0,-0.124936797035844,0,0,0,0.0776919013946498,0,0,-0.0518143812154202,6.93889390390723e-18,0,0.0245481726682974,0.045748947452432,0,0,0,0,0,0.446150064849429,0,0,0,0,0,0,0,0,0.210135101986757,0,0,0,0,0,0,0,-0.222982037162072,0.0457276673260548,0,0,0,0,0,0.072153785646994
