,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.129053911985503,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109415556394486,0,0.501027567027538,0.390484725712469,0.0378670679423677,-0.216543563771641,0,0,0.170359009179421,0,-0.0766803384235375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188006236261282,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.27001197798308,0,0,0,-0.0850793903188808,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.191659000242713,0.0390786716724826,0.00955572302593036,0,0,0,0.227806312891966,0,0.158683298466785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.839231433453435,0,0,0,0,0,0.0163944621930703,0,0,-0.055857989994555,0,0,0,0.0383720629151483,0.129401410002964,0,0,0,0.00265741178878514,0,0,0,0,0.0312121467628203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716305839813029,0,0,0.00658087947242253,0,0
X601288.CH.EQUITY,0,0,0.914431849749409,0,-0.093560166815233,0,0,0,0,0,0,0,0,0,0,0.017346784468835,0,0,0.117583427254238,0,0.057754257366295,0,0,0,-0.067903889200623,0.00718792344627964,0.0282068708789251,0,0,0,0,0,0.0372100309715555,0,0,0,0,0,0,-0.0180338197717392,-0.0843700528691766,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.014268956748948,0,0,3.46944695195361e-18,0,0,0,0,0,0.298150183829632,0,0.215871883624496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283044864161732,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.542751304814425,0,0,0,0,0,0,0,0,0.216560876756743,0,0,0,0.0423580181214675,0.120278356072835
X600036.CH.EQUITY,0,0,0,0.327154211334962,0,0,0,0,0.0665159456066542,0,0,0,0,0,0,0,0.14948902186389,0.134032011641856,0,0,0,0,0,0,0,0,0,0,0.126443799515585,0.147856588647783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532581224574315,0,-0.0113107129290318,0,0.0068504104200824,0,0,0
X601988.CH.EQUITY,0,0,0,0.00455109529245934,-0.138082154736968,0.076413242542728,0,0.0506426441734708,0,0,0,-0.0201977517308258,0,0,0,0,0,0,0,0,-0.0422871035389184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108053450795954,0,0,0,0,0,0,0,0,1.05175916196834,0.00190761584988574,0
X1299.HK.EQUITY,0,0,0,0,0.120801551138013,0,0,0,0,0,0,0,0.0349249491383835,0,0,0,0,0,0,0,0,0,0,-0.0906299143525153,0.0695642908157583,0,0,0.110223061756757,0,0,0.201486069029503,0.389774483053372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075452767595604,0,0.0476229308275238,0,0,0.0849334626702963
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0603697631421517,0,0,-0.303940429634955,0,0,0,0,0,0,0,0.187472949075427,0.535352242146529,0,0,0,0,0,0,0,0,0,0,0.0720894184678049,0,-0.144224278785253,0,-0.0191879331646634,0,0.149351888421752,0,-0.161100261151117,0,0.101491156265156,0,0,0
X388.HK.EQUITY,0,0,0,0,0.329009747128961,0,0,0,0.0871371610288086,0,0,0,0,0,0,0,0,-0.243008056431801,0,0,0,0,0,0,0.476862171119861,0.220523869907749,0,0,0,0,0.0162079242061932,0,0,0,0,0,0,0,0,0,0,-0.160997533391767,0,0,0,0.113667234251454,0,0,-0.0754232981818168,0,0,0.0744716086276103
X601658.CH.Equity,0,3.46944695195361e-18,0.241716452392756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291243950406582,0,-0.0750721684239414,0,0,0,-0.105551385137448,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034210752482047,0,0,0,0.52229544607561,0,0,-0.0988282728421641,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0381932216847965,0,0,-0.0973599666216916,0,0.0826117099689208,0,0,0.207492664448906,0,0,0.0541101595483746,0,0,0,0,0,0,0,0,-0.0400283854835276,0.0825635184932637,0,0,0,0,0,0,0,0.152665961855544,0,0.175723522382569,0,0,0,0.197020756283466,0,0.0324878675592291,0,0.137411109372976,0,0,0.0506007119034286,0,0,0,0,0
