,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.12811779720384,0,0,0,0,0,-0.0231563221036814,0,0,0,0,0,0,0,0,0,0,-0.156458713320128,0,0.0346705517691063,0.575266528261681,0,0.463823481216546,0,-0.240249572189117,-0.0892357548470974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746918721712472,-0.0282577538425632
X601318.CH.EQUITY,0,0,0,0,0,0.191084649889912,0,0,0,0,0,0,0.0397479704423835,0,0,0,0.108210157188971,0,0.0295679026847614,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.154028623370002,0,0.148845384786864,0,0,0,0,0.0663752967978646,0.143486935525254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011564717236282,0.0220977027655216
X601939.CH.EQUITY,0,0.0541235010404741,0,0.786577468019802,0,0,0.00495514475075357,0,0,0.0413372140089334,0.0598487593641101,0,-0.0491413497371214,0,0,0,0.0766371863088361,0,0,0,0,0.004084191026235,0,0,0.0418948986471109,0,0,0,0,0,0,0,0,0,0,0,0.0812783454977292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.895960045314623,0,-0.0258921785535011,0,0,-0.0871751628019909,0,0.014047305501357,0,0,0,0,0,0.014386632127032,0,0,0,0,0,0,0,0.122872955561816,0.0992644437158961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183958115563336,-0.132734907549722,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0275931919263567,0.312161771999929,0,0.262023385103679,0,0,0,0,0,0,0.464720213814129,0,0,0,0,0,-0.0698504613927993,0,0,5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129605920695927,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.329942585626855,0,0,0,0,0.0590922785699323,0,0,0,0,0,0,0,0.0298546433616226,0.172977603766303,0,0,0,0,0,0,0,0,0,0,0.0452069146152161,0.182062214243676,0.103610550887968,0,0.0147043803650291,0,0,0,0,0,0,0,0,0,0,0,0.0387452949704797,0,0,0.0250279386631553,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0685067778041405,0,0,0,0,-0.0537031548789877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715551580896334,0,0,0,0,0.00241374213160222,0,0,0,0,-0.0224798041592602,0,0,0,0,0,0,0,0,0,0,0,-0.133091182146303,0,0.998089542769596,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0233304821283595,0,0,0,0,0.2379456836288,0,0,0,0,0,0,0,0,0,0,0,0,0.296532302972206,-0.00351725411738147,0,0,0.0784475939538455,0,0,0,0,0,0.217607483549919,0,0,0,0,0.0217283829975095,0.0185897498087584,0,0,0.0743378209371201,0,0,0,-0.0270132204193507,0,0,0,0.137031938854733,-0.0528974739628249,0.0245906006606892
X5.HK.EQUITY,0,-0.169821358655302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424394228652624,0,0,0,0,0,0,0,0,-0.0970099405252636,0,0,0,0,0,0,0,0,0.10494447874423,0,0,0.101068567007654,0,-0.20187080763523,0,0
X388.HK.EQUITY,0,0,0,0,0.140116786530024,0,0,0,0,0,-0.0716155726271772,0,0,0,0,0.0473307402750236,0,-0.00802286770019659,0,0,0.112503975542517,0,0.21487600872255,0,-0.0589439228891163,0.0681635615733567,0,0.20349434346052,0,0,0,-0.0226512743270035,0.221622972495854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178671240808735,0,0,0,0.340622562127183
X601658.CH.Equity,0,0.0307790546118026,0.308646176336284,0,0.0505195866542939,0.00431691149255049,0,0,0,0,0,0,0,0,0,0,0.0143347608957678,0.0277578096556128,0.173612927517107,0,0,0,0,0,0,0,0,0,0.0957052389814603,0,0,0,0,0,0.0313184301631421,0,0.0150292292498593,0,-0.0619416367683613,0,0,0,0.0565338912191513,0,0.0803791524177643,0,0.0172931029325065,0.0582640762162037,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0136021311162057,0,0,0,-0.0252052787287714,0.0894561626096304,0,0,0.322095541792258,0,0,0,0.00691070679726352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538792434917518,0,0,0,0.246633026915252,0,-0.0324074023310858,0.077089096944591,0.0715546317780811,0,0,0,0,0,0.225086888087615,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00278011901849514,0,0.679887562956366,0,0,0.042240566918907,0,0,0,-0.0392111497327784,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152192247431409,0,0,0.0230504519991506,0,0,0,0,0.0940483559417439,0,0.0518582848532557,0,0.00847894189177595,0,0,0,0,0,0,-0.0105017894635457,0
X601166.CH.EQUITY,0,0.0307758926482879,0.0323220937421811,0,0,0,0.25320974732881,0,0,0,0,0,0,0,0,0,0.166313951755394,0.040071431006481,0.0616898796431081,0,0,0.0584303333755793,0.0531900165807716,0,0.0450531124409634,0,0,0,0.0194772635978248,0,0,0,0,0,0,0,0,0,0.0155616716951085,0,0,0,0,0,0,0.00839750554436144,0,0,0.344684523492515,0,0,0
X000002.CH.EQUITY,0,0,0,0.192901273081797,-0.193118090760291,0,3.46944695195361e-18,0,0.267135599654408,0,0,0,0.387420474443265,0.163054815046816,0,0,0,0,0,0,0,0,0,0,0,-0.181833362242843,0,0,0,-0.0518100172833465,0,0,0,0.0304243863404578,0,0,0,0,0,0,0,0,0,0,0,0.0130197367774945,0,0,0,0,0,0.0566573814290632
