,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.166991378816286,0,0,0,0,0,-0.192223377417705,0,0,0,0,0,0,0,0,0,0,-0.0220952749359277,0,0,0.384563931805777,-0.0313570610454028,0,0,0,0.430695008567902,0,0,0,0,-0.0693890391000493,0,0,0,-0.0344520094731779,0,0,0,0,0,0.0233530968383194,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0146774917792577,0,0,0,0,0,0.160958331604827,0,0,0,0.34811241603799,0,0,0,0,0,0,0.0217087560458633,0,0,0,0,0,0,0,0.206065209385994,0,0,0.0809749614686537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161853656897787
X601939.CH.EQUITY,0,0,0,0.764709418484324,0,0,0,0,0,0,0.11685135893482,0,0,0,0,0.101696200841966,0,0,0,0,0,0.00591887090315761,0,0,0.0111561210014234,0,0,0.0681673180084979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.94627673744041,0,-0.0368966559547299,0,0,-0.0324724375299618,0,0,0,0,0,0,0,0,0,0,0,0,0.078907075921876,0,0,0,0,0.0717771466103264,0,3.46944695195361e-18,0,0,0,0.0496884422185023,0,0,0,0,0,0,-0.0587002537814481,-0.00319242825585513,0,-0.0872533076440736,0,0,0,0,0,0,0,0,0,-0.0472590167346996
X601628.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.243171761110248,0,0,0,0,0,0,0,0,0.445580966454185,0,0,0,0,0,0,0,0,-0.0559497809479718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105129902058167,0,0.373783538572978,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.371042193085552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157717813517616,0,0,0,0,0,0,0,0.160521446347305,0,0,0,0,0,0,0,0,0,0,0,0.0563121874528788,0,0,0,0,0,0,0.0493757719219875,0,0,0,0,0.0296413672203756,0,-0.0116928260132315
X601988.CH.EQUITY,0,0,0,0.0587922756314218,0,0.0230457354823383,0,0,-0.0624661665192078,-0.00897987347585501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706663126840508,0,0,0,0,0,-0.0272553892509088,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.128492292706448,0,1.00102769562109,0,0,0
X1299.HK.EQUITY,0,0.032579250903342,0,0,0,0,0,0,0,0.201637954142853,0,0,0,0.182961564058203,0,0,0,0,0,0,0,0,0.313369396323139,0,0,0,0,0,-0.0562876957072642,0,0.0459338056947719,0,0,0,0,0,0.064921718629919,0.0717842765672578,0,0,0,0,0.163135458311507,6.93889390390723e-18,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634302133498706,0,0,0,0,0,0,0,0,0.0311315842970921,0,0.53167399536982,-0.109425672361345,0,0,0,0,0,0,0.0556385510215521,0,0.13783319513101,0,0,0,0.18581933525868,0.201718964507692,0.284701793326133,0,0,0,0.339615476896361,0.0829740769378197,-0.104016556786193
X388.HK.EQUITY,0,0.212718728119317,0,0,0.170895323322902,0,0,0.0421905508622937,-0.0550488014201119,0,0,0,0,0,0,0,0,-0.0727557792578807,0,0,0.0373119866077406,0,0.178702785743315,0,0.135877694046924,0,0,0,0,0,0,0,0,0,0,0,0,0.232623251182047,0,0,0,0,0,0,-0.145744582951558,0.0918326466620457,0,0,0,-0.0718992275842107,0,0.230234613665871
