,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.0951024510208025,0,0.14128609803075,0,0,0,0,0,0,0,0.196746691899815,0,0,0,0,0,0,0,-0.0279979380154034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17466276143841,0,0,0,0,0.149853152674785,0,0,0,0,0,0,0,0.0806150703889366,0.162021666387307,0,0,0,0
X601318.CH.EQUITY,-0.00628642795377702,0,-0.0900653433196255,0,0,0.0442295315880585,0,0,0.159090356354026,0,0.125827152836939,0,0.192066500994151,-0.038130062600604,0,0.198633398211528,0,0,0,-0.0145120813746475,0,0,-0.0482285281546703,0,0,0,-0.096583921159048,0,0,0,-0.0793946271129599,0,0,0.268302551253669,0,0,0,0,0,0.248781846510177,-0.249161465160385,0,0.259871409241419,0.196878208058746,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.386916910043876,0,0,0,0,0.0835131611697037,0,-0.103524250202717,0,0,0,0,0,0,0.142295292723149,-0.0876649133159387,0,0,0,0,0,0,0.126503609728387,0,0.159642926824616,0,0,0,0,0,0,0,0,0,0,0,0,0.134222705008068,0,0,0.335867190469361,0,0,0,0,0,-0.0175371440323877,0,0,0,0,0
X601288.CH.EQUITY,0.301558394043159,0,0.231501495904228,0,0,0.303878293258287,0,0,0.00360087397323341,0,0,0,0,0.00734947972426147,0,0,0.091743067435556,0,0,0.00736310486308753,6.93889390390723e-18,0,0,0,-0.0725148591113225,0,0,0.018365905030415,0,0.0432505262762941,0,0,0,-0.1180248152296,0,0,0,0,0,0,0.203533035874133,0,0,0,-0.111002120480851,0,0,0.0571717443983875,0,0,0,-0.0483895170213546
X5.HK.EQUITY,0,-0.0685220272077526,0.0214094496061843,0.129797564522352,0,0.0822073052840666,0,0,0,0,0,0,0.108826649725844,0,0,0,0,0,0,0,0,0.342220893023067,0,0,0,0,0,0,0,0,0.427966177648131,0,0.0293880236021945,0,0,0,0,0,0,0,0,0.144888730899254,0,0,0,0,0,0,-0.0831530247483388,0,-0.11384725849866,0
X601988.CH.EQUITY,0.089905402834335,0.0472666985842941,0.13783160584542,0.0425088839318959,0,0,0,0,0.145134535151288,0,0.158425351278993,0.0896560278913595,0,0,0,0,0,0,0,0,0,0.014149037201212,0,0,0,0,0,0,0,0,0,0,0,0,0.260909343302446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.160165542693557,0,-0.0357536508729912,0.0233044108917457,0,0.348537262180192,0,0.240156038149528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284828230905694,0,0.0557776323709493,0.0429598441918128,0.093796267652844,0,0,0,0,0,0,0,0.0841387666756074,0,0,0,0,0,0,0.0496701224481528,0,0,0.0142757255883685
X1299.HK.EQUITY,0,0,0,0,0,0,0.0337369990548263,0,0,0,0,0,0,-0.0556224592921862,0,0.159718959081892,0.322424217030868,0,0,0,0,0.169003099069824,0,0,0,0,0,0.0870322358138436,0,0,0,0,0.00435011976052461,0,0,0,0,0,0.0399636990543674,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.168466095907316,0.391500193433207,0,-0.0232486498458863,0,0,-0.066431398805172,0,0,0.0767176276684016,0,0,0,0,-0.0470404027284375,0,0,0,0,0.0913584822504274,0,0,0,0,0,0,0,0.0698249196220048,0,0,0,0,0,0,0,0,0,0,-0.187948254565937,0,0,0.00422459474710457,0.110850602780966,0,0,0,0.0157080517776973,0.178319076785365,0,0,0.0513752739991828,0.222360371707493
X601658.CH.Equity,0,0,0,0,0,0.230110570049114,-0.32571947256062,0,0,0,0,0,-0.0379537571110175,0,0,0,0,0,0,0,0,0,0,0.376952405118023,0,0,-0.291402097519391,0.103865070832825,0,0,0.130108099550868,0,0,0.0861348419300229,0,0.250105548841643,-0.16357199214377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.598676756859771
