,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.359260486508959,0,0.308153798536163,0,0,0,0,0,0.0475272953003888,0,0,0,0,0.0512324559985517,0,0,0,0,0,-0.0444771819040498,0,0,0,0,0,0,0.0432720990936889,0,0,0,0,0,0,0,0,0,0,0,0,0.0897205321983173,0,0,0,0,0,0.0585080548322212,0,0,0,0,0
X601318.CH.EQUITY,0.0723367111371601,0,0,0,0,0,0,0,0.190474843654281,0,0,0,0,0,0,0,0.233486696314175,0,0,0,0,0,0,-6.93889390390723e-18,0.0451062640580856,0,0,0,0,0,-0.0890160903829122,0.101481721493112,0,0.0485068336070931,0.143629465623684,-8.67361737988404e-19,0.16470580514539,0,0,0,0.0526541469165431,0,0,0,0,0,0,0,0.096910896141109,0,0,0
X601939.CH.EQUITY,0,0,0,0.332389639577739,0,0.0707222500005618,0,0,0,0,0,0,0.438377588088484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569160730752662,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.353919243933465,0,0.00622075354519493,0,0,0.497584005734544,0.00353384190984151,0,0,0,0,0.0105113862182416,0,0,0.0407518063863389,0,0,0,0,0,0,-0.0321763750261601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164888317695509,0,0,0,0,0.0955031742848673,0,0,0.00716779781029652,0,0
X5.HK.EQUITY,-6.93889390390723e-18,0,0,0,0,0,0,0.0943385848469811,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.145887666691415,0,0,0,0,0,0,0,0,0,0.0921512990314791,0.229803956487778,0,0,0.253192791453501,0,0,0.0914038799704146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506914188558268,0,0
X601988.CH.EQUITY,0.411084950545528,0,0.0593514364177539,0,0,0,0,0,0.0419403506939165,0,0,0.0081759241238504,0,0,0,0,0,0.0820417345820228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162675652607177,0,0,0,0.0267366061742982,0,0,0,0,0,0,0,0,0,0,0.207316795899467,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.154033097877097,0,0,0,0.0187161249777506,0,0,0,0,0.565103336524702,0,0,0,0,0,0,0,0,0,0,0.0675143764293399,0,0,0,0.0643278344986171,0,0,0,0,0.0609782232544144,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0480707656438813
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707312110406326,0,0,0.407915839540343,0,0,0.150854214208246,0,0,0.0781097471779381,0,0,0,0,0,0,-0.0287509779567282,0.399830348984539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114739837644364,0,0,0,0,0.122776544691661,0,0,0,0,0,0.148874488142254,-1.38777878078145e-17,0,0,0,0,-0.0360869839642014,0,0,0.0723479257273634,0,0,0,0,0,0,0,0.220479041039242,0,0,0,0,0,0,0,0.00717668206935358,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.161626828302509,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290074899413573,0,-0.0342985059615008,0,0,0,0,0,0,0,0,0,0,0,-0.0751061094498775,0,0,0,0,0,0,0,0,0.0449371926496181,0,-0.0024109441441513,0,-0.79978035826608,0.391030339107096,0,0,0.711359028219281,0.54229550669526,-0.519238277718765,0,-0.172537907511309,0,0,-0.437626635349262
