,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.37489714461839,0.0101707493745713,0.0297302264803054,0,0,0,0,0,0,0.218246854009295,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.111191063767689,0,0,0.0819660395920014,0,0,0,0,0.0197278087002415,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259147690397232,0,0,0,0.0022720377860257,0,-1.73472347597681e-18,0.0434439985520931,-0.140050166643744,0
X601939.CH.EQUITY,0.407586716219763,0,0,0.159695885604847,0,0,0,0,-0.0361174031746225,0,0.149769373651264,0,0,0,-0.0661417713264115,0,0,0,0,0,0,0,0,0,0.185522394704483,0,0,0,0,0,0,0,0,0,0,0,-0.0106956770869071,0,0,0,0,0,0,0,0,0,0,0,0.101625350201383,0,0.00750983982839065,0
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.176643071350081,0,0,0,0.365782017060999,0,0,0,0,0,0.0401280748576978,0,0,0.0943677375944664,0,0,0,0,0,0.0652178472455537,0,0,0,0,0.0957938183829033,0,0,0,0,0,0,0,0,0,0.1468527191325,0,0,0,0,0,0,0,0.0113961289566713,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.491619335636488,0,0,0,0,0,0.242753230148004,0,0,0,0,0,0.0646282243922232,0.12665826463741,0,0,0,0.0711003650810341,0,0,0,0,0,0.0858367604317119,0,0,0,0,0,0,0,0,0,-0.576591732559408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185894892980322
X600036.CH.EQUITY,0,0.077200375037963,0,0,0,0,1.73472347597681e-18,0,0.000883978874984141,0,0,0.190911973828393,0,0,0,0,0,0,0,0,0,0.273561341774181,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.282858189863771,0,0,0,0,0,0,0,0,0.0648197641585302,0.0539318115892004,0,0,0,0,0.0244011568290578,0.0891022025660468,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164114245269178,0,-0.259694708640594,0,0,0,0,0,0,-0.409458192241788,0,0.731627656312746,0,0.612032111390062,0,0,0.0447665663399015,0,0,0,0,0,0,0.357535684438792,0,0,0,0,3.46944695195361e-18,0,-0.0747319046537827,0,0,0.00178297314269172,0,0,0,-1.38777878078145e-17
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.18724466914247,0,0,0,0,0.138580051686146,0,0,0,0.256026027484615,0,0,0,0,0,0,0,0,0.00261355853211261,0,0,0,0.0591275280891099,0,0,0,0,0,0.275746337324205,0,0,0,0,0,0,0.211834472937465,0,0,-0.0525440720762214,0
X601658.CH.Equity,0,0,0,-6.93889390390723e-18,0.129340615780145,0,0,0,0,0,0,0,0,0.161800747233714,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.1917093134843,0,0.0909959197319352,0,0,0,0,0,0,0,0,0.160139501428025,0,0,0,0,0,0,0,0,0,0,0.41581231978259,0,0.0939748803082764,0
X601328.CH.EQUITY,0.171798418035457,0,0,0.461014410641473,0,0,0,0,0,0,0,0,0.0218060459520464,0,0.0409134325394731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156504355649388,0,0,0,0,0.0894720777006248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671623772446256,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.409200600252816,0,0,0,0,0.0676176829031401,0,0,0,0,0,0.0474160449203972,0,0,0,0,0,0,0,0,0,0,0,0,0.219149288844235,0,0,0,0,0,0,0,0,0,0,0,0,0.0545148445055011,0,0,0,0.0298031772101466,0.0608151068571327,0.11551037582733,0,0,0
X388.HK.EQUITY,0,0,0.27035845170345,0,0,0,0,0,0,0,0,0,0,0.034409118704665,0,0,0,0.0377195768918744,0.11651028010068,-6.93889390390723e-18,0,0,0,0.0447466654178106,0,0,0,0,0,0,0,0,0,0.0437987394071329,0,0,0,0,0,0,0,0,0,0,0.0508817958365833,0,0,0.0201561071074086,0,0,0,0
