,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.158673181817799,0.541510460832534,0,0,0,0,0,0,0,0.0843383349914119,0,0,0,0.19190177813302,0,0,0.0205948456685977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283330499781153,0,0,0,0,0.0576775295983714,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0766553121279124,0.246944481854512,0,0,0,0,0,0,0,0,0.327847643364969,0,0.0906285861742868,0.0574180456608737,0,0,0,0,0.0921474161629186,0,0,0,-0.0128884608374193,0,0,0,0,0,0.0267390461274847,0,0.00909264805168823,0,0.0425975026468861,0,0,0,0,0,0,0,0,0.0119313020779856,0,0
X601939.CH.EQUITY,0,0,0,0.661932956172014,0,0.0545587344908148,0,0,0,0.261796355074445,0,0,0,0,0,0,0,0,0,0,0.0587678209062718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015815005079654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363855841395666,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.178044767599462,0,0,0.667475607308073,0,0,0,0,0,0,0,-0.0633147199544768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438435364386826,0,0,0.148533401222975,0,0.00653511165723161,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.157592007559878
X5.HK.EQUITY,0,0,-3.46944695195361e-18,0,0,0.154175108484274,0,0.306771664512095,0,0,0,0,0.0445008554065606,0,0,0,0,0,0,0.0211670087422638,0,0,0,0,0,0.0149541205066547,0,-0.144297789922345,0,0,0,0,0,0,0,0,0.112301604757048,0,0,0.291273939931768,0,0,0,0,0,0,-0.0588672959587151,0,0.060230115389847,0,0
X601988.CH.EQUITY,0,0,0.209635067333865,0,0.164014414733028,0,0,0,0.104557551003347,0,0,0,0,0,0,0.0622435044134122,0,0,0,0,-0.134665360589313,0,0,0,0,0,0,0,0,0,0,0,0.204449758096176,0,0,0,0,0,0,0,0,0.0983293617694624,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.441156442537665,0,0,0,0,0,0,0,0.187279538368148,0,-0.115035069639396,0,0,0,0,0.204542539929629,0,0,0,0,0,0.176381103999049,0,0,-0.0112271755087264,0,0,0,0,-0.0124930411476054,-0.198443515984454,0,0.152867723882142,0,0,0.125948905487773,0,0,0,0,0.0102501765563789,0
X1299.HK.EQUITY,0,0,0,0,0.213274255280337,0,0,0,0,0,0,0,0,0,0,0,0.194353293571778,0,0,0,0,0,0,0,0,0.0672712510057618,0,0.094081933366798,-0.0749619640934798,0.000605132621500269,0.0999848470240932,0,0,0,0,0,0.414596340157732,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475457978803685,0
X601628.CH.EQUITY,0,0.167053235664101,0,0.00497497025502011,-0.107359529730711,0,0,0,0,0,0,0.0075429467026784,0,0,0,0,0,0.184743749053836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207002745152888,0,0.344221914597143,0,0.037520635289192,0.15797279890043,0,0.0810552742564777,0,0.0983235916942232,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.179046471683373,0,0,0,0.374854932173491,0,0,0,0,-0.00355006811016408,0.459799219578129,0,0,0,0,0,0,0,0.0481052648843624,0.186594177751894,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0389783320907027,-0.0920223874214752,0,0,0,0,0,0,0,-0.0433090167808942,0,0,0,-0.0970376291922164,0,0,0,0,0
X601166.CH.EQUITY,0.216754196791094,0,0,0.209816206963368,0,0,0,0,0,-2.16840434497101e-19,0,0,0.249103527465761,0,0,0,0,0,-0.0397777281187036,0.0677137822888739,0,0,0,0,0.0757993535955189,-0.0262687848215845,0,-0.00402565660808195,0,0,0,0,0,-0.042690629345195,0.146247127262441,0,0,0,0,0,0,0.0400357921228498,0,0,0,0,0,0,0,0,-0.0563927731481904
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00486578532233513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480395421018355,0,0,0,0,0,0,0,0,0,0.0795360344558813,0,0,0,0.0759285325506834,0,0,0,0,0,0.20928542658036,0,0,0.207328083338168,0,0.1011724045172,0,-0.287416981310049
X600000.CH.EQUITY,0,0,0.208199144782064,0,0.0911617595130243,0,0,0,0,0.172748436473663,0.157269752035437,0,0,0,0,0,0,0,0.0983168191444228,0,0.0458491113250152,0,0,0,0,0,0.294613810714459,0,0,0,0,0,0,-0.0559558563673764,0,0,0,0,-0.277771763096494,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.132791418797153,0,0,0.113360610818091,0,0,-0.119206255221062,0,0,0,0,0,0,0,0,0,0,0,0.16600867478866,0.224807686340629,0,0,0,0.114854665438165,0,0.444058207532427,0,0,0,0,0,0,0,0,0.109573012123047,0,0,-0.208127878236643,-0.0933983838841142,0
X11.HK.EQUITY,0,0,0.14708077699389,0,0.0459513432038006,0.249166605109586,0,0,0,0,0,0.139979037019744,0,0,0,0,0,0,0,0.0976557843978216,0,0,0,0,0,0,0,0,0,0.608828762064947,0,0,0,-0.160156829074989,0,0,0,0,0,0,0,0,0,0.253732861685925,0,0.0433731979157457,0,0,0,0.0150086906056796,0
X000002.CH.EQUITY,0,0,0,0,0,0.0254937669773606,0.0337445739892456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481086955557764,0,0.0289621384052837,0,0,0,0,0.682906511720177,0,0,0,0.178304511262192,-0.0558612245428604,0,0,0.0397979780697313,0,0,0,0,0,0.0243094692482867,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0760438585706153,0.226547773992978,0,0.40817466722331,0,0,0.0980464272612019,0,0.126903445629395,0,0,0,0,0,0,0.180042102851619,0.123462443321317,0,0,0,0,0.0114361764695064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.122001696148433,0.186711125517468,0,0,0,0,0.0840143300881718,0,0.0877137117173225,0,0,0,0.00597835694812877,0,0.064698018431982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148745162212293,0,0,0,0,0.420662900639179,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280457363998107,0,0,0,0,0,0,0,0,-0.0928452236090126,0,0,0.212598860945612,0,0,0,0.146157936828507,0,0,0,-0.117713062193604,0,0.311753640813435,0.352182486451479,-0.0205446906839371,-0.226447210672844,0,0,0.421410649312597,0,0,-0.0367673079632403,0,0
X2388.HK.EQUITY,0,0.36515133844929,0,0,0.283899284126627,-0.38944263073712,0,0,0,0,0,-0.236386687396396,0,0,0,0,0.488931166480184,0,0,0,0,0,0,0,0,0.232534627176208,0,-0.0909302065550593,0,-0.14644029147326,0,0,-0.21321004458194,1.38777878078145e-17,0,0,-0.0704834674209723,0,0,0,0,0,0,0,0,0,0,0,0,0.108382543234174,0
