,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.13638233003167,0,0.0965586911848451,0,0,0,-0.0475627838642352,0,0,0,0.388483544152745,0,0,0,-0.0732862422185451,0,0,0,0,0,0,0,0,0,0,0,0,0.0533208339757394,0,0,0,0,0,0,0,0,0,0.167185086383605,0,0,0,0.102657414906395,0,0,0,0,0.0491804788125035,0,-0.00950752926002782,0.0286003039346572,0
X601318.CH.EQUITY,0,0,0,0,0,0.101024813738628,0,0,0.167834114928906,0,0.0601192323753776,0,0,-0.0549047127582279,0.0136872245558075,0.21621355239696,0,0,0,-0.101810314665467,0,0,-0.0648925733479189,0,0,0,0,0,0,0,0,0,0,0,0.14819528224454,0,0,0,0,0.363543112656848,-0.276914073387554,0,0.304465896595245,0,0.208147080455447,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.32803183722008,0,0,0.257956039725525,0,0.134064342432616,0,0,0,0,0,0,0,0,0.11904720103629,0,0,0,0,0,0,0,0.0773409124685164,0,0,-0.0652523893064225,0,0,0,0,0,-0.025106858746753,0,0,0,0,0,0,-0.0996078551664069,0,0.367152433522951,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.195893997775936,0,0.242643391474124,0,0.132535110455335,0.332535041087868,0,0,0,-0.0225203859766227,0,0,0,0,0,-0.0796261642590966,0,0,0.118740865086259,0,-0.01109455271666,0,0,0,-0.202418690141024,0,0,0,0,0,0,0,0,0,-0.0324697036757622,0,0,0,0,0,0.169877975513465,0,0,0,0,0,0,0,0,0,0,-0.0520017011314677
X5.HK.EQUITY,0,0,0.0393895309394356,0.229637033485749,0,0.166445760832293,0,-0.310998801960274,0,0,0,0,0.0808662743838519,0,0,0,0,0,-0.0433440933610805,0,0,0.420037552602485,0,0,0,0.416989454908037,0,0,0,0,0,0,0.0624933068578443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160699144935541,-0.111555871714935,0,0,0
X601988.CH.EQUITY,0.22709076070871,0.0888825206766021,0.281150049682955,0,0,0,0,0,0.153660276414578,0,0,0.219366598390095,0,-0.168597751693032,0,0,0,0,0,-0.0978917982966155,0,0,0,0,0.113960205554544,0,0.121111342641695,0,0,0,0,0,0,0.0610036058865733,0,0,0,0,0,0.0187149181733777,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0579162736918647,-0.0804849672293607,0,0.14187073835762,0,-0.0423606071205025,0.0272310260551012,0,0.352543853559519,0,0.226223517954344,0,0,0,0,0,0,0.0547197366871664,0,0,0,0,0,0,0,0,-0.00737744743529475,0.039589998406762,0,0,0.0535686842342118,0,0,0.0713216733590064,0,0,0,0.121304122767828,0,0,0,0,0,0,0.0597563228618699,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0412682015847252,0,0,0,0,0,0,-0.0813407055993764,0,0.17467600081558,0,0,0.301334178767574,0,0,0.154089196719882,0,0,0,0,0.124264231286383,0,0,0,0,0,0.00482820861110171,0,0,0,0,0,0.112759154182611,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0230730288893437,0.371391735846518,0,0,0.0538306027076328,0,0,0,0,0.0720621775342991,0,0,0,0,0,0,0,0,0,0.102433522716444,0,0,0,0,0,0,0,0,0,0,-0.00356291971181392,0,0,0,0,0,0,0,-0.132538031466353,0,0,0,0.112237829283002,0,0,0,0,0.171829480487781,0,0,0.0751312921595872,0.207135027623624
X601658.CH.Equity,0,0,0,0,0,0,-0.38707848267741,0,0,0,0,0,0,0,0,-0.173891919070177,0,0,0,0.171588687573375,0,0,0,0.424211253384047,0,0,0.222047020209421,0,0,0,0,0,0,0,0.197711142857594,-0.202692223472727,0.416367041502309,0,0,0,0,0,0,0,0,0.0188613303946923,0,-0.0402532932494883,0.0503899137695624,-0.248806442700933,0.180271815814645,-0.454592170668344
