,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.292287586190483,0.028375807043,0,0,0,0.461506645884932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100395698625368,0.0411586144333818,0,0,0,0,0,0,0,0,0,0,0.0789992488501775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.227817014742272,0,0,0,0,0,0.180753061017471,0,0,0,0.0153201667072051,0,0.100306178999662,0,0,0.0817064287940335,0,0,0.137724023659428,0,0,0,0,0,0,0,0,0,0.0256618588098459,0,0,0,0,0,0,0.0692324870628767,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1474331421699
X601939.CH.EQUITY,0.383049124107576,0.118335234690972,0,0,0,0,0,0.118594964394571,0,0,0,0,0,0,0,0,0.121894875799047,0,0,0,0,-0.161289291586232,0,0,0,0,0,0,0.1049020226988,-0.00789687325574838,0,0,0.247804232043401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259926316086445,0.07721867029933,0
X600036.CH.EQUITY,0,0,0,0,0,0.184527105069811,0,0.17181609940572,0,0,0,-0.0551567680102707,0.132172143895556,0,0,0,0,0,0,0,0,0,0.0250290125265138,0,0,0.0807272373008218,0,0,0.136091488627084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36100415977389,0.0223471802168735,0
X601288.CH.EQUITY,0,0,-8.67361737988404e-19,0,0,0,0,0.542370208567743,0,0,-0.0788686794744839,0.0552893906460554,0,0,0,0,0,0,0,0,0,0.0401361208134776,0.0753909737101003,0,0,0.116979650862198,0,0,0.116090822413355,0,0,0,0.0437859936468995,0,0,0,0,0,0,0,0,0,0,0,0,0.0512110159011606,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.227218499450502,0.0218989160806942,0,0,0,0,0,0,0.122805311993384,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.107101842821242,0,0,0,0,0,0,0,0,0,0.197475463080537,0,0,0,0,0,0.057516614633551,0.173848528036389,0.0964171763322633,0,0.305763600987355,0,0,0,0.280601328663577,0,0,0,0,0
X601628.CH.EQUITY,0.118563192378145,0,0,0,0,0,0,0,0,0,0.0282809698783378,0.0935888231501839,-0.0873099265237468,0,0,-0.269167819718456,0,0,0,0,0,0.0153941160383695,0,0,0,0,-0.00983038869223691,0,0,0,0,0,0,0.676791066883921,0.054437124633278,-4.33680868994202e-19,0,0,0,0.00910770820565318,0,0,0,0,0,0,0,0.0770488983745757,-0.0385002031473343,0,0.203779474841781,0
X601988.CH.EQUITY,0.0754768142435802,0,0.0945091626991632,0,0.355707063439041,0,0,0,0,0,0,0,0.211364639178901,0,0,0,0.144120899927647,0,0.00639129027861113,0,0,0,0.00637274855334306,0,0,0.0196828944497985,0,0,0,1.73472347597681e-18,0.126965693652597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123622867950253,0,0,0,0,0,0,0,0,0,0,0.00283742047479789,-0.0947893132148246,0,0,0,0,0,0,0.234302712762592,0,0.189713186977852,0.140597953563853,0,0,0,0,0,0,0,0,0.060383129313152,0,0,0,0,0,0.19815236961508,0.0625652322703083,0,-0.0628458610847539,0.259286527549191,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0250189655929895,0,0,0,0.0707370303023007,0,0,0,0,0.0699793510365462,0.125150184336398,0,0,0.0925470438913405,0,0,0,0,0,0,0,0,0,0,0.154010105580855,0.00864063114159895,0.426232784540039,0,0,0,0,0,0,0,0,0,0,0.00296712097855332,0,0,0,0,0,0,0,-0.0266718117412883,0,0,-0.0713483839343362,0
