,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0367268172914266,0,0,0.0789115118499375,0,0.274600817980901,0,0,0,0,0,0.136805154084111,0,0,0,0.12687600255282,0,0,-0.00920222954312511,0,0,0,0,0,0,0,0.0303729202220214,0.257202955371455,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0421836386415231,0,0,0,0,0
X601939.CH.EQUITY,0.00626305925611821,0,0,0.18405870160712,0,0,0,0,0,0,0,0.372939728001452,0,0.252140472260123,0,0,0,0,0,0,0.0693367882935795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661410176991048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.188557772722466,0,0,0,0,0,0,0,0.201454810722364,0,6.93889390390723e-18,0,0,0,0,0.29818048997078,0,0,0,0.123781339384667,0,0,0,0,0.0233062637493955,0,0,0,0,-0.0362000530463454,0,0,0,0,0,0.0923722660436164,0,0,0,0,0,0,0.0270387045570191,0,0,0,0,0,0,0.10380489538127,0,0,0
X601288.CH.EQUITY,0.34534054515196,0.0242232888055231,0,0,0.492557790012529,0,0,0,0,0,0,0,0,0,0.0318892485518599,0.00784669484963524,0,-0.0303176463682948,0,0,0,0,0.0141602870958789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100756014117891,0,0,0,0
X601988.CH.EQUITY,0,0,0.189865072792885,0,0,0,0,0,0,0,0.130961698807262,0,0,0,0,0.0256302848816961,0,0.0903395163989645,0,0,0,0,0,0,0.0399018925466228,0,0,0,0,0,0,0.15280166415655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212452684800766,0,0,0,0.12469809967737,0,0,0
X5.HK.EQUITY,0,0,0,-0.122325349024991,0,0,0,0.315434860625265,0,0,0,0,0.417938912167456,0,0.139767746857772,0,2.77555756156289e-17,0,0,0,0,0.564616736164185,0,0,0,-0.662367030223598,0,0.180372993139513,0,0,0,0,0.0548415092693791,0,0,0,0,0,0.171990831210739,0,0,0,0,0,0,0,0,0,0,0,0,-0.216741104183978,-0.0351879078644109
X600036.CH.EQUITY,0,0,0,0.060787478973243,0,0,0,0.0924002136329321,0,0,0,0,0,0,0,0.135498838506136,0,0,0.123238459504314,0,0,0,0,0,0,0,0,0.0542621940528318,0,0,0.190750947961103,0,0.230587666419876,0,0,0.0415644601389825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.00855491876937879,0,0,0,0,-6.93889390390723e-18,0,0,0,0.131455375704758,0,0,0,0,0.106602923842917,0,0.167850540523515,0,0,0,0,0,0,0.168748653559719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358995793159222,0,0,0,0
X601628.CH.EQUITY,0.26197464606182,0,0,0,0,0,0,0.0724019493647222,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0512090471426791,0,0,0,0,0.116939450001723,0,0,0,0,0.25981149224105,0,0,0.0626647916513796,0.109841756728949,0,0,-0.142466253420088,0,0,0,0,0,0,0,0,0,0,0.124474019066556,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0954793303018728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175143322462279,0,0,-0.215694917008958,0,0,0,0,0,0,0.714157976437989,0,-1.0842021724855e-19,-0.143918592379963,0,0,0,0.444029834432612,0,-0.261478613072135,-0.0240727734889614,0,0,-0.163506591449455
