,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.153666046024739,1.38777878078145e-17,0,0,0,0,0,-0.0164209067560606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28633516275118,0.426283426517054,0.225875400584967,-0.188245686478344,0,0,-0.0493001959547688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.242675396884208,0,0,0,-0.08649468849493,0,0,0,0,0,0,0,0.0153743131299784,0,0,0,0,0,0,0,0,0,0,0,0.0607842722011307,0.19347424828391,0,0.0272983544689961,0,0,0.216649953705113,0,0.125553151000759,0,0,0,0,0,0,0,0,0,0,0.0643445541919738,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.76947489410614,0,0,0.0112278796969626,0,0,0.0036468648596152,0,0.0246631830751062,-0.00991799587261619,0,0,0,0,0.142519557703741,0.0760789434203804,0,0,0,0,0,0,0,0.0016236286511972,0,0.0281654491016947,0,0.0571309343149456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.914386614478321,0,-0.0258091805597103,0,0,-0.0128684835904884,0,0,0,0,0,0,0.0363005448793285,0.0612160000069549,0,0,0,0,0,0,0,0,0,0,0,0,0.06174923502518,0,0,0,0,0,0,0,0,0,0,-0.0667281811190159,-0.129988086830055,0,0,0,0,0,-0.011209019502408,0,0,0.0509419512325264,-0.0623123396016424,-0.0183803721127636,0
X601628.CH.EQUITY,0.00865729231046109,0,0,0,0,0,0,0,0,0.241153942122847,0.166628601736845,0,0,0,0,0,0,0,0,0,0.130910763995317,0,0,0,0,0,0,0,-0.122147991748589,0,0,0,0,0,0,0.0527624208724588,0,0.398255093377928,0,0,0,0,0,0,0,0.0926803621587753,0.296904349539257,0,0,0,0,0.0247877584293459,0
X600036.CH.EQUITY,0,0,0,0.353540210942774,0,0,0,0,0.0530344337260896,0,0,0,0,0,0,0,0.137349030851541,0.0529112476190316,0,0,4.33680868994202e-19,0,0,0,0,0.128314308950725,0,0,0.096187385260098,0,0,0,0.0445777308816192,0,0,0,0,0.0161314759518016,0,0,0,0,0,0.00681467458587652,0.0115768974692652,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0218623472833002,-0.137865890356821,0.0342359139977707,0,0.0344263655265008,0,0,-0.0132802433995264,0,0,0.0563010691627278,0,0,0,0,0,-0.024782580816381,0,0,-0.00634628779124372,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0894659253145217,0,0,0,0,0,0,0,0.999586856074785,0,0,0.0328830163128029,0
X1299.HK.EQUITY,0,0.00170110788017726,0,0,0.1122778562539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358082779339104,-0.0269632776878861,0,0,0,0.0150157056310942,0,0,0,0,0.263571960058835,0.11967300145443,0,0,0,0,0,0,0,0,0.0479319617537705,0,0,0,0,0,0,0,0,0,-0.105661349634425
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177743415167686,0,0,0,-0.023855999789016,0.401636579313141,0.182865746566472,0,0,0,0,0,0,0,0,-0.0411742196256887,0.108381810936566,0,0,0,0,0.0858382702609348,0,0,-0.12689239302697,0,0,-0.218411078805775,0.186319501857026,0,0.0211963375891473
X388.HK.EQUITY,0,0,0,0,0.26622099126379,0,0,0,0.00515802317256409,0,0,0,0,0,0,0,0,-0.279082535001694,0,0.104527786132369,0,0,0.591020036516135,0,0,0,0.159086707194733,0,0,0.0646021023350389,0,0,0,0,-0.0979746286812176,0,0,0,0,0,0,0,0,-0.11376784768882,0,1.35525271560688e-20,0,0,0,0,0,0.063804106341897,0
