,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0753268620437356,0,0.658631147884159,0,0,0,0,-0.0220760667175159,0,0,0,0,0,0,0.00149997768630459,0,0.117518389506275,0,-0.00107498030313389,0,0.0141787222142749,0.0220533978458443,0,0,0,0,0,0.0513139575592293,-0.0168882905032564,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.0237649248116889,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138812414144236,0,0,0,0,0,0.473505712413736,0,0,0,0,0,0,0,0,0,0,0,0.0354847035164617,0,0,0,0.000319169265470579,0,0.0874561286627398,0,0,0,0,0,0.0690968825911118,0,0,0,0,0.00387672837680097,0,0,0,-0.112496171244796
X601939.CH.EQUITY,0,0,0,0,0.322445294436389,0,0.000412540792913672,0,0,0.113556749584867,0.181334982039074,0,0,0.0710230646277646,-0.0445533089933661,0.184372375207585,0,0,0.0700281121389316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153873208736176,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0531706225602309
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186970576654148,0,0,0.252983369864324,0,0,0,0,0.165639747669315,0,0,0,0.23247096466368,0,0,0,0,0,0,0,0,0,0.0247749690517991,0,0,0,0.192822456642684,0,-3.46944695195361e-18,0,0,0,0,0,0.0862783056617275,0,0,0.104486263667103,0,0,0,0,0,0
X601288.CH.EQUITY,0.434772369342597,0,0,0,0,0,0,0,0,0,0,0,0,0.0469975764288127,0,0,0.0799230521733534,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.107130512386775,0,0,0,-0.0450546224281104,0,0,0,0,0,0,0,0.0182119193449332,0.0526732112164793,-0.049211032098057,0,0,0,0,0,0,0.309570834612063,-0.0201831034338325,0,0
X600036.CH.EQUITY,0.0113750252049153,0.205203740409628,0,0,0,0,0,0,0,0,0,0,0,0.276444831324621,0,0,0,0,0.100034674942646,0,0,0,0,0,0.00780887779885845,0.24871757671167,0,0.0873975753656615,0,0.0733102979224221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.205064819788513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712184902109865,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.042308306449566,0,0,-0.144642046334038,0,0,0,0,0,0,0,0,-0.033392243503579,0,0.0156710153362013,-0.0371878505765019,0.946940283582606,0,-0.0695864676690603,-6.93889390390723e-18,0
X1299.HK.EQUITY,0,0,-0.102099616705881,0,-0.0692889604454096,0,0,0,0,0.316989270210888,0,0,0,0,0.0505361794528633,0,0,0,0,0,-0.085929081637358,0,0,0,0.106226056017928,0,0.316026610567622,0,0,0,0,0,0,0,0,0,0.0484065373672023,0,0,0,0,0.082996704154187,0.000174681216392617,0,0.183594363506368,0,0,0.0590173772951968,0,0,0,-0.00474272876032959,-0.151094265081462
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.229896654733706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543333929867622,0,0,0.356204529682238,0.136990546784402,0,0,0,0,0,0,0.0677759136706316,0,0,0,0,0.167087628967859,0,0.341281453110173,0,0,0,0,-0.0660201249552797,0,0,0
X388.HK.EQUITY,0,0.0703333720234024,0,0.130502969328605,0,0,0,0.0288046670800214,0,0,0,0,0,0,0,0,0,0,0,0,0.0605415225281994,0.0502937986886053,0,0,0,0,0,0,0,0,0.1519861640617,0,0,0,0,0,0.0608284414794579,0.134112125942354,0.24411580271841,0,-0.234835308336036,0,0,0,0.0176753171381429,0,0.31681279624128,0,0,0,0,0,0
