,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.265729184982351,0.0561251920456782,0.0021796026627212,-0.0128228715486229,0,0.46085652904338,0,0,0,0.0546268179332451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903298595292931,0.0329419147639151,0,0,0,0,0,0,0,0,0,0,0.0856184462845084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.22102041324378,0,0,0,0,0,0.190779667122863,0,0,0,0,0,0.108535982494225,0,0,0.0855755212039214,0,0,0.125437118217936,0,0,0,0,0,0,0,0,0,0.0136343102329371,0,0,0,0,0,0,0.0621209683105079,0,0,0,0,0,0,0.00298663304597375,0,0,0,0,0,0,0,-0.154866783489942
X601939.CH.EQUITY,0.457111022158628,0.131744177073307,0,0,0,0,0,0.244117032985043,0,0,0,0,0,0,0,0,0.0118170622334162,0,0,0,0,-0.142136372773598,0,0,0,0,0,0,0.159909230064629,0,0,0,0.11811497302436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117625031953531,0.162783213624715,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.246543736032232,0,0,0,0,-0.0827579183278267,0.208439504002411,0,0,0.145932753946933,0,0.000472910311613916,0,0,0,0,0,0,0,0,0.17447111868978,0,0.0555186318724656,0.0545444728087222,0,0,0,0,0,0,0,0.0193384947472014,0,0,0,0,0,0,0,0,0,0,0,0.370703132413371,-0.113937665973347,0,0
X601288.CH.EQUITY,0,0.0362438841846945,-4.33680868994202e-19,0,0,0.0746758724874417,0,0.477982971012576,0,0,-0.114775253348677,0.136950490168594,0,0,0,0,0,0,0,0,0,0,0.0680311784924251,0,0,0.0490174483842303,0,0,0.0470013516846128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220660817953975,0,0,0,0.0533369411603267,0,0,-0.00369838578057509,0.0867591023541229
X601628.CH.EQUITY,0.0783001461583596,0,0,0,0,0,0,0,0,0,0.0244960222695938,0,-0.0887821425394192,0,0,-0.233647105006354,0,0,0,0,-0.0128211523448184,0.178071923657149,0,0,0.114006681161429,0,-0.0797801770243452,0,0,0,0,0,0,0.0621842637185999,0.568104827320173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044442908688311,0
X1299.HK.EQUITY,0,0,-0.20714352138528,0,0,0,0,0,0,0,0.106521184324994,0,0,0,0,0,0,0,0,0.0197893564930947,0,0,0.112596111546227,0,0,0,0,0,0,0,0,0,0.171590179104006,0,0,0,0,0,0.0932257822307686,0.157443082026579,0.0651893065693852,0,0.296061487289216,0,0,0,0,0.298608709421235,0,0,0,0,0
X601988.CH.EQUITY,0.0403635455003246,0,0.090332704206991,0,0.358121261029488,0,0,0,2.71050543121376e-20,0,0,0,0.209631269691855,0,0,0,0.150755061736468,0,0.0179387908286817,0,0,0,0.00952638266566934,0,0,0.026613518357667,0,0,0,0,0.125458246443948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.106406313517096,0,0,0,0,0,0,0,0,0,0,0,-0.120755316260937,0,0,0,0,0,0,0.229044303874263,0,0.17962820094732,0.130629587898511,0,0,0,0,0,0,-0.0101553450997646,0,0.0782235057828522,0,0,0,0,0,0.217144325188268,0.0670854678941377,0,-0.0391803802632693,0.247161913669597,0,0.00728352602775007,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0678179913390971,0,0,0,0,0,0,0,0.123020844905304,0.111406089643711,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0.129023937731659,0,0.417498761744723,0,0,0,0,0,0.0226588398590577,0,0,0,0,0,0,0,0,0,0,0,-0.00274190916575055,0,0,0,0,0,0.109040046309005
X388.HK.EQUITY,0,0,0,-0.150022096332776,0,0,0.450750380935148,0,0,0,0,0,0,0,-0.0540263857644295,0,0,0,0,-0.192831748372361,0,0.34125504367487,0.0344762831000105,0,0,0,0,0.115672876887288,0,0,0,0,-0.154249184233127,0,0,0,0,0,0,0.0445587676209172,-0.0948913867401685,0.161298810228282,0,0,0,-0.155228159465112,0,0,0,0,0.123039314525273,0,0
X601658.CH.Equity,0,0,0,1.0842021724855e-19,0.515751913967416,0.0596708011528588,-0.070028367901859,0,0,0.162720918652999,0.0325406355697546,0,0.122606738307251,0,0,0,0.393989596297662,0,0,0,0,0.256358693468708,0,0,0,0,0,0,0,0,0,-0.272864948847785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325041577259052,0,0,-0.0679536666176377
X000001.CH.EQUITY,0,0,0,0.13482698518574,0,0,0,0.191346530793546,0,0.444140440166134,0.0571906808224766,0,0,0,0,0,0,0,0,0,0.0127240895340067,0,0.0733077752078096,0,0,0,0.378905498988048,0,0,0,0,0,-0.241427955876026,0,0,0,0,-0.0469510972608775,0,0,0,0,0,0,-0.0303571143110157,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0337744540117751,-0.0172609207802351,0,0,0,0,0,0,0.295877151767825,0,0,0,0,0,0,0,0,0,0,0,0,0.00553015563116824,0,0.0506745763030648,0.00879265131227983,0.206737684526624,0.22245845031126,0,0,0,0,0,0,0.2295318640328,0,0.0194927154172518,0,0,0.0506031370860741,-3.46944695195361e-18,0,0,0
X601601.CH.EQUITY,0,0.0182359027797016,0,0,0.0444082141674566,0,0,0,0.0378069447384773,0,-0.0535778538023471,0,0.316222620233778,0,0,0,0,0.0833673117937442,0,0,0.21111336421602,0,0,0.114552750618416,0,0,0,0,0,0,-0.0272056572236097,0,0,0,0,0,0,0,0,0,0.060408845690741,0,0,0,0,0.121507180314407,0,0,0,0,0,0,-0.046217506834264
X000002.CH.EQUITY,0,-0.028210804513976,0,0.0462856116930917,0,0,0,0,0,0,-0.0668462413057669,0.0661357092370058,0,0,0,0,0,0,0,0,0,0,0,0,-0.0879577534683874,0.280124353268955,0,0.54929961680648,0,0,0.0638357330309403,0,0,0,0,0,0,0,0,0,0,-0.0298880979479373,0,0.0852974736584625,0,0,0,0,0,0,0,0,-0.0182370991854566
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.139474329004963,0,0,0,0,0,0.291004873870052,0,0,0,0,0,0,0.126926277241892,0,0,0,0,0,0,0,0,0,0,0,0,0.148644918089113,0,0.0191920584323442,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.160265393320356,0,0.048522047228681,0,0,0,0,0,0.0353963284809764,0,0,0,0,0,0,0.418168992512755,0,0,0,0,0,0,0.0574118765357346,0,0.0860256419640435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282891322254479,0,0,0,0,0,0.0297019096158807,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.117681173701542,0,0,0.00840506026084522,0,0,0,0,0,0.0313682221667479,-0.0438822068416623,0.64166304720559,-0.0894129969791642,0,-0.148591899226063,0,0,0,0,0,-0.00348166922226328,-0.20579445697687,0,0.147791491832709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139715702262744,0,0,0,0.0920877497519302,0,0,-0.0296659269320336,0,0,-0.22111630337221,0
