,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.563651648202347,0.0480828125232406,0.0303038925709257,0,0.0664903619802036,0,0,0,0,0,0,0.0467476938327141,0,0,0,0.0178694114112704,0.0620539605273066,0,0,0,0,0,0.0686065447043786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.096484513916347,0,0,0,0,0,0,0,0,0,0,0.186039590614479,0.0406421094968501,0,0,0,0,0,0,0.0496986524428929,0.0902766118258607,0,0,0,0,0,0,0,0,0,0.168987809413582,0,0,0.328730507849055,0,0,0,0.0159587566323769,0,0.0274477227778214,0,0,0,0,0,0
X601939.CH.EQUITY,0.468133107096784,0,0,0.183436183838321,0,0.111248204025532,0,0,0,0.017114183308395,0.134313423368637,0,0,0,0,0,0,0,0,0,0,0.000820314791024553,0,0,0,0,0.00120205032202322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445241059027101,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.440264705570955,0,0,0,0,0,0,0,0,0.0727390004168595,0,0,0,0,0,0,0,0.119682320888958,0,0,0.126091662567197,0,0,0,0.0575396267321733,0.0217032785856631,0,0,0.0937390405550628,0.0632323504239402,0,0,0,0,0,0,0,0,0,0.00612109961813677,0,0,0,0,0,0,0,0,0,0,0,-0.0655438999943256
X5.HK.EQUITY,0,0,0,0,0,0,0,0.093326044813693,0,0,0,0,0,0,0,0,0.24745081758338,0,0,0,0,0,0,0,0,0.470954743424122,0,0,0,0.0983016641835662,-0.288983573312155,0,0,0,0,-0.124859155119401,0.413955557736851,0,0,0,0,0,0,-0.186785480394339,0,-0.306118949101158,0,0,0,0.266024935619597,0,0
X601988.CH.EQUITY,0,0,0.284009003385703,0,0,0,0,0,0.0103823534600829,-8.67361737988404e-19,0,0,0.0796417677308257,0.0871683801019547,0,0,0,0.0425519019122514,0,0,0,0,0,0.401977730438877,0,0,0,0,0,0.00727506231753969,0,0,0,0.135807014232599,0,0,0,0,0,0.0557273309355803,0,0,0,0,0,0,0.00146193102441371,0,0,0.0394844374728693,0,0
X600036.CH.EQUITY,0,0.186768721494769,0,0,0,0,0,0,0.109223785356799,1.38777878078145e-17,0.0988034335601647,0,0.178644188650625,0,0,0,-0.0377545421908545,0,0.0232517400255974,0,0,0,0,0,0.334083066635071,0,0,0,0,0.04928618697528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265925431906263,0,0,-0.0362826220457024
X1299.HK.EQUITY,0,0,0,0,0,0,0.045887153809992,0,0,-0.0904063943826716,0,0,0,0.140261071776999,0,0,0,0,-0.0337530028718778,0,0,0.266479788377532,0,0,0.0509458949028233,0.0650854318936547,0,0,0,0,0.0249165102020627,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0263151144584179,0,0,0.248904530981289,0,0,0,0.138351452232982,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000269213188143808,0.192315768432941,0,0,0.0376879455746735,0,0,0,0,0,0,0,0,0,0,0.196633855640893,0,0,0,0,0,0,0.245313198644644,0,0,0,0,0,0,0.00748637344944412,0.176271099906854,0,0,0,0,0,0,0,0,0,-0.00918205652962746
X601328.CH.EQUITY,0,0.141860655464019,0,0,0,0,0.00961947353383627,0.000939051620882483,0,0,0,0,0.112397888869099,0,0,0,0,0,0,0.0326020820016226,0.101822444191298,0.0188463763542898,0,0.0219077926033491,0,0,0.0784634169340084,0,0,0,0,0.112538558271141,0,0,0,0,0,-0.0217954408325749,0,0.164899085275231,0.224811665017729,0,0,0,0,0,0,0,0,0,0,0
