,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398730527703288,0,0,0,0,0,0,0,0,-0.119033229438728,0,0,0,0,0,0,0,0,0,-0.00312683060263399,0,0.669524114163336,0,0,0,0,0,0,0,0,0,0,0.0189006141260506
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.110974607987232,0,0,0,0,0,0,0,0.0700228780896935,0,0.0833504404444293,0.0273180544733444,0.0545987040113604,0,0,0,0,0,0.0944421966961518,0.0402360172192635,0,0,0,0,0,0,0,0.277749094933633,0,0,0,0,0.212671425160689,0.0164075003084852,0,0,0.0373447539612465,0,0,0,0,0,-0.0301516890279591,0
X601939.CH.EQUITY,0.283272657070206,0,0,0,0,0,0,0,0,0.0389893234856887,0,0,0,0,0,-0.0166906614200761,0,0,0,0,0,0,0.0756110196679182,0,0,-0.0847439543271364,-0.0642461775888466,0,0,0,0,0,0,0,0,0,0,0.0257123788744571,0,0.546317954738414,0,0,0,0,0,0,0,0,0,0,0.116586494703136,0
X601288.CH.EQUITY,0,0,0,0,-0.167734711570165,0,0,0,1.38777878078145e-17,0,0.812659176059819,0,0,0,0,-0.386046656510496,0,0,0,-0.208760163835312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0598670645971388,0,0,0,0,0,0,0,0,0,0.0199329078213586,0,0,0,-0.123052036739948
X5.HK.EQUITY,0,0,0,0,0,0.13339721580024,0.374186187022226,0,0,0,0.0471967586212124,0,0,0.18788549477301,0,0,0,8.67361737988404e-19,0,0,0,0,0.0259094408675292,0,0,0.0343951079287221,0,-0.122559488661522,0,0,0,0,0,0,0,0,0,0.0785355504133359,0,0,0.131255299122244,0,0,0,0,-0.184131753893189,0,0,0.135654024147969,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.336518320860141,0,0,0,0,0,0,0,0,0.112105622518445,0,0,0,0.179604622350214,0,-0.0568733839870337,0,0,0,0,0.186800334686675,0,0,0,0,0,-0.332342766623666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614951025689031,0,0,0,0,0,0,0.0196206786023073
X1299.HK.EQUITY,0,0,0,0,0.285399318821982,0,0,0,0,0,0,0,0,0,0,0,0,0.150332220427178,0,0,0.0475899618945105,0,0,0,0,0,0.0624082520308041,0.108672544837937,0,0.0938839603779079,0,0,0,0,0,0,0,0.315283342690094,0,0,0,0,0,-0.199114056182475,-0.0163667489830813,0,0,0,0,0,0,-8.67361737988404e-19
X600036.CH.EQUITY,0,0.140222019898674,0,0,0,0,0,0,0,0.48417590915593,0,0,0,0,0,0,0,0,0,0.233320380049144,0,0,0,0,0,0,0,-0.00734895653875437,0.128433013758573,0,0,0,0,-0.204820897304326,0,0,-0.156155489135183,0,0,0,-0.00801098932961434,0,0,0.214167963697947,0,-0.0325940860774177,0,0,0.00107754276821,0,0,0
X601628.CH.EQUITY,0,0.264905334560667,0.0140786435406473,0.0537445293285697,-0.0873929146856502,0,0,0,0,0,0,0,-0.00959728098163481,0,0,0,0.234337844833672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156625348651078,0.0774310942344895,0,0,0,0,0,0.150036621615482,0,0.0796760532692825,0.105626765140547,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0152776249854209,0,0,0,0.690064197324834,0,0,0,0,0,0,0,0,0,0,0,0.22113063892731,0,0,0,0,0,0.0950654561195718,0,0,0,0,0,0,0,0,0,0,0,-0.0879971979277489,0,0,0,0,0,0.124302632781884,0,-0.14007045872875,0,-0.124019790511803,0,0.0273798510145221,-0.0327593551088605,0
