,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.420976898836372,0,0,0.366122171457166,0,0,0,0.220090696064677,0,0,0,0,-0.0605431895197866,0,-0.0784131707276114,0.0576053758300645,0,-0.0048715569035302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221150193280422,0,0,0,0,0,0,0,0,0,-0.0924668393034352,0,-0.0244607967938438,-0.258872148762243,0,-0.0415042781191779,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0505841902026311,0,0.0427053189748203,0,0.104562409296727,0,0,0.101440147312544,0,0,0.242891526196943,0,-0.0228855027042145,-0.047526471443073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05449238919751,0,8.67361737988404e-19,0,0,0,0.332853087118793,0,0.0753903690324843,0,0.0257896054695735,0,0,0,0,0,0,0,-0.0374573120034505
X601939.CH.EQUITY,0.14007446314036,0,0,0,0,0,0,0,0,0.0767645870077903,0,0,0,0,0,0,0,0,0,0,0.13270491221217,0,0,0,0,0.417368033321817,0,0,0,0,0,0,0,0.0609155493425114,0.0873615751149208,0,0,0,0.0153073739241897,0,0,0,0,0.00932314336541426,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0376322306681792,0,0,0,0.180945350418192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117034008403095,0,0,0,0,0.198887912768767,-0.029974149513251,0,0,0,0,0,0,0,0,0,0,0.123923097340131,0,0.0744261876600033,0,0,1.73472347597681e-18,0.218922052030644,0,0,0,0.0193266401700514,0,0,0,0.102884720429864
X5.HK.EQUITY,0,-0.0793656736757978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25018224238526,0,0.129051241588383,0.227068320668456,0,0,0,0.433561772763939,0,0,0,0,-0.0447524895197885,-0.310965795019286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111278927523672,0,-0.124479291806957,-0.0256237784998212,0.135750524167338,0,0
X601988.CH.EQUITY,0.214571680690937,0,0,0.389069116893394,0,0,0,0,0,0.0217774849438515,0.112333843817405,0,0.00498738707914884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163178721114175,0,0,0,0,-0.0517970784502792,0,0.0439940978358386,0,0,0,0,0,0.0293408479729949,0,0,0,0,0.0389243513843863,0,0,0,0,0.00921255147651442,0.133695262269572,0.0199826811245211
X600036.CH.EQUITY,0,0.278113227004145,0,0,0,0,0,0,0,0,0,0.126611280360249,0,0.0553614664661962,0,0,0.0160310678194063,0,0,0.0319448590683125,0,0,0,0,0,0,-0.0513613689616585,0,-0.0178997135505407,0,0,0.228006774287449,0,0.11755487933124,-0.178923046942789,0.0433635687716653,0,0,0,0.206166260085411,0,0,0,0,0,0,0,0,0,0.204721155452773,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538104034290182,0,0.0494008891642528,0,0.426985230025604,0,0.192587788164173,0.285603909390244,0,0,0,0,0,0,0.130239559203098,0,0,0,0,0,0,0,0,0,0,-0.121906786459771,0,0,0,0,0,0,0,0,0,0,0,-0.162000963311776,-0.0604058375087191
X601628.CH.EQUITY,0,0.232937840383566,0,0,0,0,0,0,0,0,0.0407133380922694,0,0,0,0,0,0.158660068429896,0,0,0,0.0422053775886526,0,0,0.130501347645008,0,0,0,0,-0.0111599131927759,0,0,0,0,0,0,0,0,0.16890966884805,0,0.0694488282083426,0,0,0,0,0,0,0,0,0,0.0568718417980243,0,0
X601328.CH.EQUITY,0.0733059538197958,0,0.0842355638279071,0.0485224755664029,0.058409735803917,0.270915365040481,0,0,0,0,0,0,0,0,0,0.0135277268867214,0,0,0.0382818911786027,0,0,0.20936875800569,0,0,0.0169548647047679,0,0,0.0573038885389087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552872942377142,0.0832209578278995,0,0.116228889259107,0,0,0.021525488444157,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.355022820138939,0.30101390326224,0,0.0213549731420759,0,0,0,0,0,0,0,0.36394558641177,0,0,0,0,0,-3.46944695195361e-18,-0.0879074710808261,0,0,0.133867131600948,0,0,0,0,0,-0.0364512521468179,0.305329803998181,0.100601686832122,0,0,0,0,0.143057416175303,0,0,-0.156463260889792,-0.311459807274821,0,0,0,-0.0445929430051709,0,0,0,0.0779809815441216
X600000.CH.EQUITY,0.0717766181749816,0.0592501371856321,0,0,0,0,0.335639420530234,0,0,0,0,0,0,0.0170636569340841,0,0,0,0,0,-0.0443609951428839,0.0306207897439386,0.218196211935998,0,0,0,0,0,0,-0.0296443018538096,0,0,0,0,0,0,0,0,0,0.179707133241392,-0.0542847062677338,-0.0511557820751114,0.0112658133977961,0,0,0,0,0.094410472610567,0,0,0,0.119044433890359,0.0735701653955146
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.166380865103564,0,0,0,0,-0.0298079556086814,0,0,0,0,0.124828468578517,0,0,0.176530579459209,0,0,0,0,0,0.00829781759203642,0,0,0.0428047898391457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320726956323356,0.149568658881616,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.064671420278124,0,0,0,0,0,0,0,0,0,0,0.106042066365226,0,0,-0.0994815105646745,0,0.0718075946001616,0,0,0,0,0,0,0,0,-0.0578031384291296,0,0,0,0,0,0.228766805559392,0.155614856642286,0,0,0,0,0.35286787874577,0,0,0,0,0,0,0,0,0,-0.0659172616271341,0,-0.163122456659837,-0.10639328116942
X16.HK.EQUITY,0,0,0,0,0,1.73472347597681e-18,0,0.129787822462023,0,0,0,0,0,0,0,0,0,0,0,0,0.0613867032517868,0,0,0,0,0,1.0842021724855e-19,0.0683544133913271,0,0.254546756604304,0,0,0.0893621712483445,0,0,0,0,0,0,0,0.33149997612974,0,0,0,0,0,0,0.0496374491134204,0,0,0,0.0502485605341705
X000002.CH.EQUITY,0,0,-0.101583046380646,0,0.0932063682304279,0,0,0,0,0,0,0,0,0.0587809266378256,0,0,0.160924949843981,0,0.128043206639819,0,0,0,0,0,0,0,0.103391852367898,0,0.514703545873944,0,0,0,0,0.273675814941524,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.296726935023894,0,0.281261794124269,0,-0.0545269044024895
X601601.CH.EQUITY,-0.0359824149871561,0,0,0,0,0,0,-0.00617820290946253,0.0740171744614442,0,0.0976763202401673,0,0,0.366362575906586,0,0.264128736707933,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.115445129575202,0,0,0,0,0,0.109683656045877,0,0,0.0268290919388116,0,0,0,0,0,0,-0.0486546674113052,0,0,0,-0.0979282484804193,0,0,0,4.33680868994202e-19,0.235820952609867,0
X11.HK.EQUITY,0.244583120898132,0,0,0,0.121329147393812,0,0,0.215551849892966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551216620474442,0,0,-0.146381382590014,0,-0.0628563065674994,0,0,0,0,0,0,0,0.0893343914219653,0,0,-0.00221063787886908,0,0,-0.103568163131987,0,0,0,0,0,-0.149383691064257,0,-0.131843642590168,-0.0231048700649511,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119768208318895,0,0,0,0,0,0,0.034350319193837,0,0.137172954552728,0,0.13249878075836,0,0,0,0,0,0,0,0,0,0,0,0,0.00228199768243136,0,0,-0.0215302082779746,0,0.214291187079867,0,0,0,0,0,0,-0.0399031135786687,0.11327948127416
X388.HK.EQUITY,0,0,0.0240238255747285,0,0.0496022136058606,0,0,0.362568549950775,0,0,0,0,0,0,0,0,0.110215418691489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118102026647838,0,0,0,-0.0158181676090879,0,0,-0.474856840638901,0,0,0.128416468394507,-0.0787565559894045,0,0,0,0,0.595292366404857,0,0,0,0,0
X267.HK.EQUITY,-0.00381078584903078,0,0.155376963951626,0,0.287027838469742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22964247291777,0,0,0,0,0,0,0.118271687058647,0,0.205599790207065,0,0,0.0476942217436066,0,0,0,0,0.018832702422555,0,0,-0.00418342572537884,0,0,0,0,0,-0.0117196572789988,-0.0411143941614303,0.0456888553295005,0
X600016.CH.EQUITY,0.0249010854987794,0.0635124668427793,0,0,0,0.0547863693805335,0,0,0,0.194797968217684,0,0,0.132740547853682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109254510052305,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.035956746358878,0,0,0.439850387067876,0,0,0,0,0,0,0,0.0682030648738163,0
