,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.428432272480388,0,0,0,0,0,0.00289766056929907,0,0,0,0,0.361310845066051,0,0,0,0,-0.0451869339886705,0,0,0,0,0,0,0,0,0.0745443386251213,0,0,0,0,0,0,0,0.00135021092900464,0,0,0,0,0,0,0,0,0.0053624773469294,0,0.11416540750375,0,0,0,0,0
X601939.CH.EQUITY,0.319974509387805,0,0,0,0,0,0,0,0,0,0,0,0,0.504589437299995,0.0502386763370828,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0733139495585106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202613272080246,0.0631117013630804,0,0,0,0,0,0,0.0292572198437394,0,0,0,0.00452298071987942,0.00860177736763848,0,0,0,0,0,0.0242130967761248,0,0,0,0,0,0,0,0.499215330276858,0,0,0,0,0,0,0,0,0.0432353289832013,0,0,0
X601288.CH.EQUITY,0.357485959421814,0.0412400513662524,0,0,0.353041171691526,0,0,0,0,0,0.109381188293445,0,0,0,0.0414183910012005,0.0561792611888508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341964067623192
X601988.CH.EQUITY,0,0,0,0.177792034548814,0,0,0,0,0,0,0.24043748653829,0,0,0.0937684431114776,0,0,0,0,0,0,0,0.0235566838667095,0,0,0,0.10240732290989,0,0,0,0.0747091479904013,0,0,0,0,0.102889747874581,0,0,0,0,0,0,0.0654321010288223,0,0,0,0.0494854622752597,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.258741935816118,0,0,0.116527970433642,0,0,0,0.519895475523045,0,0,0,0,0,0.637300784392133,0,-0.574722831465419,0,0,0,0,0,0,0,0,0,0.0918596624519408,0,0,0,0,0.0846111527975539,0,0,0,0,0,0,0,0.147884269902449,-0.0466577434631622,0
X600036.CH.EQUITY,0,0,0,0.00375370901851381,0,0,0,0,0,0,0,0.221229977481683,0,0,0.0546663184258599,0,0,0,0,0,0.164939747317619,0,0,0,0,0,0,0,0,0,0,0.0859273759380062,0,0,0,0.0889539940201546,0,0,0,0,0,0,0,0,0,0,0.0669792103142358,0,0,0.135342340959754,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.012250183393956,0,0,0,0,0,0,0,0,0.176390561841682,0,0,0,0.205638281118529,0,0,0.117241358804728,0,0,0,0,0,0,0.247224665952273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342106312267411,0,0,0
X601628.CH.EQUITY,0.160257962772423,0.154921782647509,0,0,0,0,0,0.0384759003011724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228538412936936,0,0,0,0,0,0,0,0,0.0151875423366209,0,0,0,0,0,0,0,0,0,0,0.0258484701427008,0,0.216316381391716,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.155243137258073,0,0,0,-0.00211227756690313,0,0,0,0,0,0,0,0,0,0,0,0.135066335649435,0,0,0,0,0,0,0,0,0,0,0,0.647196910787614,-0.0582534329051156,0,0,0,0,0.826212723548137,0,0,-0.55763086905645,0,0,-0.12524759931123
