,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X600606.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.142006504212728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364805378196637,0,0.423384334942033,0.29512357351978,0.0145533769612288,0,0,-0.0773909211663425,0,0,0.23775403262642,0,0,0,0,-0.272021201252862,0,0,0,0,0,0,0,0.047401087306498,0,0,0,-0.293717800886663,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.184942485490213,0,0,0,0,0,0,0,0,0,0,0,0.0939653272611719,0.0530884520126823,0,0,0,0,0,0,0,0,0,0.00417442034655281,0.0197945321673408,0,0.0682042153581229,0,0,-3.46944695195361e-18,0,0.237071383132421,0,0,0,0,0.0755053042433773,0,0,0,0,0,0,0,0.216615535490024,0,0.104867423863234,0
X601939.CH.EQUITY,0,0.0676793406351982,0,0.806940138965867,0,0,0,0,0,0.00207364038430137,0,0,0,0,0,0,0.0829594240887564,0.0179279054531124,0.0571276148829849,0,0,0.00324791365616921,0,0,0,0,0.0105755491645885,0,0,0,0.0100203168975837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0384132215550856,0,0.894575321821753,0,-0.0692428727813256,0,0,0,0,0,0,0,0,0,0,0.014504367005894,0,0.135884999296612,0,0,0,0,0,0,0,0,0.0408462254738215,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960907536865859,0,-0.0347773544559735,0,0,0,0,0,-0.00658310605582157,0,0,-0.0494252088978402,0,-0.00636988445941349
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0712090664509156,0,0.414627737059724,0,0,0,0,0,0,0,0,0,0.0969715781573621,0,0,0,0,0,0,0,0,0,0,0,0,0.3446209563708,-0.0823598053139422,0.0394221465961012,0,0,0,0,0,0,0,0,0,0.123174787910777,0,0,0,0.0796051165384918,0.124294742877409,0
X600036.CH.EQUITY,0,0,0.407129513719945,0,0,0,0,0,0.0250916522003318,-0.00646200389005986,0,0,0,0,0,0,0.10683049464373,0,0,0.00477570952195715,0.0121592033506765,0,0,0,0,0,0.190885484796452,0,0,0,0.125568993971495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,-3.46944695195361e-18,0,-0.0587609393329034,0.141865711877707,0,0,0,0,-0.0492877327870686,-0.0785924192767362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108203202542738,0,0,0,0,0,0,0,-0.0456064379347083,0,1.06593477022347,0.0107217248553024,0,0
X1299.HK.EQUITY,0,0,0,0,0.228100644365091,0,0,0,0,0.207000355577314,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235061319204712,0.07672163195796,0,0.439408955939623,0,0.172152580035765,0.188100466467482,0,0.115359350964607,0,0,0,0,0.0299909097062722,0,0,0,0,0,0,0,-0.105331922483332,0.0343131620681015,0,0,0,0,0.0725776512906673,0,0
X5.HK.EQUITY,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0641766947983096,0,0,0,0,0,0,0,0,0,0.416827204994575,0.360046976878383,0,0,0,0,0,0,0,-0.0636872752150491,0,0,0,0,0,0,0,0,0.0145945885734562,3.46944695195361e-18,0,-0.0607434753619304,0,0,0,0.206757603977748,-0.115979953516169,0
X388.HK.EQUITY,0,0,0,0,0.290390679722346,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171514475389955,0,0,0,0,0,0.429105870454718,0,0,0,0,1.38777878078145e-17,0,-1.38777878078145e-17,0,0,0,-0.0516206509674384,0,0,0,0,0,0,0,-0.115655925882004,-0.0929308918988524,0.0537849311731921,0.243321044921696,0,0,0,-0.125670736424901,0.0402989612296304,0
X601658.CH.Equity,0,0,0,0.214902770544045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257170129226662,0,0.0829502605776113,0,0,0,0,0,0,0,0,0.0182180622242017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178816045243128,0,0,0,0,0,0,0,0,0,0
