,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.122261845573516,0,0.10801309780677,0,0,0,-0.0430523927581898,0,0,0,0.37523695222148,0,0,0,-0.0839238622058169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0225061072799279,0,0,0,0,0.145517533917673,1.73472347597681e-18,0,0,0.121073990254315,0,0,0,0,0.0787075440569815,0,0,0,0.0111992422021775,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0707265042978186,0,0.288503787830481,0,0.102757689290636,-0.105528705765544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307509395275915,0.306035151123034,0,0,0,0,0,0.240307076791984,-0.223469310573245,0,0.23478927438547,0,0.243273546656748,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.324663671483988,0,0,0.255975289780341,0,0.13404419869051,0,0,0,0,0,0,0,0,0.118943275922162,0,0,0,0,0,0,0,0.0773222846690343,0,0,-0.0650998313028088,0,0,0,0,0,-0.0253107929955986,0,0,0,0,0,0,-0.099457135050975,0,0.36330821317287,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.205192775277571,0,0.23321385662303,0,0.0783584427278093,0.320476122156601,0,0,0,0,0,0,0,0,0,-0.00414920159026327,0,0.0783257154813055,0,0.0147720922050901,-0.0448365567813412,0,0,0,-0.122623409333822,0,0,0,0,0,0,0,0,-0.0782233521947846,0,0,0,0,0,0,0.169164987180953,0,0,0,0,0,0,0.0824328202829107,0,0,0,0,-0.0463495606034269
X5.HK.EQUITY,0,0,0.0394385937239835,0.228154724027046,0,0.166633382951606,0,-0.31213284573553,0,0,0,0,0.0807354245665368,0,0,0,-3.46944695195361e-18,-0.0431644395549322,0,0,0,0.420084326463062,0,0,0,0.416567008846806,0,0,0,0,0,0,0.0625898257573651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161668225635899,-0.110133628502213,0,0,0,0
X601988.CH.EQUITY,0.255451009974844,0.0537439705463084,0.222004677712216,0.00100224934136275,0,0,0,0,0.170627899433417,0,0,0.176397966971884,0,-0.20768237191916,0,0,0,0,0,0,0,0,0,0,0.0647676120242481,0,0.0740851422353889,0,0,0,0,0,0,0,0.0542535633953031,0,0,0,0.00834120442149442,0.0891059604064579,0,0,0,0,0.0512356611514495,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0196902630677159,-0.0118817224633677,0,0.0968299561768676,0,-0.0264514335796636,0.0291343468729789,0,0.325086493204179,0,0.26330674913364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550680452495568,0.0715871140206781,0,0.0712478924941636,0,0,0,0.0907343028195903,0,0,0,0.118057235344577,0,0,0,0,0,0,0.063861804258845,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0139794807724056,0,0,0,0.0202955892653353,0,0,-0.0436574558201131,0,0.115760525775823,0,0.435099542295112,0,0,0,0.0793962063013529,0,0,6.93889390390723e-18,0,0.0651526942032953,0,0,0,0,0,0.0555921341728636,0,0,0,0,0,0.107085569571523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.11119832585133,0.3509875659042,0,0,0.0563778091760281,0,0,0,0,0.0999461225105891,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.126340926472102,0,-0.00260565520572686,0,0,0,0,0,0,0,0.00840460825713923,-0.0431685606018257,0,0,0,0,0,0,0,-0.174159920073222,0,0,0,0.138400718563937,0,0,0,0,0.126569437188417,0,0,0.0231884398401344,0.0643428240778665,0.205086065584143
X601658.CH.Equity,0,0,0,0,0,0,-0.269032019767326,0,0,0,0,0,0,0,0,-0.134743496156483,0,0,0,0,0,0,0,0.454774280780272,0,0,0.204591214367425,0,0,0,0,0,0,0.100556663014992,0,0.428889887496956,-0.199152573958527,0,0,0,0,0,0,0,0,0.0402842850758871,0,-0.0407545200326052,0,-0.297675091424189,0,0,-0.447025523733334
