,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0478306255081118,0,0,0,0,0,0,0,0,0,0,0,0,0.53590076484892,0.671367620929766,-0.112728247523959,0,0.0137010097885284,0,0,0,-0.194511198556533,0,0,0.237870198316043,-0.307958899478781,0,0,0,-0.00797576593301718,0,-0.0603969843320747,0,0,0,0,0,0,0,0,0,0,0,-0.00841949028807226
X601318.CH.EQUITY,0,0,0,0,0,0,0.190993120896073,0,0,0,0,0,0,0.106658541216424,0,0,0,0,0,0.1873730207813,0,0,0,0,0,0,0,0,0.119663058717905,0.0304057948268972,0,0,0,0,0,0,0,0.203503297338485,0,0,0,0,0,0,0,0,0,0,0,0.00670486084067496,0,0,0
X601939.CH.EQUITY,0,0,0,0.828655622015739,0.0253459623673352,0,0.0106999972320159,0,0,0,0,0.00168399886147481,0,0,0,0,0,0,0.0627343840947171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460394031842143,0,0,0,0.00510655059342898,0.00314311781457945,0,0,0,0,0.0683264453535979,0,0,0,0,0.019931734370657,0,0,0,0
X601288.CH.EQUITY,0,0,0.851718899229904,0,0,-0.0957509099304616,0,0,0,0,0,0,0,0,0.0233107554416219,0.0183416855563547,0.0739121415423819,0.13915077020349,0,0,0,0,0,0,0,0,-0.0598211365706459,0.0252921219635681,0,0,0.0210006305646658,0,0,0,0,0,0.0148534757590798,0,0,0,-0.177767666098147,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0378415725445024,0,-0.0647907022314098,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012146068263994,0,0,-0.0781046840457719,0,0,0,0.081365795941961,0,0,0,-0.112510441196327,1.00799979691567,0,0.113044821425263,0
X601628.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0318689005211295,0,0,0.812424658677882,0,0,0,-0.00400307701163362,0,0,0,0,0,0.143563630873004,-0.0231943417619575,0,0,0,0,0,0,0,-0.0548366872923831,0,0,0,-0.0536285929005467,0,0,0.0285065976119692,0,0,-0.0347592929133292,0,0,0.10971543907111,0,0.0829215941529013,0,0,0.0317208245101537,0,0,0.132319690533835,0
X600036.CH.EQUITY,0,0.0498968911818204,0.378648925565705,0,0,0,0,0,0.00683927977095485,-0.00501552857330186,0,0,0,0,0,0.139069322331407,0,0,0,0.000543884763797003,0,0,0,0,0,0,0,0.204177132605334,0,0,0,0,0,0.174497040247831,0,0,0,0,0,0,0,0,0,0,0.0362568074695617,0,0,0,0,0,0,0,0.0505308308208168
X1299.HK.EQUITY,0,0,0,0,0,0.187923011490203,0,0,0,0.250289254335305,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.129169990512364,0,0,0,0.299244469522617,0.243586738279865,0.0998769114472624,0.127954059932141,0,0,0,0,0,0,0,0,0,0,0.125942982134019,0,0,-0.115347029999228,0.0231788825560207,0,0,0.0621315981256324,0,-0.0920618176843699,0,0
X5.HK.EQUITY,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.162680043893411,0,-0.0986204744198313,0,0,0,0.159974182008422,0,0,0.152722887656732,0,0.207656152657013,0,0,0,0,0,0,0,0,0.0636916900522805,0,0,0,0,0,0.137408997421297,-0.0880119763174623,0.0884085185022269,0,0,0,0,0,0,0,0.257073039548832
X388.HK.EQUITY,0,0,0,0,0,0.215482290240113,0,0,0,0,0,0,0,0,0,0,0,0,-0.21840526932511,0,0,0,0,0,0.14590020129169,0,0.41918277204474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258618598551814,0.0382526121090232,0,0.189688599925184,0,0,0,0,0,0.0368614950702573,0
