,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.279471632923779,0,0.257483327111464,0,0,0,0,0.0595797598572576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890855058041646,0,0,0,0,0,0,0,0,0,0.0028794057395826,0,0,0,0.083601856066614,0,0.0833253230967442,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.118976962527232,0,0,0,0,0,0,0,0.182634392035483,0,0,0,0,0,0,0,0.165495754892695,0,0,0,0,0,0,0,0.0752187512438862,0,0,0,0,0,-0.0516990059304147,0.153122575675322,0,0,0.148600440771385,0,-8.67361737988404e-19,0,0,0,0.0457796114638469,0,0,0.027781981204331,0,0,0.0551800958899158,0,0.135259187629652,0,0,0,0,0
X601939.CH.EQUITY,0.2195355220385,0,0,0,0,0,0,0,0,0,0,0.0189549627504386,0.265522716397167,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0423626743891815,0,0.199796847622872,0,0,0,0,0,0,0,0,0.182108464410049,0,0,0,0.0410477436742638,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.380395466486517,0,0.0234801893776928,0,0,0.268472064755887,0,0,0,0,0,0,0,0,0.0307667051364144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.199461499803023,0,0,0,0,0,0,0.0819646384828311,0.026295526929986,0,0,0,-0.0214892237941528
X5.HK.EQUITY,0.0259505032511487,0,0,0,0,0,0,-0.0463518887512973,0,0,0,0,0,0,0,0,0,0,0.386538993906078,0,0.130389871109653,0,0,0,0,-0.0877330651537275,0,0,0,0,0.580587736484767,0,0,0,0,0,0,0,0,0.0582414508739968,0,0,0,0,0,0,0,-0.172307495219165,0,0,0,-0.0306248588302461,0,0
X601988.CH.EQUITY,0.445092676215853,0,0,0,0,0,0,0,0.0138081461004208,0,0,0,0,0,0,0,0,0,0.0701605511475065,0,0,0,0.0258232059684991,0,0,0,0,0,0,0,0,0,0.160840352489287,0,0.0235051695188016,0,0,0,0,0,0,0,0,0,0,0,0,0.241662774974215,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.188041708871304,0,0,0.00696522297010156,0,0,0.0797697720270055,0,0,0.527611067305851,0,0,0,0,0,0,0,0,0,0,0.0497359730690405,0,0,0,0,0,0,0.070060084141927,0,0,8.67361737988404e-19,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461637059726441
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735960141925947,0,0,0,0.413776678547988,0,0,0,0.115533737374288,0,0.0512257749713261,0,0,0,0,0,0,-0.0336948903851377,0.397762502966749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.219689198620069,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0249905647623287,0,0,0,0,0,0,0,-0.0797757086661397,0,0.0187149868605301,0,0.199302821172708,0,0,0,0,0,0.254502554187618,0,0,0,0,0,0.0567265696134867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821029848715807,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0649569614278618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125923605134258,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313611885813716,0.465717779275544,0,0,0.708653507848215,0,0.187961493093301,0,-0.391767451230182,-0.132527136464052,0,0,0.155397854567942,-0.472994111584803
