,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.111069309371167,0,0.0506010799052755,0,0,0,-0.0758022534168571,0,0,0,0.482562363214979,0,0,0,-0.0724170271815331,0,0,0,0,0,0,0,0,0,0,0,0,0.0567707105165476,0,0,0,0,0,0,0,0.0897038696255614,0,0,0,0,0,0.218742733507156,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0799157698077063,0,0.139778266785379,0,0,0.118140008446507,0,0.0902302828551236,0,0,-0.103924339526811,0.0974440588900189,0.0184560690546911,0,0,0,0,0,-0.078886548304244,0,0,0,0,0,0,0,0,0,0,0,0,0.180680525787742,0,0,0,0,-0.232370497099376,0,0.354732320134412,0.188075283030656,0.154210350130631,0,0,0,0,0,0.210953136061165,0
X601939.CH.EQUITY,0.328695445608629,0,0,0.292482160941292,0,0.0892422949449127,0,-0.047534357659145,0,0,0,0,0,0,0.136764078430042,0.0323127660760875,0,0,0,0,0,0,0,0.0719182721241757,0,0,0,0,0,0,0,-0.01118868379241,0,0,0,0,-0.108555258934884,0,0,0.333887029714593,0,0,0,0,0,0,-0.040360207728978,0,0,0.0117963053111772,0
X601288.CH.EQUITY,0.371780682861177,0,0.124123268541657,0,0,0.235343180640044,0,0,0.111783889172182,0,0,0,0,0,0,0,0.0646008286296983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110220451420136,0,0,0,0,0,0,0,0,0.17710043073043,0,0
X5.HK.EQUITY,0,0,0.0436476528721253,0.246168116064889,0,0.11371660979261,0,-0.401202553734005,0,0,0,0,0.10073018151033,0,0,0,0,-0.0126139950621997,0,0,0.408905569692911,0,0,0,0,0.51549552663042,0,0,0,0,0.0183646202873831,0,0,0.11129791732196,0,0,0,0,0,0,0,0,0,0,-0.216406350479673,0.0199519534909319,0.118906546489799,0,0,0,0
X601988.CH.EQUITY,0.190247640463471,0,0.216677905226415,0,0,0,0,0,0.150368612723823,0,0.070395926069604,0.187724101321859,0,-0.292384795281756,0,0,0,0,0,0,0,0,0,0.180363351908794,0,0,0,0.0926833171651434,0,0,-0.0460629668917303,0,0,0,0,0,0.0456374627159929,0,0,0,0,0,0,0.0506916169107773,0.0377561454989522,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.108602767872078,-0.0512627419407546,0,0.255983031343605,0,-0.0451035284462201,0.0108237860421475,0,0.346766474472045,0,0.244807034094931,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0767325046375198,0,0,0.0831223863421819,0,0,-8.67361737988404e-19,0.123689891163247,0,0.0386085816660756,0,0,0,0,0,0,3.46944695195361e-18,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0761422712796448,0,0,0,0.118907667274069,0,0,0,-0.148233021435469,0.0449105981142776,0,0,0.362322460799832,0,0.249921930877259,-0.0175761213178425,0,0,0,0,0,0.054939461655509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.243585669615268,0.25178365891443,0,0,0.121806968229426,0,0,0,0,0.032243565883501,0,0,0,0,0,0.0351405720007549,0,0.0676543050488543,0,0,-0.164627377729911,0,0,0,0,0,0,0.191099161185695,0,0,-0.278984714111582,0,0,0,0,0,-0.10816593102703,0,0,0,0,0,0.0383670321724759,0,-0.0895368910153482,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0703893884466345,0,0,0,0,0,0,0,0.324447658188459,0,0,0,0,0,0,4.33680868994202e-19,-0.0613783127055835,0,0,0,0,0,0.0183792653792892,0,0,0,-0.194507771513615,0,0,0,0,0,0,0,0,0
