,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0.0981699161898871,0.0348267791398313,0,0,0,0,0,-0.23535385170346,0,0,0,0,0,0,0,0,0,0,-0.0163288896460449,0.0968381686958865,0,0.270275030058002,0.450254176345965,0,0,-0.0217121281654744,0,0.139953796381285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0638997060600062,0,0,0,0,0,0,0.174632358591622,0,0.0707284097028967,0.306425026538827,0,0,0,0,0,0,0,0,0,0,0.152206327450642,0,0,0,0,0.140113864679162,0.00743850426957352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063003236766366
X601939.CH.EQUITY,0,0.0253001563357959,0,0.763943461367585,0,0,0,0,0,0.00734915707514606,0.106618993594085,0,0,0,0,0,0.0889944346159345,0,0,0,0,0,0.00514726275506606,0,0,0,0,0.0122912471645788,0.0672974907929149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.903946238022759,0,-0.0353961532249375,0,0,-0.0465058070163449,0,0,0,0,0,0,0,0.011154693840672,0,0,0,0,0.0521724436936451,0,0,0.0829481870817336,0,0,0,0,0.0408155661517394,0.0411379524168757,0,0,0,0,0,0,0,0,0,0,-0.148031643860362,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0.01410637135461,0,0,0,0,0,0,-0.0642620419175301,0.23910150624184,0,0.34113026240736,0,0,0,0,0,0,0.245344939246067,0,0,0,0,0,0,0,0,0,-0.111041114556273,0,0,0,0,0,0,0,0.338051752116262,0,0,0,0,0,0,0,0,0.0623220859702349,0,0,0,0,0.0519239276070875
X600036.CH.EQUITY,0,0,0,0.348242682073325,0,0,0,0,0.0753061144970202,0,0,0,0,0,0.00436921807081332,0,0.0199590465097223,0.146513979454947,0,0,0,0,0,0,0,0,0.101177717238337,0,0,0.16837354968331,0,0,0,0.0260631869393795,0,0,0,0,0,0,0,0,0,0,0.037417971804325,0,0,0.0433666642924647,0,0,0
X601988.CH.EQUITY,0,0,0,0.0626868789105034,0,0.0133003783031119,0,0,-0.0572274391658393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731095742391037,0,0,0,0,0,-0.0256608303198362,0,0,0,0,0,0,0,0,0,0,0.000463810045571335,-0.134225610732013,0,0.999766194830278,1.73472347597681e-18,0
X1299.HK.EQUITY,0,0.0129263072561775,0,0,0,0,0,0,0,0.163560510975415,0,0,0,0,0,0.00438573765868658,0,0,0,0,0,0.22165661059406,0,0,0,0.0194703025616273,0,0,0,0,0,0,0,0.235662650204539,0,0,0,0.0353373116673737,0.0870721087046761,0,0,0,0,0,0,0,0,0,0,0.198505640724178,-0.0960279116980477
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136839219083247,0,0.0118516157846437,0,0,0,0.159851781763961,0.345527375108832,0,0,0,0,0,0,0,0,0,0,0,0,0.000629781152060732,-0.035188854897101,0,0,0,0.285069136674104,0.130915031375587,0,0,0,0,-0.326628162468244,0
X388.HK.EQUITY,0,0,0,0,0.247919415232469,0,0,0,0,0,0,0,0,0,0,0.144976311741089,-0.166353381752603,0,0,0,0.231336042686587,0.334551209654096,0,0,0,0,0,0.240875332824839,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509895005903812,0,0.154601160720151,-0.15484013829398,-0.106515620374598,0,0,-0.0743839542596878,0,0,0.101526851469926
