,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.040696404460316,0,0,0,-0.279752917134124,0.0444481831502034,0.0672506363003795,0,0,0,0,0,0,0,0,0,0.138921434365292,0,0,-0.110070185654464,0,0,-0.206094506850462,0,0,0,-0.335691295904658,0,0.138668472747266,0.808263325024749,0,0,-0.0236095377316532,-0.101909644139292,0.212852056420832,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.156252898891093,0,0.198463748797374,0,0.021147268327596,0,0,0.0124265771751707,0.0719531654400497,0,0,0,0,0,0,0.123169640418044,0.0777072977904316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126098067575858,0,0.215410838505506,0,0,0.0368573426186422,0,0,3.46944695195361e-18,0,0,0,0,0
X601939.CH.EQUITY,0.252557349040659,0,0,0,0.149018542572111,0,0,0,0,0,0,0,0,0,0,0,0,0.0872137247017849,0,0,0,0,0,0,0,-0.102110802431322,0,0,0,0.0203612984957771,0,0,0,-0.232932264541912,-0.204658894370938,0,0.156999778762538,0,0.540468954732059,0.102625143649675,0,0,0,0,0,0.157662562351463,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.397407893934946,0.0456611072099798,0.596380790981353,0,0,0,0,0.461237701777209,-0.399641955982667,0.186843769902312,0,0,0,0,0,0,-0.168958921652441,-2.77555756156289e-17,0,0,-0.0908274409817483,0,0,0,-0.542182798445444,0,0,0,0,0,0,0,0,0,0,0,0,0.389324180729355,0,0,0.137213796038099,0,0
X5.HK.EQUITY,-0.048527050380701,-0.13443860993389,0,0,0,0.0490933687799955,0,0.211438980708189,0,0,0,0,0,0,0.0107403035929335,0.214426230776794,0,0.0319437255034064,0,0,0.0681237357832869,0.648822250171761,0,-0.227434292108705,0,0.0977512937892006,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108798222578773,0,0.100475258000123,0,0,0,0,0.0976641295963472,0,0,0
X601988.CH.EQUITY,-0.355549431822501,0,0,0,0.456535448203161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868368217343663,0,0,0,-0.209870105510408,-0.0360214721784403,0,0,-0.185606407990924,0,0,-0.621162867855808,0,0,0,0,0,0,0,0,0,0.243144264414377,0,0,0,0,0,0.0842847830416247,0,0,0,0
X600036.CH.EQUITY,0,0.422848184450103,-0.0403569820718655,0,0,0.000117925641343817,0,0,-0.0443869716396619,0,0.545055500865292,0.148165889285575,0,0,0,0.148062970721063,0,0,0,0,0,-0.198930179364941,-0.0485873671886551,0.281963798391812,0,0,0.108718754725357,0,0,0,0,0,0,-0.227947116073262,0,0,0,0,0,0,0,0,0,-0.148051033160463,0,-0.06869281352571,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.263328607025161,0,0,0,0,0,0,-0.0875918116827447,0,0,0,0,0.0250728569749331,0,0,0,0,0,0,0,0,0.143907514018249,0,0,0.110942736455601,0,0,0,0.100388750015877,0,0,0,0,0,0,0.00877976716274016,0,-0.0987433582011119,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.175652739703673,0,0,0,0,0,0,0,0.197098260949637,0,0,0,0.294633713524673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035667947782365,0,0,0,0,0.0221566539321208,0,0.181097015878982,0,0,0,0,0,0,0,0,0,0,0,-0.00971686008948665
X601166.CH.EQUITY,0.0321891421070229,0,0,0.26119797859663,0.0315377171380268,0,0,0,1.73472347597681e-18,0,0,0.228744558262609,-0.0176504393585326,0,0,0,0,0,0,0,0,0,0.269572841835349,0,0,0,0,0,0,0.00764910157450877,0.0971047610968126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.113468479382559,0.0966556319915885,0.067198673438674,0,0,0.587451796965827,0,0,0,0,0,0,0,0,0,0,0.0130857849932407,0,0,0,0,0,0.264468248716222,0,0.25018194266094,0,0,0,-0.0500866113394885,0,0,0,0,-0.0801207610298396,0,-0.0471002438448659,0,0,0,0,0,0,0,0,-0.435991139216938,0,0,0,0
X600000.CH.EQUITY,0,0,0.470679256122387,0,0,0,0.352765473838779,0,0,0.224738176403612,0,0,0,0,0,0,0,-0.125305574356319,0,0,0,0,0.0752763444793404,0,0,0.100999283335628,0,0,0.0478419632479219,0,0,0,-0.0286186999094529,0,0,0,0,-0.368832438344637,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0496333616488362,0,0,0.324788845276572,0,0,0,0,0,0,0.194570895182894,-0.106181212126398,0.0865348765884913,0,0,-0.0704616809457966,0,0,0,0,0,0,0,0,0,0.33693161473893,0,0,0,0,0,0,0,0,0.0467062487718958,0,-0.151948220168452,0,0,0
X601601.CH.EQUITY,0,0,0,0,-0.0717883800247166,-0.151590924260028,0.0386100827627107,0,0.642188424276525,0,0,0,0.0154255887508561,0,0,0,0.056421860965532,0,0,0,0.0479511159724007,0,0,-0.0530468912741243,0,0,0,0.14069800093535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626165482096533,0,0,0,0,0.0284018105408434,0,0,0
X000002.CH.EQUITY,0,0,0,0,-0.0412005505935337,-0.0790343473158738,0,0,0,0,0,0,-0.100258277882175,0.283763061272085,0,0,0.0577517045300299,-0.0768069011138737,0.272018533750452,0,0,0,0,0,0,0,0,0.255661420973974,0,0,0.234009984804961,0,0,0.463996107385021,0,-0.0783490895567256,0,0,0,0,0,0.073823379970225,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.17417659212169,0,0,0.0612444342797747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243279925644274,0,0,0,0,0,0,0.191015057159647,0.359170269486735,1.38777878078145e-17,0,0,0,0,0,0.136620846295836,0,0.12148655276981,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0.0342645650379944,0,0,0,0,0,-0.00374400858505778,0,0,0,0,-0.154829089376398,0,0,0,0,0,0,0.247459132338774,0,0,0.00629836608354911,0.0373532112095566,0.254319606283374,0,0.279460851549132,0,0,-0.0665316458790115,0,0,0,0.436322672055506,0,0.0564851177465144,0,0,0,0.0391675995044503,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.443789221939834,0,0,0,0,-0.0946388640161785,0,0,0,0.0344729525639959,0,0,0,0,0.115505311324433,0,0.0580927878423424,0,0.098879658491089,0.171928992389301,0,0,0,0,0.0894197230955496,-0.00759468738787881,0,0,0,0,0,0.0746524616427566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.145767789106687,0,0,0,0.122072864173105,0,0,0.0833824023779653,0,0,0,0,0,0.0619702348216124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18151939398947,0,0,0,0,0,0,0,0.0124077023024627,0,0,0.0385514402239196,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.115996337495264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139579346218856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495990722583997,0,0,0,0,0,0,0
