,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.103401690145451,0,0.178325780479542,-3.46944695195361e-18,0,0,0,0,0,0,0.127212920521143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1687963884257,0,0,0,0.149224794732666,0,0,0,0,0,0,0,0,0.162644548600171,0,0.13081764270217,0
X601318.CH.EQUITY,0,0,-0.135869433241446,0,0,0.0747587333649965,0,0,0.160572991166886,0,0,0,0.0953258042624427,-0.0286622861396079,0,0.288510242732876,0,0,0.00805239344717245,0,0,0,0.0512825959139173,0,0,0,0,0,0,0,-0.195354275414905,0,0,0,0.314938505940925,0,0,0,0.0294038667007779,0.236243309857927,-0.182822813512631,0,0.196982541944969,0,0.132063825203109,0,0,0,0,-0.0946618964702041,0
X601939.CH.EQUITY,0.521072938405386,0,0,0,0.00555280087772479,0,0,-0.0369523959874135,0,0,0,0.130885605662319,0,0,0.109134897924801,-0.0436766183668518,0,0,0,0,0,0,0,0.0377668296853163,0,0.217157322995245,-0.127936973420829,0,0,0,0,0,0,0,0,0,0,0.101674078369477,0,0,0.305837350336567,0,0,0,1.38777878078145e-17,0,0,0,0,0,0
X601288.CH.EQUITY,0.390881587507762,0,0.145572388120378,0,0,0.367882231406943,0,0,0,0,0.0674059618699222,0,-0.0223101125490049,0,0,0.0251680753241725,0.10296068112129,-3.46944695195361e-18,0,-6.93889390390723e-18,0.0270484994462856,0.0224741463896711,0,0,0,-0.0308182197728633,0,0,0,0.0565301358639853,0,0,0,0,-0.196588318430453,-0.0194619412205797,0,0,0,0,0.217436317336352,0,0,-0.133940619895169,0,-0.0773534201737109,0,0.0601322217489855,0,0,0
X5.HK.EQUITY,0,-0.0648103104570937,0.0182729899727288,0.206089425953978,0,0.0222658673395355,0,0,0,0,0,0,0.0601447827002279,0,0,0,0,0,0,0,0,0.435319011701284,0,0,0,0,0,0,0,0,0.417427940434743,0,0,0,0,0,0,0,0,0,0.00619920036754535,0,0,0,0,0,0,0.117720817225339,-0.128700084113842,0,0.0883374649562258
X601988.CH.EQUITY,0.255415675584453,0.0835283501105166,0.089918028294946,0,0,0,0,0,0.192994523541044,0,0,0.27307022610351,0,-0.114186386484482,0,0,0,0,0,0,0,0.0118358452764383,0,0,0,0.0506484362487159,0,0,0,0,0,0,0,0.192709524997509,0,0,0,0,0,0,-0.0401291535029325,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0472868988680163,-0.0740483794233142,0,0.294366424686049,0,-0.0541482993450995,0.0374821714717116,0,0.304105516029714,0,0.203907817074374,0,0,0,0,0,0.0520878951711634,0,0,0,0,0,0,0,0,0.026279034713824,0,0.00915513596382028,0.0261818277530993,0,0.108291384340621,0,0,0.0543992004380575,0,0,0,0.0308599244926667,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0996759487834471,0,0,0,0.115777363754702,0,0,-0.106871921685588,0,0.0183019549954349,0.244239159936232,0,0,0,0,0.0392051245164073,0,0,0.0623800566643054,0.0505852747397591,0.0796542418048212,0,0,0,0,0,0.0250832062241262,0.220528553721592,0,0.0239988780830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.141974725241611,0.217213177758322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130079343718029,-0.104517703262121,0,0,0,0,0.21721199173163,0,0,0,-0.119139509541815,0,0,0,0,0,0,0,-0.00664142989766415,0,0,0,0,0,0,0,0,0.129802595809782,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.223996272010228,-0.501033219404923,0,0,0,0,-0.167820126255164,0,0,0,0,0,0.685276336861464,0,0,0,0.154415960166497,0,0,0,0,0.0779962107166337,0,0,0,0,0,0,0,-0.663864796191462,0.061780257479243,0,0,0,0,0.603676428388023,0,-0.237331449210114,0,0,0
