,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.359260188625479,0,0.30815430283678,0,0,0,0,0,0.0475283826564837,0,0,0,0,0.0512288544647652,0,0,0,0,0,-0.044475906249523,0,0,0,0,0,0,0.0432729353106132,0,0,0,0,0,0,0,0,0,0,0,0,0.0897191350434842,0,0,0,0,0,0.0585098703100481,0,0,0,0
X601318.CH.EQUITY,0.0723367111371601,0,0,0,0,0,0,0,0.190474843654281,0,0,0,0,0,0,0,0.233486696314175,0,0,0,0,0,0,-6.93889390390723e-18,0.0451062640580856,0,0,0,0,0,-0.0890160903829122,0.101481721493112,0,0.0485068336070931,0.143629465623684,-8.67361737988404e-19,0.16470580514539,0,0,0,0.0526541469165431,0,0,0,0,0,0,0,0.096910896141109,0,0
X601939.CH.EQUITY,0,0,0,0.332391354517364,0,0.07072553427665,0,0,0,0,0,0,0.43837084918457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0569181631795771,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.353913594003595,0,0.00622252875256836,0,0,0.497563923028675,0.00350825696255174,0,0,0,0,0.0104992556234558,0,0,0.0407780294309191,0,0,0,0,0,0,-0.0321704490373156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165087979965746,0,0,0,0,0.0955185891774148,0,0,0.00716127479872877,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464082879028918,0,0,0,0,0,0,0,0,0,0.0778405580353912,0.0450725066851598,0,0,0.697999590765985,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.41102706589237,0,0.0593755189330721,0,0,0,0,0,0.0419312150816451,0,0,0.00822141840524696,0,0,0,0,0,0.0820408377889687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16267063705092,0,0,0,0.0267247986301245,0,0,0,0,0,0,0,0,0,0,0.207319296180307,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.335508984579164,-0.0199011755303489,0,0,0,0,3.46944695195361e-18,0,0,0.469884946178928,0,0,0,0,0,0,0,0,0,0,0.0528182395275155,0,0,0,0.0767187599824066,0,0,0,0,0,0.0186617300800965,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707270907783382,0,0,0.407919505478009,0,0,0.150854240188557,-2.77555756156289e-17,0,0.0781065254525036,0,0,0,0,0,0,-0.0287512822278923,0.399833870691998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.114739837644364,0,0,0,0,0.122776544691661,0,0,0,0,0,0.148874488142254,-1.38777878078145e-17,0,0,0,0,-0.0360869839642014,0,0,0.0723479257273634,0,0,0,0,0,0,0,0.220479041039242,0,0,0,0,0,0,0,0.00717668206935358,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.161626828302509,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0216502909484165,0,0,0,-0.523531407808192,0.227143656025117,0,0.185883436744483,-0.273461787849676,0,0,0,0,0,0,0,0,1.05643116371028,0,0,0,0,0,0,0.189481273743163,0,0,0,-0.118146775275831,0,0.0394535857069237,0,0,0,-1.14410489953857,0.0181282561423651,0,0,0.915499924530835,0,-0.207658652653621,0,0,-0.00301333730481571,0
