,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.265755050858707,0.056107276366503,0.00215676647613417,-0.0128199956157653,0,0.460860740969474,0,0,0,0.0545939618383066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903463852157782,0.0329614519010546,0,0,0,0,0,0,0,0,0,0,0.0856148122207896,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.241622645473853,0,0,0,0,0,0.103160240243487,0,0,0,0.0601606661768911,0,0.0310566055519409,0,0,0,0,0,0.177517350997351,0,0,0,0,0,0,0,0,0,0,0,0.0437338364387705,0,0,0,0,0.109902305199333,0,0,0,0,0,0,0.0269656957506168,0,0,0,0,0,0.102049892460009
X601939.CH.EQUITY,0.365689511840612,0.203243121570977,0,0,0,0.0259767104323202,0,0.26620803933811,0,0,0,0,0,0,0,0,0.082203585805213,0,0,0,0,-0.204047405830024,0,0,0,0,0,0,0.0193958596376261,0,0,0,0.197804189540535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172768798870128,0.0690799643600693
X600036.CH.EQUITY,0,0,0,0,0,0.02868523130859,0.163119167891484,0.0520411889354827,0,0,0,-0.148846176464052,0.168949058735211,0,0,0.0659766309574271,0,0,0,0.149421633564092,0,0,0,0,0,0.0691173160340327,0.251594540719822,0,0.0195392128990406,0.0398450200083614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406934576729953,0.0347521558231557
X601288.CH.EQUITY,0,0,0.0210736457583205,0,0,0.0857670044879976,0,0.471340973599044,0,0,-0.0902789017984271,0.145081470479648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376088293884353,0,0,0,0.0329748031912586,0,0,0,0,0,0,0,0,0,0,0,0.0731834620971179,0,0,0,0.0520820597669824,0,-0.023313531191802
X601628.CH.EQUITY,0.0941462259982048,0,0,0,0,0,0,0,0,0,0,0.0797086321318809,-0.0707873500582997,0,0,-0.249268782254353,0,0,0,0,0,0,0,0,0,0,-0.0280198998374102,0,0,0,0,0,0,0.0794605393669562,0.636856356570688,0,0,0,0,0.00456539321349132,0,0,0,0,0,0,-0.00650523675466605,0,0.0432857915376913,0,0.189110287170619
X1299.HK.EQUITY,0,0,-0.207150662242381,0,0,0,0,0,0,0,0.106524311588138,0,0,0,0,0,0,0,0,0.0197789190742897,0,0,0.112592289574743,0,0,0,0,0,0,0,0,0,0.17160119449197,0,1.73472347597681e-18,0,0,0,0.0932177530601547,0.15745153901383,0.0651952798048629,0,0.296063740009655,0,0,0,0,0.298617217680733,0,0,0
X601988.CH.EQUITY,0.0404738136508283,0,0.090321630663034,0,0.358132616007445,0,0,0,0,0,0,0,0.209616391951248,0,0,0,0.150755989364626,0,0.0179217585375943,0,0,0,0.00950557330866764,0,0,0.0265827289431286,0,0,0,0,0.12544831739615,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.106377053188104,0,0,0,0,0,0,0,0,0,0,0,-0.120766719449109,0,0,0,0,0,0,0.22903189165699,0,0.179607576237104,0.130613707159423,0,0,0,0,0,0,-0.0101707435905647,0,0.0782513453707015,0,0,0,0,0,0.217166393792244,0.0670882063588602,0,-0.0391523845667913,0.247162997950606,0,0.00728670957772048,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.057093247957865,-0.0105964715385,0,0,0,0,0.0785742430812175,0.111083256326188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186769446039778,0.0800100960914405,0.414125485892761,0,0,0,0,0,0.010522466418462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0824909083310035
