,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.364351857060152,0,0,0,0,0,0,0.125942146780589,0,0.209568503725404,0,1.73472347597681e-18,0,0,0.156210306270832,0,-0.00984153878552991,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.325547449702497,0,0,0,0,0,-0.0614268664409346,0,0,0,-0.0418441310065155
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0367071643457138,0,0,0,0,0,0,0,-4.33680868994202e-19,0.286584049134316,0.0845120430954815,0,0,0,0.0375442069209191,0,0,0.101240219203878,0,-2.71050543121376e-20,0,0,-0.0100423442731091,0,0,0,0,0.225943523268132,0,0,0,0.222694832621831,0,0.0281661996385317,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.495792785105383,0,0,0,0,0,0,0,0,0.0105773148438006,0,0,0,0,0,-0.0326204872857681,0,-0.145753349423925,0,0,0.158312915649295,0,0.124178841115156,0,0,0,-0.292996248053864,0,0,0,0,0,0,0,-0.105418199955035,0,0,0,0,0.0801538678938035,0.512925653037548,0,-0.0370405828223855,0,0,0,0,0,0,-0.101963372735385
X601288.CH.EQUITY,0,0,0,0,-0.0899562505233606,0,-0.0814127397786442,0,0.135802259236124,0.00787677063141019,0.575427498431531,0,0,0,0,-0.0179306924095158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879558719987374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0984138114434029
X5.HK.EQUITY,0,0.0584969227580201,0,0,0,0.173571780302692,0.367837820579198,0,0,0,0,0,0,0,0,0.0168280624476136,0,0,0,0,0,0,0,0,0,0.00166003391835491,0,-0.207365403956141,0,0,0,0,0,0,0,0,0.120146265008471,0,0,0.296178236484351,0,0,0,0,0,0,-0.0882788159906911,0,0.0485474249281702,0
X601988.CH.EQUITY,0,0,0,0,0.334086888353452,0,0,0,1.38777878078145e-17,0,0.180661842234899,0,0,0,0.190438055044062,0,0,0,0,-0.109176140035697,-0.0854331538945259,0,0,0,0.218936985626256,0,0,0,0,0,-0.23805502778459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00300311002024367,0
X1299.HK.EQUITY,0,0,0,0,0.136461288436716,0,0,0,0,0,0,0,0,0,0,0.0894935815350302,0.0911818894119816,0,0,0,0,0,0,0,0,0.158742086576534,0,0.0609536440121463,0,0.0534768076037135,0.00318346690715572,0,0.105640720203245,0,0,0,0.259338081160381,0,0,0,0,0,0,0,0,0,0,0,0,0.129343623993426
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.610872359383453,0,0.0989862118247543,0.0270628690176908,0,0,0.000196510720198183,0,0.154094506643757,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0190813417685433,0.00634566133783508,0,0,0,0,0,0,0,0,0,0,0.104901060854147,-0.202136425733336,0,0.266962708874855,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.185224438161131,0,0.0783067809411786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135262453828091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183909999440006,0.132211207590389,0,0,0,0,0,0.150687543728021,0.0997170912031399,0.139612160925335,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0408775078107905,1.0842021724855e-19,0,0,0,0.739996178917292,0,0,0,0,0,0,0,0,0,0,-0.149151376391997,0.118297950822127,0,0,0,0.00796285665848888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464701653867323,0,0,-0.173217479949873,0,0,-0.00204281532920071
X601166.CH.EQUITY,0.14455469773934,0,0,0.228523078606129,0,0,0,0.0834631844844084,0.0400131031125766,0,0,0,0,0.266464646084003,3.80560685498589e-05,0,0,0,0.0285232069268833,0,0,0,0,0,0.0148301331156571,0,0,-0.0152586602150081,0,0,0,0,0,0.174197066721986,0,0,0,0,-0.157239485919285,0,0,0,0,0,0,0,-0.00951085943074761,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0144261408657286,0,0,0,0,0,0,0,0.0733817068517642,-0.159676824279745,0,0,0,0,0,0,0,-0.0516102777546252,0,0,0,0,0,0,0,0,0.227986019993635,0,0,0,0,0,0,0,0,0.535907249732776,0,0,0,-0.0210449716775127,-0.0836807785784227
X16.HK.EQUITY,0,0,-0.163545188394822,0,0,0,0,0,0,0.0697921595791227,0,6.93889390390723e-18,0,0,0,0.220167211282245,0,-0.297254839906989,0,0,0.0249012217927024,0,0,0,0,0,0.126153615439885,0,0,0.210021261716222,0.0767383306697633,0,-0.19967394970949,0.272531842558083,0,0,0.600441582015027,0,0,-0.00102747233433495,0,0,0,0,0,0.0934325291315646,0,-0.00245317082364852,0,0
X600000.CH.EQUITY,0,0,0,0,0.0251764789153538,0,0,-6.93889390390723e-18,0,0.180830145933119,0.510009737981104,0,0,0,0,0,0,0.121111343565328,0,0,0.121842756748643,0,0,0,0,0,0.246738638529652,0,0,0,0,0,-0.0620545972345833,0,0,0,0,-0.274915999140828,0,0,0,0,-0.0173143544844466,0,-1.38777878078145e-17,0,-0.0749534924905453,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,-8.67361737988404e-19,0,0.173861033836254,0.0975543878672148,0,0,0,0,0,0,-0.00241799118423168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158988295391949,0.478779447953946,0,0,0,0.0107314143852602,0,-0.0695740788720884,0.127638375878107,0,0.0759594868137696,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0691706392940291,0.130892139758488,0,0,0,0,0,0,0,0,0,0,0,0,0.351650747792058,0,0,0,0,0,0,0,0,0,0,0,0.565824079255642,0,0,0,0,0,0,0,-0.188290569259529,0.0946152132012131,0.0247737493463166,0,0,0,0.341900475855507,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0612524665276314,0,0,0,0,0,0,0.184928773320838,0,0,0.589353150190405,0,0,0,0,0,0,0,0,0.0577466061427767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.107812169286398,0,0,0,0,0,0.0679142413141884,0.236860947180551,0,0,0,0,0.0830289144466517,0,0,0,0,0.0111407738194058,-0.028243142853199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315313791422724,0,0,0,0,0,0,0,0.0204354344686395,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.611503510194005,0,0,0.328517783227863,-0.414195053518701,0,0,0,0,0,-0.141364919400286,0,0,0,0,0.583654506715989,0,0,0,0.252425476885381,0,0,0,0,0.0710710493268693,0,-0.0978569293623802,0,0,-0.245114862086299,0,-0.306432877350207,0,0,0,-0.164156888284957,0,0,0,0,0,0,0,0,0,0,0,-0.13466770307453,0
