,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.266301041140473,0,0.338938375678573,0,0,0.0751797092807859,0,0.146479607780611,0,0,8.67361737988404e-19,2.77555756156289e-17,0,0,0,0,0.0272977179452538,0,0,0,-0.0835801058846181,0,0,0,0,0.0331012501506155,0,0,0,0,0,0,0,0,0,0.111399857887239,0,0,0,0,0,0,0,0,0,0,0,0.0606698489447551,0,0,0
X601939.CH.EQUITY,0.383080767873788,0,0,0,0,0,0,0,0,0,0,0.0212831603386096,0.503459530817728,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504189280120282,0,0,0,0,0,0,0,0,0.0523627336452108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0220890394294496,0,0,0,0,0.334656368937522,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0896277667418718,0,0.0233699629246877,0,0,0,0,0.391642922354514,0,0,0,0,0.0185710056880348,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.385872458570323,0.0305632907059413,0,0,0.358037723709249,0,0,0,0,0,0.0987874065260988,0,0,0,0,0,0.0533937115320917,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0193787225980889,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0345098509861681,0,0
X601988.CH.EQUITY,0,0,0,0.281374344525305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139207488313542,0,0.184144423126162,0,0,0,0,0,0,0,0,0,0.0261095374792672,0,0,0.0632989324494968,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0.124704326358578,0,0.157198718087531,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148524911754808,0,0,0,0,0,0,0,0.069287636265495,0,0,0.598589532372883,0,0.167006157483901,-0.20070183012396,0,0,0,0.0161513438461419,0,0,0,0,0,0,0,0,0,0.569028595485955,0,0,0,0,0,0,0,-0.274968423617718,0,-0.180257785688521
X600036.CH.EQUITY,0,0,0.0260764179684735,0,0,0.0511871377433464,0,0,0,0,0,0.368481268175082,0,0,0,0,0,0,0,0,0.0254399131639075,0,0,0,0,0,0.107222767392713,0,0,0,-1.73472347597681e-18,0,0,0,5.42101086242752e-20,0.147711739142606,0,0,0,0,0.0742016667835455,0,0,0,0,0,0,0,0,0.230631682375575,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.177292608854839,0.157903146438525,0,0,0,0,0,0,0,0,0.0307475938686787,0.147953496036784,0,0,0,0.173050839520834,0.252670204451737,0,0,0,0.114211457654822,0,-1.0842021724855e-19,0,0,0.0116561108807835,0,0,0,0,0,0,0,0.110171179762247,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.154691111338705,0.0386894298864199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655281641886859,0,0,0,0,0.382728967509811,0.0172604536034851,0,0,0,0,0,0,0.149065115790887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205127062931298,0
X601658.CH.Equity,0,0,0,-0.0388015680301467,0,0,0,0,0,0,0,0,0,0,0,-0.0248835271362857,-0.0169197010467901,0,0,0,0,0,0,0,0,0,0,0,0,0.156402277496824,0,0,0,0,0,0,0,0,-0.556039032020339,0.441495091521867,0,-0.0154101495173691,-0.17454377420342,0,1.10685221276936,0,0,0,0,0,-0.0189339572014078,0
X601328.CH.EQUITY,0,0,0,0.349252876944353,0,0,0,0,0,0,0,0,0.302421985551701,0,0,0.0255901530005737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941421606711458,0,0,0.0958276028755722,0,0,0,0,0.0619238166578494,0,0.124220555796218,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0797558323909952,0,0,0.129809575107507,0,0,0,0,0,0,0,0,0,0,0.132721715745176,0,-1.38777878078145e-17,0.0031799921890559,0,0,0,0,0,0,0,0.322716095767886,0,0,0,0,0,0.0421611211168434,0,0,0,0,0,0,0,0,0.264312731221751,0,0,0,0,0,0.0210818854373969,0,0
X600000.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0497716122022401,0,0,0,0,0,0,0,0,0,0,0.483674572265326,0,0,0,0,0.0387550234548746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280196200186312,0.244428054358312,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.118311306026951,0,0,0,-0.00966922005445603,0.0154528694981497,0,0,0,0,0,0,0,0,0,0,-0.152350895128211,0.00278579238569911,0,0,0,0,0.00283590708507024,0.053273146898598,0,0.496637505636381,0,0,0,0,0,0,0.117024528968502,0,0.291681782804022,0,0,0,0,0,0,0,-0.114173843893341,0,0,0,0,0
X600030.CH.EQUITY,0,0,0.0321080363007525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102878036493915,0,0.238937851034277,0,0,0,0,0,0.0155336607904934,0.017799115042904,0,0.0669307573795789,0,0,0.246621813153348,0,0.122180101425331,0.0640349626253929,0,0,0
X16.HK.EQUITY,0,0.0540151640468304,0,0,0.118544084809558,0,0,0,0.0441656085407285,-0.062269949312305,0,0,0,0,0,0,0.0611016599958454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245949293900959,-0.0122241147265732,0,0,0.544848692453087,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189325167905044
X388.HK.EQUITY,0,0,0.135908016051458,0,0,0,0,0.258443668577381,0,0,0,0,0,0.0376622769719197,0,0,0,0.0778556325794296,0,0,0,0,0,0,0,0,0.0578435800568455,0,0,0,0,0,0,0,0,0.00671065272713205,0,0,0.154336799233285,0,0,0,0,0,0,0,0,0,0,0.14176302698599,0,0
X000001.CH.EQUITY,0,0,0.0762893729538074,0,0.012722519500237,0,0,0,0.0509449667924072,0,0,0.231055394268322,0,0,0,0,0,0,0.0663176346800939,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0.0309782723765705,0,0,0,0,0.137615184142588,0,0,0.158827716504119,0.0863351489079316,0,0.112865020927168,0,0,0,0,0.0192249308611907,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.117731574119609,0,0,0,0,0,0,0.126244546654479,0,0,0,0,0,0,0,0,0.114316303870673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49090576556404,0.0145682666750843,0,0.0686612708069241,0,0.0532947307664441,0,0,0,0
X600016.CH.EQUITY,0,0.15154274314196,0,0,0.285263047515444,0,0,0,0,0,0.270881543338503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024266497456429,0,0,0,0,8.67361737988404e-19,0,0,0,3.46944695195361e-18,0.278504500058137,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,-0.0696156960066369,0.109426188689626,0,0.113517100057521,0,0.171983580389115,0,0,0,0,0,0,0,0.0682528925947405,0,0,0,0,0,0,0.91898956201882,0,0,0,0,0.091687235918316,0,0,0,0,0,0,-0.236083532098681,0,0,0,0,-0.223825151936917,0.198631048615488,0,-0.125151853458766,0,0,0,0,0,0,0.152683063298014
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0.0764649577617795,0,0,0,0,0.096683687280153,0,0,0,0,0,0,0,0,0,0,0,0.0945370529892157,0,0.20075910278499,0,0,0.423550468739743,0,0,0,0,0,0,0,0,0.0174931299164084,0,0,0,0,0,0,0,0,0,0,0,0
