,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0556697188545404,0,0.594883436343253,0,0.109892404550635,0,0,-0.0707294216398655,0,0,0,0,0,0,0,0,0.0984025429252112,0,0,0,0,0,0,0,0,0,0,0,-0.00108964216442802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323096629536952,0,0,0,0.0790055669450837,0,0,0.0463683872099416
X601318.CH.EQUITY,0,0,0,0,0,0.0818036024577186,0,0,0.0398482908718385,-0.0325135779506771,0,0,0,0.17637370415802,0,0,0,0,0,0.468977937977031,0,0,0,0,0,-0.0870839121912531,0,0,0,0.0805038007315377,0,0.125882395565429,0,0,0.107245733518262,0,0,0.0718977565269754,0,0,0,0.00691434026441808,0,0,0,0,0,0,-1.38777878078145e-17,0.0574527275777424,0,0
X601939.CH.EQUITY,0,0,0,0,0.364657108521931,0,0.156851857215256,0,0,0.0976450363156268,0.0465476719549492,0,-0.15406544200919,0,0,0,0,0,0,0,0.0472133936010992,0,0,0.538887709224855,0,0,0,0,0,-0.0537534362445255,0,0,0,0,0,0,0,0,0,-0.0401324741150663,0,0,0,0,0,0,0,0,0,0,0,-0.0794787486447806
X601628.CH.EQUITY,0,0,0.0686474011448099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380182450232672,0,0,0,0.0221977543546876,0.0977622323385383,0,0,0,0,-0.033899015746003,0,0,0,0.0428939235447939,0.312676943014371,0,0.199470604892821,0,0,0,-0.0266687150900272,0,0,0,0,0,0,0,0.0633467789931059,0,0,0,0,0
X601288.CH.EQUITY,0.0483414496681168,0.0458609187351563,0.0806956023345028,0,0,0,0.206017753206132,0,0,0.0578772964921501,0,0,0,0.0699941463279176,0,0,0.10001697114927,0,0,0,0,0,0,0.221162007713052,0,0,0,0,0,0,0,0,0,0,0,0,0.195854404651488,-0.0008458228326897,0,0,0,0,0,-0.0639722610756309,0,0,0,0,0,-0.0454018361691532,0,0
X600036.CH.EQUITY,0.0139034434168043,0.236047873412909,0,0,0.0795246050303424,0,0,0.128524910604925,0,0,0,0,0,0.278377863960825,0,0,0,0,0.117732119635431,0,0,0,0,0,0.257426481545128,0,0,0,0.0638743420508295,0.0174170619872508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237661847248389,0,0,-0.0237270058381445,0,-0.00174365891302744
X601988.CH.EQUITY,0.204614829757171,0,0,0,0.188125902245182,0.284929613627088,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0.0994760051551334,0,0,0,0.0315194369408264,-0.0154635303461054,0,0,0,0,0.0186569175794969,0.240308681019687,0,0,0,0,0.0208064331378144,0,0,0,0,0.09876985299897,0,-0.135906482508521,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.127163253340616,0,-0.0848604542889973,0,0,0,-0.0154898996466512,0.333051449619741,0,0,0,0,0.113427584475038,0,0,0,0,0,0,0,0,0,0,0.137169065258874,0,0.352850060501936,0.11495477720531,0,0,0,0,0,0,0,3.46944695195361e-18,0.0682232634371962,0,0,0,0,0,0,0.087787132614304,0,0,0.108738894178622,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.177951454830542,0,0,0,0,0,-0.0787541642929732,0,0,0,0,0.0978074999671627,0,0,0,0,0.0810978861482911,0,0.400857727461134,0.102464679806839,0,0,0,0,-0.0373791338564006,0,0,0,0,0,0,0,0.165668919707639,0.267531449368084,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.0557443280200015,0,0,0,0,0,0,0,0,0,0,0,0.0785732074300645,0,0,0,0,0,0,0,0.0181575956290152,0,0,0,0.26338284403462,0,0,0,0,0.233273137544501,0,0,0,0,0,0,0.0555151452852978,0.103243892792307,0,-0.216109066206845,0,0,0,0.0639976533620211,0,0.132039298771716,0,0,0,0,-0.0184183181602095
X601658.CH.Equity,0.00496860656886967,0.00742046388413893,0,0.0677212541303115,0,0,0,0.0588817044201947,0,-0.0218900649687714,0,0,0,0.193658801556603,0,0,0.418810344752185,0,0.0178955659765117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838942387763708,0,0,0,-0.0783557361295785,0,0.00912663368181599,0,0,0.165873337770551,0.00372402585339833,0,0
X601166.CH.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0836085188650981,0,0,0,0,0,0,0.140624021802592,0,0.0597565153385221,0,0,0,0,0,0.0353109935434207,0.268842711425696,0,0.047072031114378,0,0,0,0,0,0,0,0.0683372159943623,0,0,0,0.0599063179042504,0.0267456962765044,0,0,0.0129162474235276,0.0912351523612093,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420618007892484,0,0.137470927883863,0,0,0.097211886947404,0,0.142574734470935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155499511403589,0.0531429576128252,0,0,-0.0698034617186334,0,0.0918789318722851,0,-0.0469762361031982,0.140690572512389,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0.195108740951759,0.555643482367496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222933458824059,0,0.120052046140343,0,0,0.111685188014397,0,-0.0372402603393388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.247732019219572
X601066.CH.EQUITY,0,0,0.0268369886796553,0,0,0,0,0,-0.0268222242932043,-0.0237032636323628,0,0,0.759142136114307,0,0,0.108479208387915,0,0,0,-0.214873783998481,0,0,0,0,0,0.105572299570136,0,0,0,0,0,0,0.0366677456279723,0,0,0,0,0,0.137680573607988,0,0,0,0,0,0,0,0.00465528416746713,0,0,0,-0.126186646035555,0
X000002.CH.EQUITY,0,0,0,-0.308081246965981,0.00768175420754119,0,0,0,0.479004714803007,0,0,0.170087614313611,0,0,0,0,0,0,0,0,0,0,0.0456188691867648,0,0,0,0,0,0,0,-0.155577829758503,0.0594010577715349,0,0,0,0,0,0.116801424998243,0,0,0,0.0443989332102195,0,-0.117050373897506,0.159993237306585,0,0.00625800649900311,0,0,0,0,0
X601328.CH.EQUITY,0,0.0106513687175637,0,0,0,0,0.14950555515204,0,0,0.0555198549750839,0.13981058793008,0,0,0.0150550284242173,0,0,0,0.161549888457302,0.116485641828835,0,0,0,0.0991948389291096,0,0,0,0,0,0,0,0,0,0,0.168828626677151,0,0,0,0.0551988600492398,0.023720032936653,0.0339441602410846,0,0,0,0,0,0,0,0.00107885075953506,0.0819791944162722,0,0,0
X601601.CH.EQUITY,0.0549608177358937,0.386120070822381,0,0.216968996441801,0.0315391818035461,0,0,-0.0543015171305095,0,0,0,0.18422639663176,0,0,0,0,0,0,0,0.0519258541250661,0,0,0,0,0,0,0,0,0,0,0,-0.00808906817678303,0,0,0.18926067506299,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0678946154167438,0,0,0,0,0,0,0,-0.00165378562081663
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.476163457163255,0,0,0,0,0,0.208991824283891,0,0,0,0,0,0,0,-0.108322537242728,-0.0803689972350453,0,0,0,0.0523866305154439,0.0283962865444138,0,0,0,-0.0773880866220972,0,0,0,0,0,0.62669130455196,0,0,0,0,0,0,0,0,0.238262891821636,0,0.0108149139925197
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.00337335234276832,0,0,0,0,0.0894831531773262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129145397090203,0,0,0,0,0,0.165874334016531,0,0,0,0,0,0,0.224731763501075,-0.0488000736734242,0,0,0,0,0.100447341637502,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0140114701329254,0,0,-0.0648672846389643,0,0,0,0,0,0,-0.0492418328745887,0,0,0,0,0,0,0,0,-0.191472418698232,0,0.310085228389825,-0.0873118566088961,0,0,0,0,0,0.0117227851290335,0,0,0.108410094303456,0,0,0.183762641112635,0,-1.73472347597681e-18,0.175858511735633,0,0,0,0.154287870390984,0
X300059.CH.EQUITY,0,0.0346449133602588,0,0.0150985753386168,0,0,0,0,0,0,-0.0334914838489396,0,0,0,0,-0.0971587954785544,0,0,0,0,-0.0530665843142789,0,0,0,0,0,0,0,0,0,0,0.0115787479523308,0,0.450825489146936,0,0.0188371812189923,0,0,-0.0231196223667973,0,0,0,0,0.0158110060002007,0,0,0,0.463400092928529,0,0,0,0
X600016.CH.EQUITY,0,0,-3.46944695195361e-18,0.10176469617539,0,0,0.0303695577222792,-0.0337647229763784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225295053501211,0.0731894092209984,0,0,0,0.319332463593381,0,0.12259686522452,0.00907774999794601,0,0,0.0385801217704076,0,0,0.0413294662289409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.296797779687985,0,0,0,0,-0.0236854508131847,-0.0643432573575135,-0.0414606453012559,0.0298444236568239,0,0,0,0,0,0.101229794044972,0,0,0,0,0,0,0,0,0,0.205542166326114,0,0,0,0,0,0,0,0.0206223987306973,0,0,0,0,0,0,0.437044025226806,0,0,0,0,-0.0335337770155957,0.0254359101406751,0,0,0,-0.0365669407900934
X002142.CH.EQUITY,0,0,0,0,0,0.828394288376871,0.0797785467659867,-0.196266767642557,0,0,0,0,0,0,0,0.0666288509483298,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.165253371755469,0.20127086252794,-0.117414386935951,0,0,0,0,0,0,0,0,0,0.011503662115796,0,0
