,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.373487898692817,0.0234339336376194,0.0996355417048292,0,0,0,0,0,0,0.201949093775814,0,0,0,0,0,0,0,0,0,0,0.0986370605358415,0.0557269711575545,-0.0274528975140056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245947501840668,0,0,0,0,0,0,0,0.0369984451734951,0,0.0267042465226322,-0.165870068068109,0
X601939.CH.EQUITY,0.398313538611862,0,0,0.186161070914365,0,0,0,0,-0.0371831267007626,0,0.142831556029201,0,0,0,-0.081246844035275,0,0,0,0,0,0,0,0.175477997877618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00571369108135442,0,0,0,0.0964744810599142,0,8.67361737988404e-19,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.360857587672651,0,0,0,0.332890631909884,0,0,0,0,0,0.0231494030948781,0,0,0,0,0,0,0,0,0.0744590184400122,0.0308060907731904,0,0,0,0,0,0,0,0,0,0,0,0.0439586562555073,0,0.0879633468997183,0,0,0,0,0.0418621403061702,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.510640775107385,0,0,0,0,0,0.199608210707101,0,0,0,0,-3.46944695195361e-18,0.0950563173293395,0.126590749126241,0,0,0,0,0,0,0,0,0,0.0446951521134376,0,0,0,0,0,0,0,0,-0.510351204046014,0,0,0,0,0,0,0,0,0,0,0.146853980456068,0,0,0,0,0.270154030279852
X600036.CH.EQUITY,0,0,0,0,-0.00153668011850884,0,0,0,0,0,0,0.270719686060372,-0.0457340469462079,0,0,0,0.129580951006131,0,0,0,0,0.114303079160765,0,0.00753669417865602,0,0,0,0,0,0,0,0.231737018307492,0,0,0,0,0,0,0,0,0.124009502417959,0,0.122279200237562,0.108214996731627,0,0,0,0,0,0,0.0229139311036938,0
X1299.HK.EQUITY,0,0,0,0,0.0349794717991299,0,0,0,0,0,0,0,0,0.157355289819349,0,0,0.0502695178778433,0.502672821420181,0,0,0,0,0,0.135508342029594,0,0,0,0,0,0,0.0884265023146248,-0.0257277125411233,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0777329587964045,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0319674375662908,0,0,0,0,0,0,0,0,0,-0.139855916778729,0,-0.121962217022816,0,0,0,0,0,0,0.389221804190096,-0.15274801566278,0,0,0.734656967374733,0,0,0,0,0,0,0,0,0,0.367315900152775,0,0,0,0,0,0,-0.242174954353401,0,0,-8.67361737988404e-19,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.155253018656107,0,0,0,0,0,0,0,0,0.272873306291876,0,0,0,0,0,0,0,0,0,0.0498225802180523,0,0,0,0,0,0,0,0,0.274979608341036,0.11793769131226,0,0,0,0,0,0.224531014014834,0,0,-0.076073328381562,0
X601658.CH.Equity,0,0,0,0.146164284922091,0.145246024168664,0,0,0,0,0,0,0,0,0.10944389455031,0,0,0,0,0,0,0,0,0,0,0,0,0.0632619346216123,0,0.100491763329929,0,0,0,0,0,0,0,0,0.256574857382217,0,0,0,0,0,0,0,0,0,0,0.380148210438017,0,0.0477827567820215,0
X601328.CH.EQUITY,0.0616567342318038,0,0,0.600339336704621,0,0,0,0,0,-0.0702641551373808,0,0,0.004176106401988,0,0.0581662728172393,0.0172013259403183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151605365828341,0,0,0,0,0.116017574564056,0,0,0,0,0,0,0,0,0,0,0,0,0.0226551425823151,0,0.112761664735143,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.438640420305262,0,0,0,0,0.00899856785583808,0,0,0.0292943060560347,0,0,0.0328142973269812,0,0,0,0,0,0,0,0,0,0,0,0,0.241777695517732,0.024858650178348,0,0,0,0,0,0,0,0,0.00461806160861838,0,0,0,0.0324532350141848,0,0,0,0.0516322168589417,0.108060705960262,0,0,0
X388.HK.EQUITY,0,0,0.218704687423992,0,0,0,6.93889390390723e-18,0,0,0,0,0.0482791500813541,0,0.0165395714898975,0,0,0,0.0689929329459429,0.128457856312024,0,0,0,0,0,0.00886542901452203,0,0,0,0,0,0,0,0,0.0834778816709625,0,0,0,0,0,0,0,0,0,0,0.0623691074805717,0,0,0.0213838054713137,0,0,0,-0.0982102765253884
