,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0581754134156124,0,0.499341269960716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121837504832275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197495550507849,0,0.0136896646002973,0,0,0,0,0,0.0163342093820352,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.016003859436751,0,0,0,-0.0146849596175125,0,0,0,0.186658329699704,0,0,0,0,0,0.48971767525335,0,0,0,0,0,-0.0516591830517092,0,0.118303245667513,0,0,0,0,0,0,0.0652560027356997,0,0,0.0771779999464769,0,0,0,0,0,0,0,0,0,0.010891593156494,-6.93889390390723e-18,0.000832170110100987,0,0.144175710171134
X601939.CH.EQUITY,0,0,0,0,0.135498684247761,0,0.350221298206734,0,0,0,0.00556246045653904,0,-0.149652346050816,0,0.00544138774816903,0,0,0,0,0,0.0250782108642153,0,0.52854291245442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12933949886435,0
X601628.CH.EQUITY,0,0,0,0,0,0.0408081468408032,0,0,0,0.131392040193699,0,0,0,0,0,0,0,0.256065561787104,0,0,0,0,0,0.0580581529727365,0,0,0,-0.203716173165133,0,0.00185532361613395,0.0454670671459714,0,0.396850180747558,0,0.245466594195322,0,0,0,-0.0314308325679904,0,0,0,0,0,0,0,0.11519475510797,0,0,0,0,0.0432196731348583
X601288.CH.EQUITY,0.0825579156913855,0,0,0,0,0,0,-0.0116221660105254,0,0.0133970147327885,0,0,0,0.0410324009550192,0,0.451369533777485,0,0,0,0,0,0,0.315937866225848,0,0,0,0,0,0.000654352112644286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260396537269757,0,0,-0.0155585304875073,0,-0.0605816721400978
X600036.CH.EQUITY,0.191333671382844,0.0654738513945138,0,0.0588388084926485,0,0,0,0,0,0,0,0,0,0.30306883567422,0,0,0,0,0.0256086488677537,0,0,0,0,0,0.271193243288123,0,0,0,0,0.0451063784396851,0,0,0,0,0,0,0,0,0,0,0,0.0255529953693921,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.115882029202744,0.146452210080206,0.0592592266915255,0,0.0431605098002688,0.333810364632738,0,0,0,0,0,0,0,0,0,0.217098797314239,0,0,0,0,0.170459198285396,0,0,0,0.0130334491098878,-0.0127537335197963,0,0,0,0,0.054200852067389,6.93889390390723e-18,-0.0579469764940343,0,0,0,0,0,0,0,0,0,0,-0.147261497355185,0,0,0,0,0,0,0.0831680872325834,0
X1299.HK.EQUITY,0,0,-0.157940917131423,0,-0.0643026824619038,0,0,0,0,0.249445307838961,0,0,0,0,0,0,0.026019283364866,0,0,0,-0.106648718919402,0,0,0,0.0470616778618207,0.177149264865434,0.449836036980724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429177565868302,0,-0.050078236786807,0.0285065549474373,0.127842903812623,0,0,0,0.210823172802892,0,0,-0.0448579023314665
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.000888642924380073,0,-0.186345618227227,0,0,0,0,0,-0.130482240124865,0,0,0,0.148793968991117,0,0,0,0,0.0980331458074355,0.439821144179257,0,0,0,0.0539371594475185,0,0,0,0,0,0,0,0,0,0,0.0252028637592069,0.179437080000897,0.184854456131536,0,0,0,0,0.122791288663626,0,0
X388.HK.EQUITY,0,0.148701786593347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118432889351199,0,0,0,0,0,0.23900734069364,0.175047417247737,0,0,0,0,0.116705717219907,0,0,0,-0.0867315963425256,0,0,0,0,0.208915267593455,0,6.7762635780344e-21,0,-0.0534747808990352,0
