,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0121636059757744,0,0,0.0390974192338007,0,0.295214035524937,0,0,0,0,0,0.115184602974175,0,0,0,0,0.11072217306262,0,-0.00353933493523477,0,0,0,0,0,0,0,0.0573280357786807,0.280296147796511,0,0,0,0,0,0.0523015889193735,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.018210099443153,0,0,0,0
X601939.CH.EQUITY,0.265668386171479,0,0,0,0,0,0,0,0,0,0,0,0,0.426759787434444,0,0,0,0,0,0.106806727975446,0.0559779342741696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464465190271906,0.0402862959227423,0,0,0.0213498328238132,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0
X601318.CH.EQUITY,0.2104009536713,0,0,0,0,0,0,0,0.164983176112862,0,0,0,0,0,0,0.214438728669985,0,0.117671935032838,0.0949407514849502,0,0,0,0,0,0,0,0,0,0,-0.0342032597250225,0.0815335693381312,0,0,0.0291086338910078,0,0.112666180559411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017258572723268,0,0
X601288.CH.EQUITY,0.344139012834703,0.00648564460653954,0,0,0.502306746902842,0,0,0,0,0,-1.38777878078145e-17,0.0118092211784024,0,0,0.0403784713384782,0,0,0,-0.0329635146094142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171130260782017,0,0,0,0,0,0,0,0,0.0949631650609505,0.00787551487684375,0,0
X601988.CH.EQUITY,0,0,0.123460386131285,0,0,0,0,0,0,0,0.109745723896047,0,0,6.93889390390723e-18,0,0.107526234402947,0,0.0647821336656205,0,0,0,0,0,0.0463199230055567,0,0,0,0,0,0,0,0.124590066971649,0,0,0.105931982946274,0,0,0,0,0,0,0,0,0,0,0.243486664778249,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0428765386877339,0,0.0140241069797906,0,0,0,0,0,0,0,0,0,0,0,-0.328317108377095,0.212720259138671,0,0,0,0,0.0646626488847037,0,0,0,0,0,0.364362708211922,0,0,0,0.479934569186474,0,0,0,0,0,0,-0.398922883278515,-0.345333590255614,-0.108401077029394
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0443594349670828,0,0,0,0.281292690672175,0,0,0,0.183777517210199,0,0,0,0,0,0,0,0,0,0,0,0.0616106307156836,6.93889390390723e-18,0,0.194466153867717,0,0.122452689293207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786032713719463,0,0.0126403927964639
X1299.HK.EQUITY,0,0.0667440395656293,0,0,0,0,0,0,0,0,0,0.0925317717360752,0,0,0.0583835891136515,0,0,0.288193358613251,0,0,0,0.0399825595053935,0,0,0,0.0606790493718775,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.387222667258574,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206213950261714,0,0,0,0,0.00855611807630276,0,0,0,0.0910681140102438,0,-0.020199422186535,0,0,0,0.248974908796174,0,0,0,0.104362100523984,0,0,0,0,0,0,0,0,0.0326833729984244,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188114419720998,0,0,-0.0886332919333121,0,0.156511772770351,0,0,0,0,0.660253189435749,-0.63728174612395,0.124208773610087,0,0,0.0423629959600674,0,0.531316464570779,0,-0.399835602134145,0,0,-0.35292954497375
X601328.CH.EQUITY,0,0.0682198805836857,1.0842021724855e-19,0.00255155114551663,0.0769515017225187,0,0,0,0,0,0,0,0,0.308762355995952,0.0434450317507141,0,0,0,0,-1.38777878078145e-17,0,0,0.0370707559070869,0.241043309095886,0.0558547937599053,0.0280330291995591,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148494216743008,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.129762034914423,0,0,0,0,0.268177074756177,0,0,-0.0285863331110481,0,0,0,0,0,0,0,0,-0.0621199664976882,0.100301775270961,0,0,0,0,0,0,-0.0286520468949092,0,0,0,0.480167934114425,0,0,0,0,0,0,0,0,0,0,0.0477094556093176,1.73472347597681e-18,0,0,0.234966261507613,0,0,-0.187457925123257,0.0103695433814981,0,0.071639795306644
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0481961275609876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140440023054157,0.560581457519104,0,0,0,0,0,0,0.0153324457424787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.322708069648519,0.14047958154558,0,0,0,0.00559969259565537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.197923205203584,0,0,0.0243505364146399,0.101926558162854,0,0,0.230116610618138,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.0224726729946871,0.0550779814808381,0,0,0,0,0,0,0,0.0653951574580851,0.098463223309591,0,0,0,8.67361737988404e-19,0,0.283798181064797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13390511672343,0.111570234484539,0,0.0425000483781079
X000001.CH.EQUITY,0,0,0,0,0.142629202309452,0,0.151985309312712,0,0.00643681703642155,0,0,0.072672542839368,0,0,0.0375092674660549,0,0,0,0,0,0,0,0,0,0.0540785180116927,0,0,0,0,0,0.309648779434814,0,0,0,0,0.0669354447191754,0,0,0,0,0,0.150082913198313,0,0,0.0452107443250968,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0.0352354565508984,-0.0654152984452345,0,0,0,0,0,0,0,0,0,0,0.0810543946602443,0,0.0876360207062251,6.93889390390723e-18,0,0,-0.0529506165051642,0,0,0,-0.0340880104544114,0,0.55113659501325,0.106926053162519,0,-0.0714833599056236,0,0,0.107575506321401,0,0.11635158798787,0.0204724966182232,0,0,0,0,0,0,0.0229158611628676,0,0,0.0647422090044214
X11.HK.EQUITY,0,0,0,0,0,0,0,0.177855581511046,0,0,0,0,0,0,0,0,0.0366193995507206,0,0,0,0,0,0.474248496356185,0,0,0,0,0,0,0,0,0,0,0.307111628434539,0,-0.112110292217031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697314464405255
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451463690001351,0,0,0,0,0,0,0,0,0.0740592135331861,0,0.494962868008128,0,0,0,0,0,0.0436846388755042,0,0,0.248227107578664,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.231237286934211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144210799401601,0,0.051837017014072,0,0,0,0,0,0.0395823021119138,0,0,0,-3.46944695195361e-18,0.457651270662737,0,0,0.119124906833806,0.0476193526660576,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.0993954783370171,0,0.353848252917306,0,0.0355465643318498,0,0,0,0,0,0,0,0,0,0,0.0541880535849099,0,0,0,0,0,0,0,0,0,0,0.0540487124046866,0,0,0.270380864102647,0,0,0,0,0,0,0,0,0,0,0,0.0963883952726781,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0101274033282782,0,0.0513374253069162,0.151987672885157,0,0,0,0.048745398988712,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0501307546639873,0,0,0,0.566184783907491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016378900565237,0.231782715599947,0,0,0,0,0,0,0,0,0
