,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0138945832594309,0.0837103807503839,0,0,0,0,0,0,0.277096225770754,0.123279900747515,0,0,0,-0.167397224712716,0,0,0,0.084358046574343,0,0,0,0,0,0,0,0.0487147219688148,0,0,0,0.0367318402420914,0,0.054539259212839,0,0,0,0,0,0,0,0.257392611928409,0,0,0,0.0425687995628841,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0279237301526408,-1.38777878078145e-17,0,0.244946144401253,0,0,0.275509583066559,0,0,0,0.0752866637784762,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.115238812290099,0,0,0,0,-0.251835466882998,0.107855040900875,0,0,0.179111431259873,0,0,0,0,0,0.088974736885086,0,0
X601939.CH.EQUITY,0.468771699046679,0,0,0,0,0.189655740537001,0,0,0,0,0,0,0,0.0493373759342021,0,0,0,0,0.00907580476169929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372478843004623,0,-0.125522965454281,0,0.0512380957322689,0,0,-0.0393954389788748,0,0,0,0,0
X601288.CH.EQUITY,0.558520607776808,0.0315042557631444,0.106398611159962,0,0.0657276228900512,0.0110258248950371,0,0,0.048585600959391,0,0,0,0,0,0,-0.0356099831247946,0,0,0,0,0,0,0,0,0,0.0815447705447321,0,0,0,0,0,0,0.0509344029103474,0,0,0,0,0.158502626199924,0.180016802564108,0,0,0,0,0,0,0.0396801499294129,0,0,0,0,-0.0610001699180396
X5.HK.EQUITY,0,-0.0397275151587313,0.199682144250092,0.0808676367555163,0,0,0,-0.160039120312925,0,0,0,0.228832528189496,0,0,0,0,0,0.594547083532796,0,-0.0270063189260677,-0.149913952177876,0,0,0.118395475329373,0,-0.11891696560666,0,0,0,0,0,0,0,0,0,0.0440321811153994,0,0,0,0,0,0,0,0.098618320623085,0,0.15798141240827,0,0,-0.0672444765442872,0,0
X601988.CH.EQUITY,0.0959389057862921,0.0587091888140441,0.205340431867106,0.213080014976362,0,0,0,-0.020605404023467,0.112121542697638,0.0905621417440653,0.166069273572064,0,-0.341465617278014,0,0,0,0,0,0,0,0,0,0.0294156326975276,0,0,0.0887446379890852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597237231128814,0,0,0,0,0.0710522603194045,0.0433135022612899
X600036.CH.EQUITY,0,0.35977079165202,0,0,0,0,0,0,0,0,0,0.183991379948337,0,0.16157560758931,0,0.050785618648973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933593015712583,0,0,0.0138902648802175,0,0,0,0.0934151491327253,0,0,0,0,0,0.0389517992326894,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0682105153628818,0,0,0,0,0,0,0,0,0,0.223362948671075,0.296974216372564,0,0.215873334785001,0,0,0,0,0,0.0417397029382617,0,0,0.0358111315123085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.207890840087157,0.148675674933627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,4.33680868994202e-19,0,0.195293684492021,0,0,0,0,0.0377339860380458,0,0,0,0,0,0,0,0,0,0,0,0,0.0431708186029445,0,0,-0.016211734405772,0.323810443555935,0.050546935505957
X601166.CH.EQUITY,0.232958592038375,0,0,0,0,0.106727387901133,0.432564877292668,0,0,0,0,0,0,0.0113573402370732,0,0.391120962937568,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0483800662526288,-0.131881569648949,0.0363465752655399,0,0,0,0,0.0375239647828767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0596575585251176,0,0,0.0948380335817692,0.00673787787873407,0,0,0,0.0225768926591614,0,0.236765701746982,0,0,0,0,0,0,0.228787115601627,-0.118583438220553,0,0.0651570331444947,0.11976087151614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239581824121782,-0.0332058435160186,0,0.185361936715106,0,0.0846665566341933,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0650323763022622,0,0,0,0,0.251841145641751,-0.031167807663666,0,0,0.384369271116656,0,0,0.0645044448083235,-8.67361737988404e-19,-0.106203128684233,0,0,0,0,0,0,0,0,0,0,0,0.222035853095195,0,-0.00146719364356732,0,0,0,0.0345012041576918,0,0,0,0,0,0,0,0,0,0,0,0,0.0321736879888517,0,0.162619850997602,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.032047932162931,0,0,0,0,0,0,0,0,0,0,0.172229804136735,0,0.0618433207232446,0,0.0143872199490867,0,0,0,0,0.0421319596540809,0.0187849455672947,0,0.329532013513002,0,0,0,0.329760059957069,0,0,0,0,0,1.0842021724855e-19,0,0,0.013328636835659,0,0,0.0270384852190882,0,0,0,0.123572387580913,0,-0.00645772985561377
X000001.CH.EQUITY,0,0,0,0,0,0,0.0334570176182358,0.152981401414708,0,0.0723836938003008,0,0,0,0,0,0,0,0.0819916648815869,0,0,0,0,0,0,0,0,0.0203788944861918,0,0,0,0,-0.2369716347367,0,0.192415908516952,0.160210241451688,-0.242480980741713,0,0,0.217895935109512,0,0,0,0,0,0,0,0.220532211741177,-0.0339810449061826,0.221772191226861,-0.00479489090708589,0
X16.HK.EQUITY,0.0143971709298882,0,0,0.206320513736627,0,0,0,0.201574920594036,0,0,0,0,0,0,0,0,0.067311746144673,0.125568211344277,0,0,0,0.032691154398626,0,0.166490049085772,0,0,0,0,0.00676069872622045,8.67361737988404e-19,0.200193428795265,1.73472347597681e-18,0,-0.0905165655548081,0,0,0,0,0,0,0,0.224726117438867,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,-0.129385253662865,0,0,0,0,-0.269039839321271,0.135365495410633,0,0.287322064941847,0.325286604499669,0,0,0,0.0517430753565856,0,0,0.202881138745038,0,0,0.177052333322934,0,0,0,0,0,0,0,0,0,0,0,0.0221187794373303,0,0,0.0880566755141312,0,0,0,0.252550361989987,0,0,0,0,0,0,-0.0888520941526924,0,0,0,0,0.0220633018502929
X388.HK.EQUITY,0,0,0,0,0,0,0,0.254903586023898,0,0,0,0,0,0,0.099684589706013,0.0902705159949644,0,0,0,-0.058166620619617,-0.192083316934127,0,0,0,0,0,0,0,0,0,0.249006710130885,0,0,0,0,0,0,-0.272156102787092,0,0,0,0.237678011863461,0,0.138869778980208,0,0,0.0168992958944433,0,0,-0.159566373334751,0
X11.HK.EQUITY,0,0,0,0,0.111462412315764,0,0,0.204946391870549,0,0.0220258267224581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339476821543424,0,0,-0.0316640630126503,-0.0822304066536351,0,0,0,0.0903944356095843,0,0,0,0,0,0,-0.0988828868575128,0,-0.0680443831296873,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0
X601998.CH.EQUITY,0,0,0.0246520790002428,0,0,0,0,0,0,0,0.126649596725995,0,0,0,0,0,-0.0593701883047418,0,0,0,0,0,0.100421379216772,0,0,0,0,0.212106240997896,0.188971173126369,0,0.157978743539695,0,0,0,0,0,0,0,0,0,0.0302882473698686,0,0,0.156494088384053,0,0,0,0,-0.00767862883235464,-0.110617426348391,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.271736129700497,0.0497856936698233,0,0,0,-0.128316787125278,0.0998540992993749,0,0.0331521148747882,0,0.346649758724593,0,0,0,0.00745993779363135,0,0,0,0,0,0,0,0,0,0,0,0.12545283851339,0,0,0,0,0,0,0,0.157861643849917,0,0,0,0.0934809977169521,0,0,0,0.144796057633145,0.118920155436238
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390353112160436,0,0,0,0,0.10456892030747,0,0,0,0.155411834806169,0,0,0,-0.0446912048997086,0,0,0.117033283754186
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.233004701433874,0,0,0,0.298615496862404,0,0,0,0,0,0,0.210104820828417,0,0,0,0,0,0,0,-0.0295963959234593,0,0,0,0,0,0.0474785456002174,0,0,0,0,0,0,0,-0.161923727410995,0.0191784597652871,0,0,0,-0.0171238009449449
