,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,-6.93889390390723e-18,0.544153257984113,0,0.0181473478063819,0,0.059362733479997,0,0,0,0,0,0.0986828649345247,0,0,0,0,0.0913692686049917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297586715356247,0,0,0,0.114507853465106,0.00159330228412172,0,0,-0.0523735174221718,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0431605297255819,0,0,0,0.0244352513295296,0,0,0,0,0,0.0862913278720479,0.272829878335648,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412006865438326,0,0.136744403575306,0,0,0,0,0,0.187832521371753,0.155660701183722,0,0,0,0.00462658839545113,0,0,0,0.10218817279926,0,0,0
X601939.CH.EQUITY,0.107570446767299,0,0,0.556946875058263,0,0.114757870983358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107536614276077,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0125264773058942,0
X601288.CH.EQUITY,0.216606083956518,-3.46944695195361e-18,0.304111179648405,0,0,0.060389926298462,0,0,0,0,0,0,0,0,0,0,0,0.189917315425215,0,0,0,0,0,0,0.00820369053255131,0.01810021666689,0,0,0,0.0503882727695933,0,0,0,0,0,0,3.46944695195361e-18,0,1.38777878078145e-17,0.0754549584149526,0,0,0,0,0,0,0,0,0,0,-0.113176780578236
X5.HK.EQUITY,0,0,0,0,0,0,0,0.377344301032094,0,0,0,0,0,0,-0.158315764125461,0.348811983664518,0.0794263037652986,0,-0.104931976958576,0.163916540977369,0,0,0,0,0,0.185637212436122,0,0,0,0.154373634170171,0,0,0,0,-0.00798658348716406,0,0,0,0,0,0,0.107257188183656,0,-0.114882868608184,0,-0.513931211252415,8.67361737988404e-19,-0.0921062400186619,0,0.114686951775464,0
X601988.CH.EQUITY,0.0760759568128418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592203838825656,0.0469420439276255,0,0,0,0,0,0.115671082749566,0,0,0,0,0,0,0,0,0.0829427408954132,0,0,0,0,0,0.00141075227334709,0,0,0,0,0.094609557685545,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0397762231538662,0,0,-0.019661568258412,0,0,0,0,0,0.059697505910676,-3.46944695195361e-18,0,0,0,0,0,0.686388423719088,-0.00585795778871141,0.0444361851349986,0,0,0.104490332852304,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0681678873379554,0.0488234386303757,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.165508078449547,0,0,0,0,0,0,0,0.194399810067203,0,0,0,-1.38777878078145e-17,0,0.0464381373725397,0,0,0,0,0,0,0,0,0.155142520415565,0.181038974701776,0,0,0,0,0.152220517680685,0,0,0,0,0,0,0,0,0,-0.031794011656054,0,0.0385759345888186,0,0,0,0,0.109069928172663
X601628.CH.EQUITY,0,0.215784000843504,0,0,0,0,0.0307704914829246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506466058704633,0,0,0,0,0,0,0,0,0,0,0,0,0.402462232793979,0,0.23187873517935,0,0,0.0293251826055718,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,1.73472347597681e-18,0.0623629855180703,0,0,0,0.146290196604908,0,0,0,0,0,0,0.207767478682468,0,0,0,0,0,0,0,0.251322031260822,0,0,0,0,0.0785608086551513,0,0,0,0,0,0.0454462608050223,-0.00707613609736662,0,0,0,0.00799700617142841,0.247336397071077,0,0,0,0,0.0417983324943946,0,0,0,0,0.0198237486731796,0,0
X601166.CH.EQUITY,0.0511053148119356,0,0.156346864733027,0,0,0,0.173965811380197,0,0,0.0947838780209323,0,0,0,0.229178083546406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543723205764427,0,0,0,0,0,0,0,0,0.0858694384987496,0,0,0,0,0,0,0,0.0407860532449837,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.0775943368441773,-0.197984158353415,0,-3.46944695195361e-18,0,-0.102527823370723,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241506352888726,0,0.207082964365463,0,0.146727544327647,0.172293442129483,0.256878578995844,0,0.370922824264125,-0.0960017159147977,0,0,-0.00177857010032821,0,0,0.0580892294554152,0,0,0,0,0.0589482360518201,0,0,0,0,0
X11.HK.EQUITY,0,0,0,-0.0471499053661736,0,0,0,0,0.0693581975125036,0,0,0,0,0,0,0,0,0.0828900224714523,0,0.383799539019308,0,0,0,0,0,0.00579172629598391,0,0.254663441554685,0,0,0.367572550996149,0,0,0,0,0,0,0,0,0,0,0,0,0.0676849955487682,0.284990215131363,0.0831611934241455,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.200306335566794,0,0,0,0.337322576009202,0,0.146428988992507,0,0,0,0.0142220057776869,0,0,0.0613808283899386,0,0,0,0,0.0503852795782935,0,0,0,0,0,0.0403089079853678,0,0,0,0,0,0,0,0.136945587634613,0,0,0,0,0,0,0,0,0,0,0,-0.0335545365231371
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.253564083831904,0,0,0,0.13861018514801,0,0.123268978036617,0,0,0,0,0,0,0,0,0,0.302823532313916,0,0,0,-0.255331707349289,0,0.207914375387888,0,0,0,0.157332149692248,0.549957792829228,0,0,0,0,0,0.00685625145017207,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0132260529372006,0,0.0532379975482149,0,0.0764560072322737,0,0,0,0,0.675556168262229,0,0.0596120583296086,0,0,0,0,0,0.0642745070051251,0,0,0,0,0,0,0,0.0476375637340799,0.0742678195304301,0
X2388.HK.EQUITY,0,0.122674658180192,0,0,0.319697951300336,-0.570508813125269,0,0,0,0,0,0,0.112059601036438,0,-0.0202525787097587,0,0,0,0.2834634686851,0,0,0,0,0,0,0.137147088820525,0,0,0.212005568841386,0,-0.124775145277734,-0.0594063556862973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253965297162603,0,0.0283614082955357,-1.38777878078145e-17
X601601.CH.EQUITY,0.0840998719900952,0.118819344885499,0.0275847331737122,0,0,0,0.097705025159169,0,0,0,0,0,0,0,0,0,0,0,0.037706524712042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727331093793519,0,0,-6.93889390390723e-18,0,0.0534526963539845,0,0,0,0,0,0,0,0,0,0.235109431335762,0,0.0258922764402939,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.360949279645405,0,0,0,0,0.0511475003654398,0.135659334080351,0,0,0.119427521634241,0.0900738158186852,0,0,0,0,0,0,0,0.117250698054086,0,0,0.116424536997561,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117752368638104,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.0696732921591284,0,-0.264791595335637,8.67361737988404e-19,0.0495014747789773,0,0,0,0,0,0,0,0,-0.352950538097238,0.0382047611997436,0,0,0,0,0,0,0,0.0505551378462146,0,0,0.157591319305571,0.215800645802032,0,0,0.0990171024754188,0,0,0,0,0.439673960758735,0.141950485225454,0,0,0,0,0,0.509031929132719,0,0,0.0377348894184995,0,0.0357294681849847
X688.HK.EQUITY,0,0,0.066707779760995,0,0.0406992833654273,0,0,0.123059966695159,0,0.0729814042446547,0,0,-0.0768905510513935,0,-0.0758491116029118,0,0,-0.0620533774360532,0,0.0186635897298112,0,0,0,0,0,0,0,0,0.468378914643339,0,0,0,0.0966108179159668,-0.0204570184248419,0,0,0,0,0,0,0,0,0,0,0,0.0930245314833722,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.0760101995537878,0,0.0434532329223257,0,0.0167993426515213,0,0.367172738348946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00248969192109474,0,0,0,0,0,0,0,0,0.204681198362339,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.171165960259797,0.189609376453934,0,0,0.043285766427562,0,0,0,0.0908608355278714,0,0,0,0,0,0,0,1.73472347597681e-18,0.0765208285937401,0,0,0,0,0,0,0,0,0,0,0,0.105482344435362,-3.46944695195361e-18,0,0.0142753903358425,0.263187519122242,0,0,0,0,0,0,-0.00798484459876949,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019632223923568,0.0441984199516901,0,0,0,0.0617382728542486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00500528876260571,0,0,0.657706379255697,0,0,0,0.0307061977082386,0,0,0,0.12896754516159,0,0.0259822101603792,0,0.0518127296259598,0,0
