,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.269689025808197,0,0.260311819194821,0,0,0,0,0,0,0,0,0.267627912496482,0,0,0,0.0311473399356798,0,0,0,0,-0.145921118335157,0,0,0,0,-0.0477885977144137,0,0,0,0,0,0,0,0,0,0,0,0,0.069371124707659,0,0,0,0,0,0,0,0.0716641118319387,0,0,0,-0.0142155662826352
X601318.CH.EQUITY,0,0,-0.0765409430982826,0,0,0.0415651189208226,0,0,0.21258557151595,0,0,0,0.130113729193714,0,0,0,0,0.222393375621042,0,0,0,0,0,-0.0617846875384368,-0.00848631063602044,0,-0.0821640143477496,0,0,0,-0.167667001705847,0,0,0,0,0.252620859517132,0,0,0,0.196388112007694,-0.224396713953392,0,0.267342462947395,0,0,0.25116774291029,0,0,0,0,0,-0.0547185345698287
X601939.CH.EQUITY,0.610531921521635,0,0,0,0.024340193338083,-1.73472347597681e-18,0,0,0,0,0.137173661470298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035091336541039,0.00598322839677057,0,0,0,0,0.0434779650183875,0,0,0.259051491298562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.489610573986424,0,0,0,0,0.246870250817499,0,0,0,0,0,0,0,0,0,0.00314091272678496,0.0762048750420176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187030412552508,0,0,0,0,0,0,0,0,0,0,-0.0599554820465438
X5.HK.EQUITY,0.155587018544612,-0.125950753457616,0,0.111830990264297,0,0.0278224120535366,0,-0.154227300522204,0,0,0,0.135805526587981,0.0482291707050007,0,0,0,0,0,0,0,0.496827687489974,0.0381074891301304,0,0,0,0,0,0,0,0,0.278906718084996,0,0,0,0,0,0,0,0,0,0.00175921204645601,0,0,0,0,0,0,0.201714750690086,0,0,0.0729872690463071,0
X601988.CH.EQUITY,0.163366723270833,0.144729137381801,0.231041601970102,0,0,0,0,0,0.11053323553799,0,0,0.0748382567575195,0,-0.125568337043929,0,0,0,0,0,0,0.0323294359750999,0,0,0,0,0,0,0,0,0,0,0,0,0.150313848384379,0,0,0.141613497162958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.14282270168808,0,0,0.0566496215045637,0,0.122622078693598,0,0.35326700724479,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0210661206087481,0,0.0923542170675083,0,0,0.123856633488556,0,0,0,0.0663200942909286,-0.0489737846699111,0.0448911047807882,0,0,0,0,0,0,0,0,0,0.0235447602248498,0,0,0,0.00752355443107382
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0462558632071902,0,0,0,0,0,0.242723982999592,0,0,0,0.0929784141007544,0,0,0,0,0.330361967001432,0,0.180084594165814,-0.0411324870539648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.299422563113501,0.194532808745957,0,0,0,0,0,0.107143781311115,0,0,0,0,0,0,0,0,0,0,0,0,-0.198320066651975,0.108118598201863,0,0,0,0.0537407334259821,0,0,0,0,0,0,0.0449580357912664,0,0.0631064310205061,0,-0.241830194309469,0,0,0,0,0.0356666836736295,0.164312945051275,0,0,0,0,0,0,0,0,0.00728426516863703
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.356911207658791,0,0,0,0,0,0,0.502261616608503,0,0,0,0,0.111991465287619,0,0,0,0,0,0,0.241557079257114,0,0,0,0,-0.386211880117322,0.223372867542924,-0.123666083572001,0,0.236813053111784,0,0,0,-0.213564674083147,0,-0.0853875855397073,0,-0.256567367035585
