,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,-6.93889390390723e-18,0,0.0121603184317759,0,0,0.0391007092257634,0,0.295214385306671,0,0,0,0,0,0.115186711976369,0,0,0,0,0.110725219590468,0,-0.00354069534998525,0,0,0,6.93889390390723e-18,0,0,0,0.0573237045512567,0.280299440949577,0,0,0,0,0,0.0523024236349235,0,0,0,0,0,0,0,0,0,0,0.0182065873204504,0,0,0,0
X601939.CH.EQUITY,0.265676871983153,0,0,0,0,0,0,0,0,0,0,0,0,0.426761313708475,0,0,0,0,0,0.106811096493976,0.0559700414667363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464430573905208,0.0402856523266777,0,0,0.0213477630443873,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0
X601318.CH.EQUITY,0.2104009536713,0,0,0,0,0,0,0,0.164983176112862,0,0,0,0,0,0,0.214438728669985,0,0.117671935032838,0.0949407514849502,0,0,0,0,0,0,0,0,0,0,-0.0342032597250225,0.0815335693381312,0,0,0.0291086338910078,0,0.112666180559411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017258572723268,0,0
X601288.CH.EQUITY,0.3441555334843,0.00647583680254992,0,0,0.502302769340689,0,0,0,0,0,0,0.011797316077225,0,0,0.0403875467237756,0,0,0,-0.0329704605389051,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171158280398402,0,0,0,0,0,0,0,0,0.0949739786552978,0.00786918563002722,0,0
X601988.CH.EQUITY,0,0,0.123361475847945,0,0,0,0,0,0,0,0.109731195543752,0,0,0,0,0.10765275092985,0,0.0647879605192709,0,0,0,0,0,0.0465661152066831,0,0,0,0,0,0,0,0.124530947778093,0,0,0.10586255133638,0,0,0,0,0,0,0,0,0,0,0.243336040309172,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.250787577043104,0,0,0,0,0,0,0,0,0.166444499472709,0,0,0,0,-0.504166206230632,0.224398636185409,0,0,0.0335067180727943,0,0.102737353200278,0,0,0,-0.125963432054954,0,0.330159739489391,0,0,0,0.313855800693178,0,0,0,0,0,0,-0.321497465164626,0.321796188289076,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0443594349670828,0,0,0,0.281292690672175,0,0,0,0.183777517210199,0,0,0,0,0,0,0,0,0,0,0,0.0616106307156836,6.93889390390723e-18,0,0.194466153867717,0,0.122452689293207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786032713719463,0,0.0126403927964639
X1299.HK.EQUITY,0,0.0667393780550153,0,0,0,0,0,0,0,0,0,0.0925352694830438,0,0,0.0583865028520599,0,0,0.288190812432381,0,0,0,0.0399837622994803,0,0,0,0.0606801258872131,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.387222667258574,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206213950261714,0,0,0,0,0.00855611807630276,0,0,0,0.0910681140102438,0,-0.020199422186535,0,0,0,0.248974908796174,0,0,0,0.104362100523984,0,0,0,0,0,0,0,0,0.0326833729984244,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18811247561627,0,0,-0.0886346081603657,0,0.156511214985873,0,0,0,0,0.66025586499545,-0.637278474968617,0.124207426973219,0,0,0.0423468880797272,0,0.531324539804292,0,-0.399834978261052,0,0,-0.352927841013762
X601328.CH.EQUITY,0,0.0682140687199743,-1.0842021724855e-19,0.00255999339652991,0.0769466365415736,0,0,0,0,0,0,0,0,0.308744879809281,0.0434454617124408,0,0,0,0,-1.38777878078145e-17,0,0,0.0370683161156282,0.241058112934632,0.0558547761580359,0.0280348397455846,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148500183467123,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.193741238604113,0,0,0,0,0.285828851615927,0,0,0,0,0,0,0,0,0,0,0.00537970097723917,-0.0711391871815275,0.0556311265844673,0,-0.0240813844777289,0,0,0,0,0,0,0,0,0.484571772800783,0,0,0,0,0,0,0,0,0,0,0.0823390782455428,1.73472347597681e-18,0,0,0.180486335906902,0,0,-0.191006021381982,0,-0.0295256915120216,0.0753896290659347
X000002.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0481923648031621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140449047457838,0.560577521349654,0,0,0,0,0,0,0.0153306387912072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.322708069648519,0.14047958154558,0,0,0,0.00559969259565537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.197923205203584,0,0,0.0243505364146399,0.101926558162854,0,0,0.230116610618138,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.0224677320864576,0.055082688856076,0,0,0,0,0,0,0,0.0653955205589581,0.0984640974480677,0,0,0,0,0,0.283798347856371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133902129151747,0.111570811692822,0,0.0425021756236436
X000001.CH.EQUITY,0,0,0,0,0.142629202309452,0,0.151985309312712,0,0.00643681703642155,0,0,0.072672542839368,0,0,0.0375092674660549,0,0,0,0,0,0,0,0,0,0.0540785180116927,0,0,0,0,0,0.309648779434814,0,0,0,0,0.0669354447191754,0,0,0,0,0,0.150082913198313,0,0,0.0452107443250968,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0.0352255022771209,-0.065416568536005,0,0,0,0,0,0,0,0,0,0,0.0810557970609462,0,0.0876316405689739,0,0,0,-0.05295283592097,0,0,0,-0.0340868981509528,0,0.551152903715998,0.106924121888997,0,-0.0714828443413855,0,0,0.107565877531387,0,0.116356487384892,0.0204761085837636,0,0,0,0,0,0,0.0229149681550366,0,0,0.064742844216912
X11.HK.EQUITY,0,0,0,2.16840434497101e-19,0,0,0,0.177855958917956,0,0,0,0,0,0,0,0,0.0366159807385972,0,0,0,0,0,0.474248690964684,0,0,0,0,0,0,0,0,0,0,0.307115048273707,0,-0.112111120928209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069729487151137
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451463690001351,0,0,0,0,0,0,0,0,0.0740592135331861,0,0.494962868008128,0,0,0,0,0,0.0436846388755042,0,0,0.248227107578664,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.231232701260303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144211493321426,0,0.0518370750034811,0,0,0,0,0,0.0395796794688982,0,0,0,0,0.457655311786092,0,0,0.119114111245471,0.0476336397109857,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.0993954783370171,0,0.353848252917306,0,0.0355465643318498,0,0,0,0,0,0,0,0,0,0,0.0541880535849099,0,0,0,0,0,0,0,0,0,0,0.0540487124046866,0,0,0.270380864102647,0,0,0,0,0,0,0,0,0,0,0,0.0963883952726781,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0101310172288921,0,0.0513344577634891,0.151983704904899,0,0,0,0.0487398883488927,0,0,0,0,0,0,0,0,0,-0.0501379223480464,0,0,0,0.56619372088526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163793687850752,0.231792245197419,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.143684881116286,0,0,0,0.0514241564148622,0,0.234655495631551,0.262056047355558,0,0,0,0,0,0,0,0.138771266882118,0,0,0,0,0,0,0,0,0,0,0.0668805902708533,0,0,0,0,0,0.00450598797164923,0.0494143488527731,0,0,0,0,0,0.0263331010218186,0,0
X600016.CH.EQUITY,0,0.137292733290111,0.132015961533071,0,0,0,0,0,0,0,0.0673651989938699,0,0,0.115216794333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152718130869118,0,0,0,-1.73472347597681e-18,0.0122999497385018,0.0862158722647272,0,0,0,0,0,0,0,0,0,0,0.184571678575354,0.135990763628832,0,0,0,0,0
X601998.CH.EQUITY,-0.0274280795680097,0,0,0,0,-0.0400544284991681,-0.0242121477054361,0,0,0,0,0,0,0.0663993537121594,0,0,0,0,-0.00800520294393198,0,0,-0.167817391068294,0,0.417875983153745,0,0,0,0,0,-0.108593416349452,0.139584595548071,0,0,0,0,0,0.18825233983655,0,0,0,0.18726040881762,0,0,0,0,0,0.281724825794885,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106388428477313,0.0260762522261279,0.0531267716524547,0,0,0,0,0.169527887069623,0,0,0,0.0950865814017834,0.189383958964764,0,0,0,0.00896798576136909,0.0546528106280749,0,0,0,0.0147418315686871,0,0,0,0,0,0.242068196345645,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.269500379137718,0,0,0,0,0.0496157126436239,0,0,-0.0488789752745884,0,0,0.279747787001399,0,0,0,0,0,0,0.152501102712138,0.734448308803677,0.0399031579557159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118587248930121,-0.413922321887296,0,0,0,0,0,0,0.116303370648914
X601066.CH.EQUITY,0,0,0,0,0,0.128476845606268,0,0.0595565754519152,0.0739281118336972,-0.0318120842359045,0,0,0,0,0,0,0,0,0,0,0.0418795096055244,0,0,0,0,0,0,0,0,0,0,0.187848780125195,0,0,0,0,-0.0781888893783359,0,0,0,0,0.0713728563115902,0,0,0.139038462962549,0,0,0.443443974825268,0,0,-0.242270838374808,0.0694231910912318
X2007.HK.EQUITY,0,0,0,-3.46944695195361e-18,0.0523080962979365,0,0,0,0,0,0.00854434961873859,0,0,0,0,0,0,0,0,0,0,0.11243773768143,0.102116578985587,0,0,0.0551101370209111,0.256161846445664,0,0,0,0,0,0.196393857181194,0,0,0,0.0633384243485129,0,0,0.16488677908427,0,0,0,0,0,0,0,0,0,0,0.000492730853072255,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0676263973618336,0,0.214131268318065,0,0,0,2.16840434497101e-19,0,0,0,0,0.143907841056062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135772867911279,0,0,0.240093157650073,0,0,0,0,0,0,0,0,0.0134543429040522,0,0,0
X601818.CH.EQUITY,0,2.77555756156289e-17,0,0,0,0,0.0433079024606116,0,0,0,0,0.473251604857094,0,0,0,0,0,0,0,0,0,0,0,0,0.387497384753925,0,0,-0.0135373626471801,0,0,0,0,0,0,0,0.00952854028198208,0,0,-0.0429175854298731,0,0,0,0,0,0,0,0,0,0,0,0.0563407887340044,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.128815587729045,0,0.0818270845780159,0,0.0126189097512196,0,0,0.0976851295455862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467722636863297,0.2040685769971,0,0,0,0.094873238019326,0.18222154546227,0,0,0.0303204556037463,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0.0695606915214116,0,0,0,0,0,0.164917867103905,0.0568883029834035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193083236165408,0,0,0,0,0.349486011420494,0,0,0,0.0991433079482675,0,0,0,0,0,0.042895006966816,0.0539278021564755,0,0.0937933538468578
X12.HK.EQUITY,0,0,0,0,0,0.00380996322502517,0,0,0,0,0,0,0,0,0,0,0.48669918483502,0.271859222371603,0,0,0,0,0,0,0,0,0,0,0.0789559486665659,0,0,0,0.147328856017907,0,0,0,0,0,0,0,0,-0.058902688853742,0.0637652760372386,0,0,0,0,0,0,-0.0123569256114153,0,0.0787545787739889
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0320625235556559,-1.38777878078145e-17,0,0,0,0,0,0,0,0.081966084149978,0,0,0,0,0.215137961586201,0,0,0,0,0,0,0,0.0480207386738883,0,0,0,0,0,0.131517567572559,0,0,0,0.181894096764274,0,0.00509837004628715,0.200311436493604,0.156595622490075,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0.346505977012307,0,0,-0.0599714053948501,0.720225650096973,0,0,0.0603436693075131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108258255209417,0,0,0,0,0,0,0,0,0,0,0,-0.0112217751060237,0,0,0,0,0,0,0,0,0,0,0,-0.119795126130384,-0.0484162066679739,-0.0522351411358321,0
X001979.CH.EQUITY,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.137804363488223,0.032732988997428,0,0,0,0,0,0,0,0,0,0,0.0247296219523363,0,0,0,0.0171894138261927,0.162080477563773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125067546639854,0,0,0.48934234896967,0,0,0,0,0.0163826138014171
X600837.CH.EQUITY,0,0,0,0,0,0.0490190393998135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290075886703579,0,0,0.115388338897536,0,0.0412605693029899,0,0,0,0.0167677678528466,0.0769570077007423,0.075547470324028,0.162168013944176,0,0,0,0.168346189338279,0,0,0,0
X823.HK.EQUITY,0.0260752691594233,0,0,0,0,0,0,0,-0.19173387938224,-0.0141886555285532,0.174827802158525,0,0,0.0460191747369596,0.0436494116174137,0,0.227530551795091,0.122215342482083,0,0,0,0,0,0,0,0.0526349508520115,0,0,0,-0.0191240628620471,0,0,0.272846352934999,0,0,0,-0.203561302473037,0.143881445871798,0,0,0,0,0,0.0409710043653067,0,0,0,0,0,0.103940211905158,0,0
