,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.0293530828790486,0,0,0.111445232181225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149896272739512,0.666876022194277,0.175350832971024,0,0,-0.11598245258926,0,0,0,0,0,0.00235392814534902,0,-0.212270886720943,0,0,0,-0.13475739094017,0,0,0,0,0,0,-0.286370361623989,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0324097399624415,0.00698255957926945,0,0,0,0,0,0,0,0,0,0,0,0.337840822397228,0,0.0700616111795906,0,0,0,0,0,0,0,0,0,0.0841034466365171,0,0,0,0,0,0,0.321230373051629,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0578824262154236,0,0,0.289769274237232,0,0,0.0061993930062812,0,0.174632439404919,0,0,0,0.319001534737241,0.152007169112946,0,0,0,0,0,0,0,0,0,0.0185050741247455,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917096652509686,0,0,0,0,0,0,-0.0673071385983221,0,0,0,0.0663290131733769,0,0,-0.0924813870580393
X601288.CH.EQUITY,0,0,0,0,0,0.502818144885935,0.145516608225414,0,0,0,0,0,0,0.366498203459598,0,0.0134886913564493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043621343054829,-0.0699566787216412,0,0,0,0,-0.0476334651602608,0,0,0.0121992890678764,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.241948473502799,0,0,0,-0.0642350397373965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141376302765008,0.102550676073327,0.138890812590275,0,0,0.0142777980891131,0.0687275905983073,0,0,0,0.0562821291582963,0.0130275768370094,0,-1.73472347597681e-18,0,0
X601988.CH.EQUITY,0,0,0.120355582523638,0.137770723952189,0,0,0,0,0,0.347959838218616,0,0,0.271901549111881,0,0.122827857533273,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0180946135213286,0,0,0.0177489053515538,0,0,0,0,0,0,0,-0.0333122971310803
X600036.CH.EQUITY,0,0,0.282336764603082,0,0,0,0,0.109789665432297,0.107707314013208,0,-0.00240131212564201,0,0,0,0,0,0,0,0,9.62369091490485e-06,0,0,0,0,0,0,0.0677234731993159,-0.0280118113373924,0,0,0,0,0,0.223996678289497,0,0,0,0,0,0,0,-0.0395540951724952,0,0,0,0,0,0,0,0.124348237224552,0,0.0187784884947241
X1299.HK.EQUITY,0,0,0,0,0.0827760687344096,0,0,0,0,0,0,0,0,0,0,0,0.0313074036755878,0,0,0,0,0.184632522782128,0,-0.0590110592679665,0,6.93889390390723e-18,0,0,0.161888333935227,0,0,0,0,0,0,0,0.0222711047268913,0.0395781141073652,0,0,0,0.173073258475478,0.117357076741255,0,0,0,0,0,0,0.44312379678866,0.0846153177473103,0
X5.HK.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84175403251541,-0.374076788314958,0,0,0,0,0.66892673810245,0,0,0,0,0,-0.288066345175426,0,0,0,0,0,0.213801239391134,0.127288234341598,0,0,0,0,0,0.103534182636313,0
X601658.CH.Equity,0,-3.46944695195361e-18,0,0,0,0.00634011438363909,0,0,0,0,0,0,0,0,0,0,0,0.202404637629954,0.0383176375006467,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251580311778525,0,0,0,0.0186694925495083,0,0,-0.01589768055994,0,0
