,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.123276054745174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165840838605527,0,0,0.445103023761126,0.523201604141313,0,0,-0.227832494228011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727312067903927,0,-2.16840434497101e-19,0,0,0,0,-0.0644425655213236,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0689203130991118,0,0,0.0656894582919049,0,0,0,0.183374956472643,0,0.161327380173771,0.256546552369811,0,0,0,0,0,0,0.00977910064911064,0,0,0,0.127719284040989,0,0,0,0,0.0583653817836724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723751435475241,0
X601939.CH.EQUITY,0,0,0,0.772419762225415,0,0,0,0,0,0.00161987455947951,0.099788310484569,0,0,0,0,0,0.108956144996168,0,0,0,0,0,0,0,0,0,0,0.0126582584866834,0.0679398408595855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606489468382786
X601288.CH.EQUITY,0,0,0.891029021797463,0,-0.0338613779882517,0,0,-0.0753329636853772,0,0,0,0,0,0,0,0.018909442286547,0,0,0,0,0.00397131495517323,0,0,0.182056522459913,0,0,0,0,0.0619226090796529,0.0374956954201199,0,0,0,0,0,0,0,0,0,-0.06101856133749,-0.134660797987953,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.083764971110865,0,0,0,0,0,0,-0.0693343265065213,0.252854670558144,-0.0616705948680405,0.302536392653813,0,0,0,0,0,0,0.337065814453724,0,0,0,0,0,0,0,0,0,-0.0830377695421984,0,0.0175531570389131,0,0,0,0,0,0.151336001847133,0,0,0,0,0,0,0,0,0.148527733130384,0,0,0,0,0.0179700138201055,0
X600036.CH.EQUITY,0,0,0,0.348242682073325,0,0,0,0,0.0753061144970202,0,0,0,0,0,0.00436921807081332,0,0.0199590465097223,0.146513979454947,0,0,0,0,0,0,0,0,0.101177717238337,0,0,0.16837354968331,0,0,0,0.0260631869393795,0,0,0,0,0,0,0,0,0,0,0.037417971804325,0,0,0.0433666642924647,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0626879600838145,0,0.0133037034430122,0,0,-0.057229623914465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073099993605022,0,0,0,0,0,-0.0256619716060842,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.000473217048736905,-0.134221405276697,0,0.999761953145387,1.73472347597681e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.14888312946053,0,0,0,0,0,0,0,0,0,0,0,0.3015508100081,0,0,0,0.0466092074439882,0,0,0,0,0,0,0,0.115845206406893,0,0,0,0.070680854147746,0.182622232916295,0,0,0,0.0245403851705142,0.0524977944401054,0,-0.0229387893708724,0,0,0,0.14099905985177,0,-0.0532322496737333
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212260171182704,0.332294332511747,-0.0691243552275646,0,0.0408826851313902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429010222186683,0.0983601387545456,0,0,0.00631493588457943,0,-0.3500370824589,0,0.0766834904539319
X388.HK.EQUITY,0,0,0,0,0.216183246708799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12348866823313,0.25471529818596,0,0,0,0,0,0.124137870015103,-0.0140247354212157,0,0,0,0,0.122217516706698,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182013150739949,0,0,0.288310862826986,0.0010619121280861
X601658.CH.Equity,0,0.0320394229129126,0.329286160145288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182966930657652,0.0287815520780828,0.159497471778868,0,0,0,0,0,0,0,0.0941222306208911,0,0.0046357940593801,0,0,0,0,0,0.013838408993108,0,0.0332989126395508,0.0346873397945979,-0.0880187817070426,0,0,0.0875074848229044,0,0,0.0584957449936623,0.0392358969579283,0,0.0544908873928414,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0844242290356303,0,0,0,-0.0154313721793249,0.0512539651849779,0,0,0.351651659874931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100229554446571,0,0,0,0,3.46944695195361e-18,0,0,0.087549504051598,0,0,0,0.202500232747216,0,0,-0.0205418860874586,0.125126213558501,0,0,0,0,0,0.184262102959741,0,0.0791278252837862
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00256187043193673,0,0.725092872860647,0,0,0.0374829147682401,0,0,0,-0.0420982860433982,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0614107496967032,0,0,0,0,0.0231106943155458,0,0,0.0735674523024384,0.0214764353435099,0,0,0,-0.00478364172953736,0,0,0,0
X601166.CH.EQUITY,0,0,0.0165929778669778,0,0,0,0.338311165752026,0,0,0,0,0,0,0,0,0,0.145924743343551,0.0176551838795702,0.0893118407602141,0,0,0,0.0637290548044635,0.112639259596082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665569403708757,0,0.203350755409611,0,0,0
X000002.CH.EQUITY,0,0,0,0.201928120536715,-0.194148889801583,0,3.46944695195361e-18,0,0.194521137362941,0.0213058549830052,0,0,0.37266047663946,0.143849528670014,0,0,0,0,0,0,0.0414090784646848,0,0,0,-0.125181311977149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121648078308223,0,0,0,0,0,0,0,0,0,0,0,0.074118624356728,0.0339004081193144
X601328.CH.EQUITY,0,0,0,0.255253806660223,0,0,1.0842021724855e-19,0,0,0,0,0.0484107465493366,0,0,0,0,0,0.066639134460116,0,0,0,0,0.35002741605653,0,0,-0.00270352621907095,0,-0.0603009466549258,0,0,0,0,0,0,0,0,0,0,0,0.115659851426729,0,0,0,0,0.111983629521511,0,0,0,0.00573498515565528,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.589419632139851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152649829048836,0,0,0,0,0.101101309836148,0,0,0,0,0.14824485766502,-0.202607865046245,0,0,0,0,0,0,0,0,0.201074415143013,0.0112326831897682,0,0,0,0.0178641253051838,0,0,0,0,0,-0.0388598240642041,0
X600000.CH.EQUITY,0,0,0,0.11734510743024,0,0.323786840627114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103907672675207,0,-0.0482081574620826,0,0,0,0,0,0,0.117375027871837,0,0,0,0,0,0.058035220162489,0,0,0,0,0,0.604184473543636,0,0,0,0,0,0,0.168667002134481,0,0,0,0
