,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0383587143534872,0.536835961363498,0,0,0,0.0202308074702006,0,0,0,0.129710362415972,0,0.0891310905820838,0,0,0,0,0,0.0321576366654713,0,0,0,0,0,0.0894646814440901,0,0,0,0,0,0,0,-0.0290868158895539,0,0,-0.0485898423770323,0,0,0.0752920359186177,0,0,0,0,0,0,0,-0.00243391216301002,0,0,1.73472347597681e-18,0,0.0343481131235749
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00947150878144856,0,0,0,0,0,0,0,0,0.0761737812778134,0,0.307904175620234,0,0,0,0,0,0.11533490926727,0.00162476258695867,0,0,0,0,-0.0234907553644271,0,0,0,0.0590593426233687,0,0,0,0.195349770908606,0.0982402608267258,0,0,0,0,0,0.0239342858491161,0,0.061127721202209,0,0,0,0
X601939.CH.EQUITY,0.153453046866953,0,0,0.610305851851237,0,0.0160147204317224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.134254145667421,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.00688404483767906,0,0.0119233217116071
X601288.CH.EQUITY,0.0484495807117489,0.0433120686678393,0.194627907391309,0,0,0,0,0,0,0.123331555529072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1682232922365,0,0,0.207746946042631,0.116507846454887,0,0,0.0106856027997346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.272877288196715,0,0,0,0,0,0.080788133207997,0,0.477217310447945,0.0870459625323325,0,0,0,0,0,0,0,0,0,0,0,0.319688565990032,0,0,0,0,0.133325569024288,0,0,0,0,0,0,0,0.0207324641867261,0,0,0,-0.289655242659152,-0.119901799333017,-0.134681870599835,0,0,0,0.106747881200099
X601988.CH.EQUITY,0.0185101488351765,0,0.0454580783181537,0,0.0385361518217173,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.609700652550273,0,0,0,0,0,0,0.11186100486749,0,0,0,0,0,0,0,0,0,0.0442277514195043,0,0,0,0,0.0631588066896833,0,0,0,0,0,0.098412485726781,0,0
X600036.CH.EQUITY,0,0,0,0,-0.00391908234027773,0,0,0,0.0795252202822111,0,0,4.33680868994202e-19,0,0,0,0,-0.0122667858658989,0,0.0178972052108459,0,0,0,0,0,0.614397302215341,0,0,0.0859466429802584,0.124606293907398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718944660615849,0,0.0341592043546938,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.226342804217565,0,0,0,0,0,0,0,0.202473685390283,0,0,0,0,0.0631658132784245,0,0,0.0591604558838344,0,0,0,0,0,0,0,-0.0445862928345974,0.082838968390541,0,0.300599190293191,0,0.200177431137987,0,0,0,0,0,0,0,0,0,0,-0.0808173310134441,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.21087591488803,0,0,0,0,0.0339274780571153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693785958286837,0,0,0,0,0,0,0,0,0,0,0,0,0.399232727881791,0,0.240415756940044,0,0,0.0269291041562184,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.171227926537564,0,0,0,0.115788078568526,0,0,0,0,0,0,0.26040462425725,0,0,0,0,0,0,0,0,0.22820017638419,0,0,0,0,0.0669978277860031,0,0,0,0.00600746261877709,0,-0.00595704119894575,0,0,0,0,0.202636735633912,0,0,0,0,0,0.00228287944529271,0,0,0,0.0287992059960953,0,0,0
X601166.CH.EQUITY,0.158986065286703,0,0.134453126995822,0,0,0,0.124065004762948,0,0,0.0424290123119503,0,0,0.0125989565401155,0.192812893172121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745048953734459,0,0,0,0,0,0,0.100655466458512,0,0,0,0,0,0,0,0.0296876117218882,-0.00693233128112362,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.176044940562758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036854605900152,0,0,0.12199978411503,0.308919062103907,0.197196393236772,0.296858232765751,-0.135223386458689,0.152593792148254,0,0,0,0,0,0,0,0,0,0,0,0.0808632513048251,0,0,0,0,-0.173501738135759,0
X11.HK.EQUITY,0,0,0,0,0.0220205375228888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120911288284348,0.394767016435749,0,0,0,0,0,0,0,0,0,0.253952021713967,0.37070999148266,0,0,0,0,0,0,0,0,0,0,0,0,0.236905801838206,0.0603116514047352,0.076361702570404,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0258259823451938,0,0.277623577085966,0,0,1.73472347597681e-18,0.217158064539306,0,0.0776442611740157,0,0,0,0.112527693586757,0,0,0.0553861216493281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116449485360526,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.211475107536828,0,0,0,0.0947005804157735,0,0.0883642958567162,0,0,0,0,0,0,0,0,0,0.256512017883055,0,0,0,0,0.235419269087295,-0.305088357880909,0,0,0.576795311413634,0.171479398423765,0,0,0,0,0,0,0.0229634221328554,0,0,0,0,0,0,0,0,0,0,0.0429045418339681
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015537731996981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845456599020643,0.020412889864561,0.0121626749915447,0.0660952566379061,0,0.735249396357889,0,0.0832252019384028,0,0,0,0,0,0,0,0.0371517233935452,0,0,0,0.00369683318326759,0,-0.0580375700852875,0
X2388.HK.EQUITY,0,0,0,0,0.293468283165684,-0.379597201830281,0,0,0,0,0,0,0,0,-0.193036995059346,0,0,0.340835743331746,0,0,0,0,0,0,0,0.286386381099315,0.125225482547029,0,0,-2.16840434497101e-19,-0.150396244238976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088122702169054,0,0.116677573458278,0,0,0,0.0616190131302681
X388.HK.EQUITY,0,0,0,0,0,0,0,0.276074056043871,0,0,0,0,0,0.373216193962874,0,0,0.038158558729789,0,0.144911565721068,0,0,0,0,0,0,0.186756310907942,0.0871208104651434,0,0,0,0.0831363002491526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128562011166245,0,0,0,0,0,0
X601601.CH.EQUITY,0.031517940794603,0.0912367598306092,0,0,0,0,0.130612897843477,0,0,0,0,0,0,0,0,0,0,0.0319397152797671,0,0,0,0,0,0,0.0940187139986675,0,0,0,0,0,-0.0131623208862379,0,0,0,0.0946282651813389,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.228618946446423,0,0.0231398974613195,0,0
X267.HK.EQUITY,0,0,0,0,0.0548278212599469,0,-0.290768797712017,0,0,0,0,0,0,0,0,0,0,0.148660184933583,-0.278827001486147,0,0,0,0,0,0,0,0,0,0.105708181309781,0,0.206977730151929,0,0,0.113748338555923,0,0,0,0,0.402375191535625,0.152915059567534,0,0,0,0,0,0.514463463790014,-2.71050543121376e-20,0,0.0451809486711684,0,0,0
X688.HK.EQUITY,0,0,0.110334940375736,0,0,0,0,0,0,0.0721271332136019,0,0,-0.0461102636341212,0,-0.0791630551070549,0,0,0,0,0,0,0,0,0,0,0,0.490928874734159,0,-0.0466725096286797,0.0862285070154204,0,0,0,-0.0393440869741088,0.061544085629379,0,0,0,0,0,0,0,0,0,0,0.18388454114876,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.153001666254254,0.232398557016062,0,0,0,0,0,0,0,0.0106556700046959,0,0,0,0,0,0,0,0,0.097110849740354,0.00470204889596943,0,0,0,0,0,0,0,0,0,0.0596649776874283,0,0,0,0.34357094651068,0,0,0,0,0,0,-0.000946419572700143,0,0
X601998.CH.EQUITY,0,0,0.030838420073967,0.0580912074661969,0,0,0,0,0,0.438871198839297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042261161525942,0,0,0,0,0.0763477049528093,0,0,-6.93889390390723e-18,0,0,0,0.154096963447436,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322698969087333,0.067382745440467,0,0,0,0.0475914829708151,0,0,0,0,0,0,0,0,0,0,0.00090366718639994,0,0,0,0,0.70245776618738,0,0,0,0,0.0691812247571855,0,0,0.0629007453135369,0,0,0.0160255131440386,0,0.0405843970821631,0,0,0
X000001.CH.EQUITY,0,0.0749174366616992,0.0426387173678998,0,0,0.00859884930507148,0,0,0.0885793816053419,0,0,0,0,0,0,0,0,0,0.144952407180527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212964080410148,0,0,0,0.232391016128228,0.0371804557009959,0,0,0,0,0.00682174508586812,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0.0430275279520628,0,0,0,0,0,0,0,0.0398342270891065,0,0,0,0,0.189217288664566,0,0,0.0618234248994626,0,0,0,0,0,0.203650597552398,0,0,0.0591557025846802,0.0792441245115771,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158170875124087,0.0830179785334448,0,0.340704497637492,0,0,0,0
X1109.HK.EQUITY,0,-0.162972707649686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242020967143323,0.109430270563214,0,0,0.292431123564312,0,0,0,0,0.0815756243396363,0,0.124896710908466,0,0,0,0.129307894426673,0,-0.0587388852761983,0,0,0,0,0,-0.137938325532077,0,0,0,0,0,0.205922349315193,0,0,0,0,0,-0.198115306093835
X601818.CH.EQUITY,0,0,0,0,0,0,0.205421990834185,0,0,0.257154565202231,0,0,0,0,0,0,0,0,0,0,0,0.335814541034965,0,0,0,0,0.0629855953905408,0,0,0,0,0.0572490029076187,0,0,0,0,0,0,0,0,0,0.0785657132468686,0,0,0,0,0.00234230813306404,0,0,0,0,0
X12.HK.EQUITY,-0.226317776570506,0,0,0,0.0228612480707284,0,0.051922114500458,0,0,0,0,0,0,0,0,0,0,0,0,0.232980961078093,-0.303008160643728,0,0,0,0,0.0856408418950449,0,0,0,0.228990172445414,0,0.390695484532263,0,0.0192724141169007,0,0,0,0,0,0,0,0.0612087596875008,0,0,0,0.0595168089921343,0,0,-0.348655156461351,0,0,0.119496887888024
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,-0.115906348637003,0,-0.441450118422893,0.290820333455168,0.251549833474836,0,0,0,0,0,0,0.00553441602321664,0,0,0,0,0,0.136020802229687,0,0,0.0957037221725503,0,0,0,0,0,0,0,0,0,0.0963096402376579,0,0,0,0,0,0,0.144704528875856,0,0.0792271287259505,0,0,0,0
