,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671767860992677,0,0,0,0.181769955626352,0,0,0,0,0.497759663147052,0,0,0,0,0,0,0,0,0,0,0,0,-0.157140356422946,0,0,0.506138220086616,0,0,0,0,0,0,0,0,0.0744659962999148,0,0.0241578837855826
X601318.CH.EQUITY,0,0,0,0,0,0,0.136131300358967,0,0.246055313365235,0,0,0,0,0,0,0,0,0.292631487692579,0.0827906810779617,0,0.0429648386998938,0,0,0,0,0.0990975251129258,0,0,0,0,-0.0117446090902293,0,0,0,0,0.0641100905658631,0,0,0,0,0.0263737895462837,-3.46944695195361e-18,0,0,0.0181547056981472,0,0,0.0299402979750491,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.499793102737461,0.0218108846282678,0,0,0,0,0.334244877479279,0,0,0,0,0,0,0,0,0,0,0.121345860569742,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160963638062094,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.00930283039645429
X601288.CH.EQUITY,0,0,0,0,0,0,-0.398221342463831,0,0,0,0.990256039721709,0,6.93889390390723e-18,0,0,-0.117053016307374,0,0,0,-0.30503340321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160833753012203,0,0.201044182345354,0,0,0,0,0,0.0181386601235165,0,0,0,0,0.0447049650130059,0,0,0,0
X5.HK.EQUITY,0,-6.93889390390723e-18,0,0,0,0.129231096266216,0.384492974892837,0,0,0,0,-0.0335764693769434,0,0,0.236961653066547,0.0823802754490877,0,0,-1.73472347597681e-18,0,0,0,0.210661510883929,0,0,0.0520884745430463,0.0365298806244286,-0.192800334715719,0,0,0,0,0,0,0,0,0.00256461217807415,0,0,0,0,0,0,0,0,0,-0.228253394549109,0,0.124799356127094,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.348735968781637,0,0,0,0.106629554652567,0,0,0,0,0,0.0888784008750031,0,0.0291906823025862,0,0,-0.0489538752387814,-0.0654463929431662,0,0,0,0.21601423511223,0,0,0,0,0,-0.214757213190581,0,0,0,0,0,0,0,0,0.0751551800254012,0,0,0,0,0,0,0,0,-0.0354081081481402,0,-0.130121255809914,0
X1299.HK.EQUITY,0,0,0,0,0.234144879907154,0,0,0,0,0,0,0,0,0,0,0,0.193610210499634,0,0,0,0,0,0,0,0,0.0389149246765899,0,0.0463468251963138,-0.112205686147086,0.0926162320680805,0.0418650188038235,0,0,0,0,0,0.522821436557526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137798101785484
X600036.CH.EQUITY,0.00965601585509699,0,0,0,0,0,0,0,0,0.438838239361482,0,0,0,-0.0129713669523948,0,0,0,0.227679276648094,-0.0404309998545717,0,0,0,0,0,0,0,0,0,0.00580904581146675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216998458477411,0,0,0,0,-0.129894262304299,0,0,0,0
X601628.CH.EQUITY,0,0.0840722051340622,0,0.00161206194561175,-0.0899332480900805,0,0,0,0,0,0,0.0526296550845104,0,0,0,0,0,0.212557558305296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423678079042435,0,0,0,0,0,0.217405676472904,0.0910152398804122,0,0.0650821859550343,0,-0.0108428086678802,0,0,0,0,-0.0193269576710324
X601328.CH.EQUITY,0,0,0.105809705513414,0,-0.0566069303496266,0,0,0.417192814346043,0,0,0,-0.0402434411021888,0,0.472322183426283,0,0,0,0,0,0,0.139157405145138,0,0.0925183730805819,0,0,0,0,0,0,0,0,0,-0.0912716517931865,0,0,0,-0.0947120857195571,-0.192519804761823,0,0,0,0,0,0,-0.0601460018171171,0,0,0,0,0,0,0
