,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119851064209279,-0.0884098168207577,0,0,0,0,0,0,0.411019013821094,0,0,-0.13165765948779,0,0,0,0,3.46944695195361e-18,-0.107893207692652,0,0,0,0,0,0,0,0,-0.0126118550229019,0,0.708766525753067,0,0,0,0,0,0,0,0,-0.0361748537773761,0,0.0325993906807818,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.060572728193798,0.00650181273947338,0.169776552532983,0,0,0,0,0.130742642757634,0,0,0,0,0.078455234727513,0,0.104328588576939,0,0,0,0,0,0.0375357320309544,0,0,0,0.0497947704389115,-0.0310188933490742,0,0.0386885092028045,0.0704640214048336,0,0,0,0,0.237001997153961,0,-5.42101086242752e-20,0,0,0.00508747428877388,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.361958891655878,0,0,0,0,0,0,0,0,0.0330466840440709,0,0,0,0,0,0,0,0,0,0,0,0,0.152354330168375,0,0,-0.295762052863097,0,0.0416574378323251,0,0,-0.0432920167936135,0,0,0,0,-0.0618772755819072,0,0.0499498908076682,0,0,0.599964572345288,0,0,0,-0.0129846564308763,0,0,0,0,0,0,0.108110230055273
X601288.CH.EQUITY,0,0,0,0,-0.179213436298355,0,0,0,1.38777878078145e-17,0,0.436509139954753,0,0,0,0.347033744955592,0.00516719311076072,-0.0956072639653653,0,0,-0.154719614805336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158347787446163,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.00811078806668866
X5.HK.EQUITY,0,0,0,0,0,0.147326244145554,0,0.166399015097788,0,0,0.153940747585705,0,0,0,0.215906416639805,0,0,0.0933229123084282,0,0,0,0,0,0,0,0,0,-0.174583343115881,0,0,0,0,0,0,0,0,0,0.147775218099718,0,0.0681952589895042,0,0,0,0,0,-0.0756781781481513,0,0,0.148994980432825,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.404841614969104,0,0,0,0,0,0,0,0,0,0.0458660413662294,0,0,0.00601623510992617,0,-0.151075430875104,0,0,0,0,0.29286283407699,0,0,0,0,0,0,-0.324447618109814,0,0,0,0,0,0,0,0,0,0,0,0,0.00821701424640951,0.113478011019073,0,0,0,0,-0.0397433143890614,0.0197052459850704
X600036.CH.EQUITY,0,0.268514983145614,-0.0603241130810084,0,0,0,0,-0.127886029812009,0,0.501573146843508,0,0,0,0,0,0,0.0907036642686073,0,0,0.27929615495921,0,0,0,0,0,0,0,0,0.108531048927323,0,0,0,0,-0.134441666686901,0,0,0,0,0,-0.0616145290907597,0,0,0.229148885034848,0,0,-0.0768111324563129,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.0263134773974391,0,0.24641581392714,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0684235049136604,0.0479197116038275,0,0,0,0,0,0,0.246791088444723,0,0.013573739569319,0,0.0924878523169877,0,0,0,0.0399199348926648,0,0,0,0,0,0,0,0,-0.222918233196091,0,-0.111423959332298,0,0,0.062006613242908,0,0,0,0
X601628.CH.EQUITY,0,0.046596103192723,0.0296268651203864,0.0751190619191546,0,0,0,0,0,0,0,0,0,0.360031108542428,0,0,-0.0211035134957316,0,0,0,0,0,0,0,0.123356204817568,0,0,0,0,0,-0.011875927145313,0,0,0,0,0.159373241149804,0.0573204416180572,0,0,0,0,0.202200978260343,0.0554624809558292,0,0.0885752273504922,0,0,0,0,0,0,-0.0704056335403092
X601328.CH.EQUITY,0,0,0,0,0,0,0.629247839662317,0,0,0,0,0,0,0,0,0.118374842784346,0,0,0,0.154128992961675,0,0,0,0,0,0.151659671242916,0,0,0,0,0,0,0,0,0,0,0,-0.00355016794245297,0,0,0,0,0.214908590669943,0,0,-0.0361516625669842,-0.280829569742703,0,0,0,-0.0346292342623531,-0.0616847732490639
