,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0885942110216608,0,0.415621512402924,0,0,0.046324353803819,0,0.240269944431503,0,0,0.147148510615922,0,0,0,0,0,0.0266155886447763,0,0.00818691811496189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599788420160386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.401269213286706,0,0,0.115794645882599,0,0,0,-0.0716598489733941,0,0.0177255110793219,-1.38777878078145e-17,0,0.39991106471361,-0.0390579624142449,0,0,0,0,0,0,0,0,0,0,0,-0.0984576086067202,0,0,0,0,0,0,0.13286357477678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00734700352659761,0,0.0197458989742998
X601318.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0572506967390598,0.368567672604103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780533490379365,0,0,0.134056248603541,0,0,0,0,0,0.215011164173467,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.4532248873513,0.000560800969480855,0,0,0.405398513165067,0,0,0,0,-0.0201009526664853,0.0435323835593965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404413555583808,0,-0.0522048417295862,0,0,0,0,0,0,0,0.0673792039164012,0,0,0,0,0,0,0,0,0,0,0,-0.0283942092364624
X601988.CH.EQUITY,0,0,0,0.27925386622684,0,0,0,0,0,0.00145825302312137,0,0,0,0,0,0,0,0.136289131442696,0.135519912060578,0,0,0,0,0,0,0,0,0,0.00150289459995608,0.06677597944976,0,0,0,0.0118950645504565,0,0,0.0472394231258225,0,0,0,0,0,0,0.165946835406144,0,0,0.147616822794136,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0548795173276019,0,0,0,0.139012409766352,0.241272348503718,0,0,0,0,0,0.617047040604466,0,0,0.0374496443231143,0,0,0.381342340219306,-0.450538884562415,0,0,0,0,0,0,0,0,0,0,0,-0.0903831146450869,0.109007672460918,0,0,0,0,0,0,0,0,0,0,-0.0994469202045181,-0.0314100925557138
X600036.CH.EQUITY,0,0,0.0192353476051389,0,0,0,0,0,0,0,0,0.485577655562343,0,0,0,0,0,0,0,0,0,0,0,0.0452714694465772,0,0.145552457163386,0,0,0,0,0,0,0,0,0.0918411922779796,0,0,0,0,0,0,0.0398134110956185,0,0,0,0,0,0,0,0.223512771041983,-0.00716875446785614,0,0.0242008692488851
X1299.HK.EQUITY,0.000864551052659579,0,0,0,0,0,0.104337920880146,0,0,0,0,0,0,0,0.107434538700048,0,0,0,0,0,0.22874467629037,0,0,0.0996076733367163,0,0,0,0.103648646229954,0,0,0,0,0,0,0,0,0.178963869303202,0,0,0,0.185089116894706,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0725227203441223,0,0,0,0,0,0.0927669883127819,0,0,0,0.198225028474538,0.373649783668839,0,0,0,0,0,0,0.0673625729064744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0410295385900365,0,0
X601658.CH.Equity,0,0,0,0,0.155390309291978,2.77555756156289e-17,0,0,0,0,0,0,0,0,-0.265978168469133,0,0,0,0,0,0,0,0,0.068345894874201,0,0,0,0,0,0.569261611766802,0,0,0,0,0.121879824323369,0,0,0,0,0,-0.396935805868979,0.0580740287150631,0,0,0,0,0.773108378147974,0,0,0,-0.0494664446532946,0,-0.132682227965409
X601328.CH.EQUITY,0,0,0,0.284827835835189,0,0,0,0,0,0,0,0,0.251022470306252,0,0,0,0,0,0.344573959618807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899241102321169,0,0.0473204232230565,0,0,0.00915781308402326,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00528805626019622,0,0.0651925435646774,0,0,0.161232719761479,0,0,0,0,0,0.0708962922327054,0,0,-0.0151561948818284,0,0.00245574091706395,0,0,0,0,0,0,0,0,0,0,0,0,0.31913472851416,0,0,0,0,0,0,0,0.0751946230824937,0,0,0,0,0,0,0.245790746793918,0,0,0,0.0945244181553813,0,0,0
X600000.CH.EQUITY,0,0,0,0.0185098676365903,0,0,0,0,6.93889390390723e-18,0,0.385238204204782,0,0,0,0,0,0,0,0.197674226975359,0,0,0,0.152198364740353,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.118389355934531,0,0,0,0,0.118836364322799,6.93889390390723e-18,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.108975867887871,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.127627309595157,0,0,0,0,0.521946861260805,0,0,0,0.160956055170694,0,0,0.126813778036741,0.185904983798481,0,0,0,0,0,0,-0.0518205157654546,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.210537131409051,0,0,0,0,0.325839828911699,0,0,0.0212230168870202,0,0,0.0226923491981922,0,0,0.0999284176846303,0.133095113131294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000617745312,0,0,0,0,0,0,0,0,0,0,0,0
