,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.236136975425163,0,0.161614486125791,0,0,0,0,0,0,0.25623767989903,0.0155770602031215,0,0,0,0,0,0,0,0,0,0,0.0415745463970475,0,0,0,0,0,0,0.107445995856923,0,0,0,0,0,0,0,0,0,0,-0.097687432620771,0.0167062256769143,0,0,0,0,0,0.0502697044286832,-0.025950717472613,0,0,-0.196179308138114,0.00765691746170986
X601939.CH.EQUITY,0.200054555121691,0,0,0.327755133474522,0,0,0,0,0,0,0.0226760354877359,0,0,0.266851507517925,0,0,0,0,0,0,0.00416756713373389,0,0,0,-0.113671787541718,0.223937201271448,0,0,0,0,-0.120630127621104,0,0,0,0,0,-0.0217854069778448,0,0,0,-0.0303679088845936,0,0,0,0,0,0,0.0555008438247086,0,0,0,0,0
X601318.CH.EQUITY,0.00856958145773625,0,0,0,0.234062426121618,0,0,0,0,0,0,0,0.118769503756922,0,0,0,0,0,0,0.0884872867188645,0,0,0.108314415448408,0,0.0296138859134959,0,0,0,0,0,0,0,0,0,0.128186893840522,0,0,0,0,0.0860304643884771,0,0.0130267639818898,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.13511371740784,0,0,0.304957751789394,0,0,0,0,0,0.294528527062494,0,0.273429094785373,0.0272373473864715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355036256246735,0,0,0,0,0,-0.0785368169620001,0,0,0,0,0,0,-0.0497242400270083,0,-0.0454060007414707,0,0,0
X601988.CH.EQUITY,0,0.0763017959513667,0,0.474128268211643,0,0,-8.67361737988404e-19,0,0,0.265342348033472,0,0,0,0,0,0.370167056034087,0,0.0246573478270657,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0603742648392842,0,0,0,0,0,0,0,0,-0.535422523469346,0,0,0,0.0727343408945324,0,0,0,0,0,0,0,0,0,0,0,0.166884064815621
X600036.CH.EQUITY,0,0.174441289718185,0,0,0,0,0,0,0.0971107891225724,0,0,0,0.0332279865448404,0,0,0,0,0.179269008213192,0,0,0,0,0.181826575134052,0,0,0,0,0,0,0,0,0,0.36871418689554,0,0,0,0,0,0,0,0,0,0.0426035873556747,0.00757655292799,0,0,0.0892812172365581,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118897480884851,0,0,0.342351456906417,0,0,0,0,0.0462167831675208,0,0,0,0,0,0,6.93889390390723e-18,0,0.0809977756419115,0,0,0,0,0,0,0,0,0.306013567590573,0,0,0,0.0521819735990651,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717513461374897,0,0,-0.0836101699863902,0,0,0,-0.424499495426171,0,0.675686728009703,0,0.0313409448026879,0.592084487678808,0,0,0.0902066708264252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0359110342163028,0,0,0.263289540076465,0.0736430980413696,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.402552523509626,0,0,0,0,0,-0.0775255925259066,0,0,0,0,0,0,0,0,0,0.219717037686127,0,0.0485995704408515,0,0,0,0,0,0,0,0.0195458576661229,0,0,0,0,0,0,0,0,0,0.0181590597141661,0,0,0,0,0,0,0,0,0.209310711053852,0,0.0881427466258582
X601658.CH.Equity,0,0,0,0.05089444462745,0.0969058040350776,0,0,0,0,0,0,-0.150831205691014,0,0.233025252763586,0,0,0,0.131144724817353,0,0.162015680321935,0,0,0,0,0,0,0,0,0,0.0644237674946512,0,0,0,0,0,0,0.140024720865625,0.300505944639003,0,-0.154106885314664,-0.112901146793552,6.93889390390723e-18,0,0,0,0,0,0,0,-0.113880590245399,5.42101086242752e-20,0,0
